http://movie.douban.com/subject/2239292/	大宋提刑官
(4星)	 片尾曲比电视剧牛逼            
(5星)	 沉冤必须昭雪，律法必须坚持，正义必须不倒。孤独的宋慈，可怕的和谐。            
(3星)	 只为罗海琼= =            
(NA)	 好强的何冰！重新认识罗海琼            
(4星)	 很早前看過的 大陸電視劇很少喜歡中的一部 何平+羅海瓊            
(5星)	 很喜欢罗海琼。            
(5星)	 很喜欢，片尾曲很好听~何冰在舞台上真是璀璨啊~            
(NA)	 相当出色的推理剧情，和那抄袭金田一的少年包青天比就是天上天下～有点《亭长小武》的味道，喜欢酱紫细节确凿写实的历史剧。            
(4星)	 和爸爸妈妈一起看            
(3星)	 坚持到E40，总之挺水一般烂            
(5星)	 特爱看！配乐很好！            
(3星)	 慎死我了。            
(3星)	 主题曲很记忆深刻。。。我爸好爱看。。。            
(3星)	 不一样的何冰~            
(NA)	 从小喜欢看，和某人看完全部，呵呵            
(5星)	 引得呃高考误入..            
(4星)	 虽然其中有些刑侦手法并不科学，有点可笑，但让我感动和震撼的是，宋慈的正直和漂亮的工作态度。            
(3星)	 何冰太丑了。            
(3星)	 剧情有些拖沓 演技啥的都还好            
(4星)	 真心觉得，这片挺独特的~实在难得在国产古装剧里如此重草民小人命的~            
(NA)	 宋慈演绎的是理想环境下个人的刚正不阿如何社会大环境的贪污腐败之下生存。然，这是一场法本位思想对官本位社会的必败挑战。            
(3星)	 水至清则无鱼            
(4星)	 每次演我都看，呵呵，无聊吧~            
(4星)	 为数不多的好看的推理。结构也喜欢。            
(NA)	 06年暑假每天两集一集一集追过来            
(5星)	 不错            
(3星)	 关乎人性,关乎仕途,人命关天的大事,不容半点错失.这样的宋提刑让我敬佩,难得的衷心为百姓.何冰的表演有了新变化,不再市井不再张扬,变得内敛沉着.            
(NA)	 那叫一个拖啊！            
(NA)	 題材上各種抄借，細節處各種漏弊，不過，還是實實在在的公案體，這點比梁版狄公好太多。另，邀請名角出演的角色也是閃閃生輝            
(4星)	 演得好，就是小配角也出彩，气氛调度尤其好            
(3星)	 ★★★☆            
(5星)	 内地为数不多能抓住我心的古装剧 正是我那盘菜 片中那段女声咏叹调令人叫绝            
(5星)	 喜欢宋慈的正直干练。片尾曲精良震撼。            
(5星)	 到现在一直没看过大结局，一直拖着..            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 主题曲挺好听            
(3星)	 太假了！            
(NA)	 笑死我了            
(4星)	 [大宋提刑官]郭达把那个刁光斗饰演的活灵活现，真是该剧一大亮点。太绝了！没想到一身土渣气息的郭达还是上海戏剧学院毕业的。宋慈这个人物太呆板了，一身酸腐气，太政治说教，符合主旋律了！因此去掉一星。            
(5星)	 官场水很深。另外主题曲很得我心            
(5星)	 官场             
(5星)	 特别精彩的电视剧,就是结局不合理,太理所当然了,而事实未必是这样的,导演和编剧太狭隘了,未能走出伪常识的圈套. 正义是最早的常识,为什么那么多人不明白呢?            
(5星)	 演宋慈演的最好的！很喜欢何冰的演技！！            
(2星)	 非常沉闷，洗冤录比这个好多了            
(3星)	 道具、服装算是比较认真，符合历史            
(5星)	 只你一个清正廉洁又能如何 凭你一己之力 奈这浑浊天地何            
(4星)	 中国CSI            
(4星)	 满江红  好词儿啊            
(NA)	 破案。。            
(3星)	 虽则包装精美，可惜故事创新不够            
(4星)	 一部分而已            
(5星)	 首播就看了。            
(5星)	 难得的好剧氛围相当好            
(3星)	 闷了点。            
(5星)	 心思缜密！            
(4星)	 我以为看多了破案的片，能让自己聪明点，结果，还是没有            
(4星)	 很不错的电视剧，不过案子很大程度上是照搬聊斋的故事，有些过分噢            
(3星)	 宋慈太正义了 有点过头            
(3星)	 剧情很啰嗦，有一点反科学，从反腐剧角度来看算可以。            
(5星)	 喜欢何冰            
(5星)	 陪伴我长大=-=            
(5星)	 结尾曲很好！            
(4星)	 何冰的戏赞啊，这批话剧演员还是相当牛比的。片尾曲猛啊            
(NA)	 棒子文是怎么回事儿= =            
(3星)	   太阴森了。            
(NA)	 节奏超慢！            
(3星)	 何冰 演技了得            
(5星)	 很很很喜欢的            
(4星)	 话说- -我觉得这个真的不错- -虽然= =恩。欧阳正华的宋慈那种贱贱的跟这种正经完全不一样。但是这个真的不错诶1            
(4星)	 CCAV3最爱大半夜通宵勾引我。            
(4星)	 虽然剧情有时较拖沓，但总体不失为一部好片。            
(5星)	 这连续剧我看的真入戏呀~            
(4星)	 我喜欢片尾曲            
(3星)	 高中时候陪爸爸妈妈看的，比狄仁杰有悬念。            
(3星)	 案子还不错，就是剧情有些拖沓。郭达，范伟等的加盟是亮点。对宋慈的刻画过于迂腐，英姑这个角色没必要，是很恶心的角色，还不如安排一个男性好友。            
(3星)	 真不怎么喜欢            
(5星)	 很精彩，何冰的表演很不错。            
(4星)	 海阔以。            
(4星)	 觉得这特别吓人            
(5星)	 很有古意            
(5星)	 片尾曲不错            
(4星)	 寻觅天籁——女声版 满江红 程池            
(5星)	 这部电视剧水准很高哦~~无论是剧本还是演员，无论是音效还是导演的拍摄方式真的很不错。镜头将故事拍摄的很有格局感，人物都有各自的性格与性情，用我自己的感觉来表达就是无论是故事还是人物都很有气场。这点与金庸相似。但是对人物的内心走向却刻画的比金庸高段，我想这个优势要归功于本剧的原作者            
(4星)	 我只推荐最后一集            
(4星)	 看第二遍了~故事有些理想化，情节有些地方缺乏推敲，不过确是近几年不多的能让我看下去的古装剧了~            
(5星)	 在图书馆看到过《洗冤集录》一书。宋慈应是所有法律人的标杆。            
