http://movie.douban.com/subject/4917905/	宫
(2星)	 杨幂你太丑了。            
(1星)	 一颗星都嫌多怎么办。            
(1星)	 可不可以不给星星？真是瞎了穿越文这个题材了。。。穿越之耻，穿越之耻啊            
(1星)	 可不可以不给星            
(1星)	 瞎了我的眼！我也真够贱的，上赶着去看此剧！于妈，你抄得来天雷滚滚！于妈，你终于懂得怎样报复社会了！深情花泽类的何鼻孔，我的天，他们说此剧应该叫《一起去逛御花园》！于妈，你还要改编我喜欢的《帝王业》、《云中歌》，你的确狠狠的报复了我们一把！            
(1星)	 于大妈大于等于雷...杨幂啊你的脸真的快要畸形了唉~            
(1星)	 这是一部无比傻得电视剧，情节是太早期甚至原始版的小白清朝穿越，里面的台词之傻之囧简直让人无法忍受。看小说的时候还不觉得，看到真人演出才真是觉得太傻了！！！那些导演能不能有点敬业精神，真当观众是傻子吗！            
(1星)	 杨幂你再这样下去你真的要完蛋。            
(2星)	 不只是于正的错啊！这一群演员是一边吃屎一边演戏吗！演得矫揉造作！特别是那杨幂！男的一个比一个丑啊！这样的戏也好意思拿来开年啊！坑爹啊！摔！            
(5星)	 于正！！！！打了鸡血的狗血天王！！！！！又有剧出来了！！！！只要你敢拍，俺就敢看！！！！！一直追你的所有剧！！！！麻痹，俺就是热爱狗血剧！！！！！！！！！！这次杨幂还是女主角！哦买噶！忒好了！！！杨幂唱的《爱的供养》好好听哦~~~~~~老娘就是爱美女！老娘就是爱美女的一切！！！！            
(5星)	 冲着佟丽娅也要看吧  人家古装完败杨幂            
(1星)	 额句这剧情狗血成马…杨幂演的一个都不看 BS于正            
(1星)	 以我过往看于妈的片子的经验来说……片花，预告神马的已经是这部戏所有能够拿出来看的集合了。由此可见此片绝对是部前无古人后无来者的天雷片。人生苦短，不要把时间浪费在雷剧上！            
(1星)	 看到女主角我就烦，无非就是穿越虐恋什么的，男主角一点也不帅，我拜托敬业点好吗！            
(1星)	 天雷都只有滚一边儿去了            
(1星)	 看不下去了            
(1星)	 看到了。。想吐。。            
(NA)	 女主角难道不是曾轶可么            
