http://movie.douban.com/subject/4827923/	逃亡者 도망자 PLAN B
(2星)	 一集果断弃。你以为戴黑超穿皮衣露腹肌会摆破屎就是侦探啊。            
(4星)	 剧情还OK，虽然很多地方是乱来的，但总归是一波三折。唯一的败笔是李娜英阿姨啊！眼袋很大很沉重，头发很粘重，颈纹好可怕！手臂的肉都开始下垂的！每次看到她的感情戏就想跳过……可怜的丹尼尔还要对她一往情深，放着那么正的小蜜不管……终于结束了，后面真够乱来，直接快进到结局。。。            
(2星)	 呃~说实话~这韩国人老老实实的拍的爱情戏就可以了~不要总试图大手笔，这种神秘色彩的片子~真得很让我跌眼镜啊！！不想看了！            
(2星)	 无理由的弃之            
(4星)	 一开始就是show肌肉……太诱人了……就是感觉枪战有点假 =。=             
(2星)	 完全是弱智的耍肌肉嘛            
(4星)	 还挺好看哒，就是有点长，Rain很可爱！            
(4星)	 偶尔有快进，欢欢乐乐的比想象得好一些。李娜英的齐刘海竟然还是清纯御姐的感觉，她属于外表很百搭，自己却有独特气场的类型。。。剧里其他正派反派老老少少女人各种演技、各种剧情洗刷、各种美。。。比起演员来，剧情被拉长了，也就削弱了。            
(NA)	 女主角真是..老啊            
(2星)	 弃            
(1星)	 2!B!烂剧！智障！！！！！            
(3星)	 噢噢噢~~o(&gt;_&lt;)o ~~居然到韩国企业馆里了            
(NA)	 你喜欢的我都不想错过。            
(3星)	 各种耍帅～            
(3星)	 什么是人性…什么是信任…什么是爱……            
(4星)	 哎呀rain这迷死人的笑哇~~~            
(NA)	 不是20集吗 豆瓣抽疯经常见啊            
(5星)	 我还没看够Rain.不知道下次看韩剧又是什么时候了            
(5星)	 RAIN好好笑            
(3星)	 我只是为了看rain            
(3星)	 rain很帅。剧情缺乏点逻辑。有笑点。            
(1星)	 卧槽！神马枪法~~~~~~~太假了~~~~~~~~~~~~~~            
(NA)	 本来想看李娜英的...看了半集实在是看不下去了...连李娜英都没看到= =            
(3星)	 集数16-坑爹呢！！！            
(3星)	 看到女主角彪悍的身影就不想看了，情节也没有很吸引人，同样是看不下去的一场剧 ！            
(3星)	 终于更新完了，看完了            
(2星)	 相当的2b  编剧你也太看不起观众了吧 这么nc的剧一集弃            
(1星)	 决定不看了！郑某人越来越不可爱了……干嘛演个痞子不像痞子的混蛋……            
(2星)	 假的要死...剧情老套..又是什么女猪脚曾经受过伤外表坚强内心脆弱和男猪脚一开始是金钱交易后来好上之类的俗烂!!!还有,如果你要找中国演员就找个会讲中文的吧,那妖艳货又是神马玩意!!!听着韩语讲中文是个毛意思!!!!韩国的编剧都死了么!!!            
(3星)	 这算什么结尾啊晕死。。            
(4星)	 冲着rain看的            
(3星)	 真的看不下去 三星给Rain            
(NA)	 02            
(4星)	 就看看Rain吧            
(NA)	 【2010-09-29】            
(3星)	 抱着看帅哥的心理看了开场，十几个人跟在男主后面扫射，只见男主看了隐形的盾，连个擦伤都没有。各种高难度杂技，又弹无虚发，一个大一个准。这种片，我腻了啊。            
(3星)	 思密达            
(3星)	 弱爆了   Rain在这里就是各种耍活宝= =     我只看了二十分钟  就受不鸟了            
(3星)	 整个剧情就是一直跑 一直跑            
(3星)	 Iris已然是同类型韩剧的最高水平，这部实在是差强人意。            
(5星)	 超级好看。rain太可爱了~~~花痴又犯了。。。绝对跟一般韩剧不一样！！！            
(3星)	 全程都在耍帅            
(NA)	 虽然很瞎很作...但是好像还算比较有诚意地在瞎作....            
(2星)	 两星我觉得都给多了 要不是看rain打的那么费劲            
(4星)	 帅哥美女，搞笑悬疑，故事还算紧凑，好看~            
(4星)	 rain还是很不错的            
(4星)	 就是看帅哥的~ 没看到结局~            
(2星)	 太难看了 我的天            
(NA)	 RAIN啊！！！！！            
(4星)	 思密达笑点还是有点适合我的            
(3星)	 拖死人了。我就为了看娜英美眉~            
(3星)	 就Rain很可爱啊啊啊啊啊啊啊啊啊啊啊啊      《————口味是那么滴奇怪~            
(5星)	 抛去演技什么的，其实认识我的人也都知道，我对演技不那么挑剔的，这部剧真的是出乎意外的好看，虽然男主真的不好看，可是很可爱啊，而且整部剧情节很紧凑，进展很快，身手很帅的男女主角，都让我感觉很好。就是不知道为嘛收视率不高。强烈推荐，很好看的一部剧。            
(4星)	 阿润尊口耐么么~就是编剧该上课了 逻辑啊常理啊不通思密达！            
(4星)	 哇塞, 很精彩!!            
(4星)	 的确有着电影般的质感，也跟不少电影一样剧情交代不足---但总比拖拉剧好            
(2星)	 熟女众多，rain的人物性格挺有意思，也蛮喜欢李娜英酷酷地说，我已经戒了爱情。但，其实，她没戒~~但也厌烦警察男的傻执着，配角细分拖沓，搞笑感弱，动作戏也太多了，不停的跑，不停的追，看着累，7集弃！            
(4星)	 纯粹为了rain而看。剧情有点nc，但是rain真的很卖力。            
(4星)	 RAIN实在是帅啊！！！！！！！！            
(3星)	 最近果然很悠闲思密达……            
(NA)	 rain很搞笑            
(3星)	 要是拍得短一些可能会好看些.            
(3星)	 剩下几集真是懒得看了，韩剧就是无聊啊。            
(4星)	 我们有过一起的合照么？死的真可惜            
