http://movie.douban.com/subject/2154859/	大明宫词
(5星)	 皇位是什么？只不过是治国者的资格。我现在就要用我的铁腕赋予女人这样的资格。女人不能称帝，只不过是一个过时而不合理的传统，我要废除这个传统，这也许是我一生中最伟大的政绩。            
(5星)	 台词那简直就是莎士比亚            
(5星)	 爱死那些台词.            
(5星)	 电视剧里少年太平与薛绍在集市的那次会面堪称经典，很纯情，很动人~            
(5星)	 莎士比亚和唐朝。郑重的雄心和胆略可见一斑。台词的舞台剧功底，从女性成长角度映射王朝的兴衰。叶锦添，李少红。他们保证了最好的呈现。繁花的装饰，细节和节奏的把握还有归亚蕾，她让武则天离我们那么近。- 无愧史诗年代            
(5星)	 李少红镜头下的周迅陈红李冰冰何琳赵文宣都是前所未有的美            
(5星)	 我的猫，一只叫太平，一只叫薛绍。            
(5星)	 当女皇对我最大的吸引力就是可以有把字画穿在身上的男宠            
(4星)	 记得最后有一集说郭冬临扮演的皇帝崩驾后手被折段时，那是震撼啊……            
(5星)	 应该是小学的时这部电视剧开始红起来，妈妈租过磁带回家看，也是因为这个忽然爱上了历史，初中的时候就削尖了脑袋学历史。不久前还在网上又看了一遍，剧本是大爱。            
(4星)	 喜欢看~尤其是周迅的那段            
(5星)	 太平和薛绍是在第五集认识的            
(5星)	 我的第一次“胜利逃亡”就如此惨淡而难为情地草草收场。可那是我一生中最重要的一次旅行，它使我像一个真正的女人那样拥有了那种诱人的被称做藕断丝连的甜蜜心情。我爱这座城市，因为他的存在。我望着窗外长安城的车水马龙，彻底地将灵魂交与了它。            
(5星)	 我看见年轻的太平在空无一人的深宫中奔跑.            
(3星)	 这三颗星是给周迅，是给归亚蕾，一个是娇小可爱，一个是温顺优雅，服装设计很大胆也很到位，脱离了以往古装戏沉闷的道具服装。在太平公主的前半生，是无忧自在的，悲剧开始于和薛绍的相遇，注定了不会有结果，注定了权势支配不了一切，她的爱情被无情的埋葬了。赵文瑄的儒雅，傅彪的忠厚木呐刻画的都很到位，如果不是那一个败笔，应该是完满的。            
(4星)	 喜欢周迅那前十集。这剧说话都像诗朗诵似的。            
(5星)	 实在很文艺            
(5星)	 像中国那时候的诗词一样美            
(4星)	 台词颇囧。。。            
(5星)	 很好很唯美            
(5星)	 中国宫廷式古典浪漫主义表现得最极致的电视剧，没有之一。            
(5星)	 我想说这个打了五星前面所有五星电视剧差不多我都想cancel掉= =            
(4星)	 一见薛绍误终身            
(NA)	 满足你关于大唐所有瑰丽想象            
(5星)	 初中时代的最爱，写作的启蒙之一            
(5星)	 长相守是，面具后的明媚。            
(5星)	 剧本很强大！虽然老师把台词批得不行不行的，但是我还是蛮喜欢~尤其是看文本的时候=。=            
(5星)	 太强悍的电视剧            
(5星)	 她好像朵夜游的牡丹            
(5星)	 凋谢的也有高傲的姿态。华丽亦有时。            
(5星)	 某某人发给我一鼠类动物回首嫣然吃吃 底视频 对比起薛绍同学 完全黑线掉。 这剧，别的不夸，就赞两个：莎士比亚腔 与 叶某人的美             
(5星)	 我觉得，《黄金甲》和《夜宴》的失败并不是选材的问题，因为莎士比亚以及追随他的黑泽明都曾经成功地处理过宫廷斗争的题材。《大明宫词》提供了另一个例证。不看《大明宫词》，我还不知道电视剧可以拍得这么漂亮。奇妙的是，前12集我还觉得对白挺假，之后慢慢就进入状态，到结局处骤然爆发。这是一个超长电影的架构。            
(5星)	 大唐皇朝 这个贵族不讨厌            
(5星)	 这部电视剧就是很吸引我            
(5星)	 最爱的古装电视剧，没有之一。            
(5星)	 赵文瑄啊~~~我想哭。。。            
(5星)	 淅沥淅沥的长安雨。            
(3星)	 怨念很深的一部连续剧 我只能这么说            
(5星)	 爱爱爱。            
(5星)	 双生藤蔓。            
(NA)	 很显然，我没看完，不过首播那会儿是个谈资。            
(NA)	 八卦吉祥物赵文瑄蜀黍，风华绝代！！！            
(4星)	 太子弘，一个活得隆重而典雅的人~~~            
(3星)	 那时候很喜欢周迅。现在她名气大了，我却找不到以前的感觉。            
(5星)	 长安雨            
(5星)	 小学看的？只记得给我留下了不可磨灭的影响            
(5星)	 那时赵蜀黍很风骚，陈红还没有残，周迅尚萝莉，最关键叶锦添还未走火入魔！            
(5星)	 初中和高中的记忆            
(4星)	 灵巧周迅            
(4星)	 第一次看她的片子            
(5星)	 太平.            
(5星)	 恩恩。。还想看一遍。。            
(5星)	 对白台词太棒了。无与伦比。            
(5星)	 这是舞台剧            
(5星)	 赵文瑄            
(4星)	 虽然如今看来漏洞百出 当年也多少被赵叔叔内面具下的一笑给迷得七荤八素            
(4星)	 1，陈红演技真他妈烂。2，后半部分是毫不出彩的败笔，繁冗拖沓，抓不住重点，也没有了莎士比亚式的台词，摊手。3，归亚蕾真棒。4，林海最棒！你丫想吓死个人！            
(5星)	 这个当时确实不错。面具跟曲子我都极喜欢，那时的周迅归亚蕾和陈红，都不去不复返了。            
(5星)	 我觉得陈红挺美的 背离历史很远很远            
(5星)	 力挺李少红            
(5星)	 很喜欢！            
(4星)	 只喜欢少年时代的前半段            
(5星)	 你穿唐装真美，是我眼中一副画。            
(5星)	 拍得好            
(4星)	 很不错。            
(4星)	 多唯美的电视剧啊~~~这部剧里陈红不花瓶~            
(4星)	 很诡异的样子 不知道李少红拍红楼梦是什么样子            
(3星)	 越到后面就越看不下去了            
(5星)	 喜欢看这部电视剧。            
(4星)	 断断续续的看完。喜欢当年的陈红。厌恶现在作为凯歌老婆的陈红。            
(5星)	 和妈妈一起看的            
(5星)	 难忘的唯美风格            
(3星)	 看过而已            
(4星)	 华美而浪漫,一个美丽而渴望得到爱的女人,但只能遗憾终身            
(4星)	 最美的是小太平            
(4星)	 她华丽的转身～            
(4星)	 华丽腹黑            
(3星)	 专门去找了GAY画面的来看。            
(4星)	 第一次看到把古装剧拍出了厚重的感觉。画面色调曼妙至极。            
(5星)	 竟然没标注过！            
(NA)	 薛绍就个大傻逼 后来爱上太平了 觉得自己酱紫对不起亡妻 就挥剑自杀了 自杀得好 这么二不自杀 我都会想把他杀了的 傻毙作态得要死            
(4星)	 长安细雨，沐浴着太平；大明宫景，多少宿命。回首遥望苍穹下，世事浮沉，无常无情；终我一生，难寻太平。             
(4星)	 准备的台词作业就是这个 台词太美了 莎士比亚般的美感 爱情丝丝扣人            
(NA)	 额。。我那个时候木有看下去。现在看觉得蛮好滴。。            
(5星)	 大明宮            
(4星)	 国产电视剧舞美台词的巅峰。            
(5星)	 小时候就看过，超级爱的一部剧！            
(5星)	 我看一万次都那么那么喜欢             
(4星)	 这个有些台词貌似还不错。            
(5星)	 同样李少红，怎么能差那么多！！！            
(5星)	 看了一遍又一遍 就从没看腻过            
(5星)	 当年看的国产剧集杰作。毫不吝啬地讲未来十年甚至二十年内没有一部国产剧集能超越此剧。这绝对是一部各方面都极佳的神作！            
(5星)	 有多少个10年可以如此痴迷一部长篇电视剧 少年的太平和薛绍第一次遇见得面具戏直到现在还是偶尔要在梦里回味一般 最美的开始 却不能长相守  记录太平从肆无忌惮到成熟隐忍 整部美丽的画面 3个欣赏的女演员+最爱最爱的赵文瑄  难得            
(5星)	 台词很美            
