http://movie.douban.com/subject/1418660/	大长今 대장금
(1星)	 最烦就是这种！！ 假得要命。裹脚布一样又拖又长            
(5星)	 史诗般的韩剧，在中港台均掀起热潮，一部励志的剧集，适合全家人一起看~~            
(NA)	 05年還是06年看的。。。。這個我真全看完了。。。。。。。。。。。            
(5星)	 照亮我的高中生活            
(3星)	 短点会更好些            
(3星)	 棒子剧什么的，就只有励志的还可以看看……            
(5星)	 这部片子看完有很多启示            
(NA)	 太长，MM多，但是要耐心，故事不错，就是节奏慢…………            
(2星)	 看了这个的原因是电视每个台都在放！李英爱的大妈脸哪里美啊            
(4星)	 满励志的。            
(NA)	 看了又看            
(NA)	 2005年的十一            
(4星)	 看的第一部韩剧            
(4星)	 茶余饭后佳作            
(4星)	 李英爱，(～ o ～)            
(4星)	 我不喜欢大行其道的东西。            
(5星)	 唯一喜欢的韩剧            
(NA)	 电视剧如何赚钱？看大长今。            
(5星)	 很不错的片子，李英爱红遍亚洲~~            
(1星)	 认祖宗是没错，但是乱认祖宗，还非说自己是别人祖宗            
(4星)	 好看，就是太长了。            
(3星)	 我老娘。每天各种拿大长今跟我励志教育~            
(4星)	 高中看的＝＝b            
(2星)	 他哪好看？            
(4星)	 我居然买了碟- -            
(5星)	 看的我是如痴如醉啊。。100多集            
(4星)	 看做菜~看长今~其余说中国不好的我一律忽略！            
(4星)	 我喜欢。还有池珍熙的笑容。            
(4星)	 当年我也曾被说过像李英爱            
(3星)	 太长了点，不是我爱吃的菜。            
(3星)	 太他妈长了            
(3星)	 想要对抗权力,你就要拥有更大的权力!            
(NA)	 竟是一集没落下。            
(NA)	 经典POSE哈。            
(4星)	 励志爱情剧，我妈喜欢            
(5星)	 忍耐着湖南台放片子的BT速度还是看完了,感觉是受了长今的影响更有忍耐力了^^^^^            
(2星)	 大“肠”今這片子實在太好笑了，皇帝居然是被便秘憋死的………………囧TZ            
(4星)	 奶奶的真长呀 不过还是一口气看完啦，好看好看 但是绝对不会再看第二遍拉            
(4星)	 我的回忆啊！            
(4星)	 初三的剧已经这么旧了么。            
(3星)	 太~~~~~~~“无所不能”的大长今了！！！草！！！            
(4星)	 励志剧我比较喜欢.但是剧情稍有拖沓            
(3星)	 因為大二時老師要我用這部的OST編作品。音樂不錯，後來就去看了這部            
(4星)	 什么杜拉拉什么刘三好 都是大长今啊！！！！！            
(3星)	 太拖沓            
(4星)	 这是个陷阱。            
(5星)	 励志，长今的精神今天都很值得学习            
(NA)	 韩尚宫大爱=____,=            
(5星)	 最爱的一部韩剧 被长今那种坚韧不拔的毅力感动了             
(4星)	 妈妈也爱看            
(3星)	 李英爱好美啊～～～            
(3星)	 爲什麽這麽紅啊掀桌!            
(4星)	 当时很爱看。里面全是吃的。就是墨迹个要死。            
(5星)	 大长今姐姐的那个时代，棒子国还没有辣椒，所以不能作辣白菜            
(3星)	 我都不知道自己怎么看完的，万恶的湖南卫视            
(4星)	 职场宝典            
(3星)	 那旋律至今还在耳畔响起。            
(2星)	 真恶心··            
(4星)	 05暑假 真的老太太的裹脚布            
(3星)	 长今忒磨叽了~~~            
(NA)	 妈妈喜欢看的.......            
(NA)	 一看长今做饭我就肚子饿            
(5星)	 我没想通我怎么会看了三遍的...            
(NA)	 真长啊....            
(3星)	 虽然很喜欢李英爱。            
(4星)	 励志            
(3星)	 我太不喜欢长今这样的人 什么都不告诉别人 最好的朋友也不说 讨厌！            
(4星)	 剧情太拖拉了……看的有点心累。            
(NA)	 脸很圆。            
(4星)	 除了拖沓了一点，还是相当精致的            
(4星)	 嗚啦啦 嗚啦啦 ...  哈哈 全家一起看！            
(4星)	 好！            
(NA)	 看过几集            
(4星)	 果然长            
(5星)	 这样的励志很真实，这部剧集的最好之处在于不那么肥皂。            
(5星)	 好看而不沉悶的励志劇。高三晚自習的自娛自樂。            
(NA)	 我想我有点明白为什么《大长今》能那么火吗，除了湖南台化腐朽为神奇的炒作力量，随便在哪个情节都能喝碗白粥慢慢悠悠看下去的狗血情节，真的有让人追下去的实力。            
(3星)	 看是看全了，但说实话，韩剧真挺磨计的，真挺让人受不了的。            
(5星)	 看完这片子，我就开始对中医、下厨、传统文化感兴趣的历程，史上最伟大的历史剧之一：让女人回归女人            
(5星)	 好看的，励志啊。。。            
(NA)	 我耐着性子看了几集算我看过了成么?            
