http://movie.douban.com/subject/2262123/	新月格格
(2星)	 极其不喜欢这部            
(3星)	 瓊瑤阿姨的本事就是，作二奶時把二奶寫得楚楚動人我見猶憐，扶正以後又對破壞人家婚姻的妖精恨不得挫骨揚灰            
(3星)	 二奶战胜了大老婆            
(3星)	 片头曲真好听            
(2星)	 极受不了这个，居然还理直气壮的，还爱情至上，滚吧就            
(NA)	 虽然我很喜欢岳翎的清逸气质，但是雁姬实在太好看了。我就是喜欢大老婆！            
(1星)	 你杀了我吧你杀了我吧！！！！！！！！！！！            
(2星)	 从头到尾一点都不喜欢，看不下去！            
(5星)	 六年级，最爱了            
(1星)	 小三            
(5星)	 天上有新月如钩，地上有烟锁重楼……初一那年寒假在铜陵电视台一套看的。好多电视剧都是在铜陵电视台一套看的，感谢铜陵电视台！            
(4星)	 我戀父……杯具            
(NA)	 好像沒完看。            
(4星)	 琼瑶奶奶自己从2奶过来的，就喜欢把2奶写的楚楚动人，把大奶弄成个心狠手辣的疯婆子            
(4星)	 那时候觉得刘德凯帅的掉渣啊            
(3星)	 没有看全电视，但是书看过一遍，感觉书的感觉好一些。            
(4星)	 小时候日记有记过= =             
(3星)	 岳翎扮相比较好看 虽说大冬天涂了很多粉还            
(NA)	 小时候看过。            
(3星)	 小三转正的故事            
(3星)	 好老啊，刘德凯。            
(4星)	 里面的歌不错，小时候寒暑假浙江电视台必放，感谢浙江电视台  = =            
(5星)	 女主角岳翎可算得上是我最喜欢的女演员了,那种温婉的气质,当今世上是再也找不到了.            
(NA)	 补遗                  
(3星)	 印象里有个雨天在落叶中翻滚的激吻戏 = =            
(3星)	 嗷。童年时的八点档。            
(3星)	 看了一半。            
(1星)	 吐死            
(3星)	 冲着岳翎看的            
(4星)	 那时候开始喜欢刘德凯.             
(5星)	 我小时候真心爱看这个~多合适的一对儿啊~不过我妈因为是小三题材特反感我看。            
(2星)	 故事本身不讨喜，张雨生跟童孔的《两个永恒》真的很好听            
