http://movie.douban.com/subject/2300213/	唐太宗李世民
(4星)	 童爱玲的长孙姐姐实在是后妃之德的化身啊！小时候特别纠结吉儿的发型，正面啥都没有背面一朵大花，这是啥审美理念呢？            
(5星)	 从这部电视剧开始长孙无垢就变我偶像了……            
(4星)	 当时的心态是，喜欢吉儿。又心疼和钦佩皇后。李世民也是一样吧            
(NA)	 那时候觉得傅艺伟真漂亮            
(2星)	 小时候看都觉得是烂片，现在想起来那就更烂了            
(4星)	 我那个年代对吉儿的发型很热爱，天天给我的娃娃梳。其实长孙无垢最好看            
(NA)	 俊贤啊我的俊贤你怎么被嘉玲蹉跎了？            
(5星)	 童爱玲——美女典范啊......            
(3星)	 多年后发现片尾曲是我们家芳芳唱的。。。老天，请你把长孙和吉儿都赐给我吧。            
(5星)	 我那一去不复返的童年啊            
(NA)	 我爱这种纠结的剧情            
(3星)	 爱不释手            
(3星)	 2012-01-02 小学（？）看过。不少集好像是躲在门后看完。当时很热衷主题曲。现在看扮相过时，但美人依旧是美人。历史言情剧现在再看有点囧（湾湾们拍了好多言情剧扶额）。            
(NA)	 当年迷过林俊贤！            
(5星)	 上初二时初看也是唯一一次在我们安徽电视台一套看的这个电视剧，现在无限怀念，特别喜爱！！从此痴迷傅艺伟和林俊贤……            
(5星)	 皇后好美！傅艺伟也美，还是被童爱玲比下去，简直是历代皇后楷模嘛。。。。（我就是来看美人儿的！            
(NA)	 言情剧，李世民做皇帝后基本无戏可看。林俊贤驾驭不了中老年李世民            
(4星)	 那天重温了一下，妆真浓啊囧            
(3星)	 很喜欢那个林俊贤。吉儿。。我爱上你给的痛，只要抱在你的怀中。            
(3星)	 狂哭，后来再看是误解了剧情的关系            
(NA)	 很早看的阿。            
(3星)	 准确来说是两星半。            
(4星)	 当年看得应该是这一部吧。从小对李世民的印象就源于此。            
(NA)	 主题曲也不错：待我拱手河山讨你欢            
(5星)	 沉鱼落雁闭月羞花美得无处藏人在身旁如沐春光宁死也无憾国色天香任由纠缠那怕人生短你情我愿你来我往何等有幸配成双矮让我拱手河山讨你欢万众齐声高歌千古传你看远山含笑水流长生生世世海枯石烂矮今朝有你今朝醉呀爱不释手你的美呀莫等闲白了发才后悔矮今朝有你今朝醉呀            
(4星)	 在那个年代，替多少懵懂loli释放了少女情怀和皇族情结啊！= =            
(4星)	 小时候看的。印象最深是主题曲            
(NA)	 傅艺伟漂亮的啊~~~            
(NA)	 这就是我唱得那个李丽芬的《爱不释手》～            
(NA)	 补遗               
(4星)	 帅哥~~~            
(4星)	 小学时候很喜欢            
(4星)	 李世民好花额~今朝有你今朝醉 爱不释手你的美            
(4星)	 当年大爱，片头片尾曲我都录像了            
(3星)	 呜呜呜~~当时好喜欢滴……%￥（小裂：你果然是个SBNC）偏爱OP和EP。至于狗血的爱情故事，已然麻木不仁了。倒是觉得童爱玲很美。            
(3星)	 爱江山更爱美人            
(4星)	 傅艺伟就那么几个pose，演那燕的是顶级室内设计师还参政。最气质的童爱玲后来裸的太多。杯具。            
(5星)	 傅同学当年风华绝代！            
(3星)	 那时候迷林俊贤到一定地步了            
(4星)	 【这是为了今年阅片量凑数的！！！这是为了今年阅片量凑数的！！！剧情导演背景都知道啊都知道！！！！】            
(4星)	 当初我很喜欢这部哎            
(4星)	 当时惊为天人啊那些唐朝服装还有音乐，现在也喜欢那两首歌            
(5星)	 96年暑假。            
(5星)	 林大哥是我的朋友，但我不怎么喜欢他            
(NA)	 不去重温我都要忘了那主题曲了，开头应该是沉鱼落雁闭月羞花。。。。。。。            
(5星)	 十六年后在看这部电视剧，依然喜欢，现在终于能深刻理解李世民为什么会是一个好皇帝，而后世却不能超过他的原因了            
(NA)	 吉儿好漂亮啊~吉儿就是妲己。。            
(5星)	 太好看了！！！我的少少女时代……            
(3星)	 补了一天发现片里隋炀帝是个难得的情痴，杨吉儿根本萌不起来，好喜欢长孙皇后，而李世民做人真不容易。果然最喜欢的皇帝还是唐高宗。            
(4星)	 话说应该看过，都是小时候看的。。            
(5星)	 林俊贤太帅了，傅艺伟太美了。儿时看的经典电视剧。            
(5星)	 这个李世明好喜欢啊~~~~~~~            
(4星)	 当年的我是多么哈林俊贤啊！            
(NA)	 今天，忽然有个旋律在脑海回旋，挥之不去，经一番苦苦搜索，原来是一首片尾曲。其实电视剧已经不记得了。哭不盡多情夢 已忘了傷心痛我的一生一世只有你最懂醒不了癡情夜不在乎孤枕眠我的千辛萬苦都藏在心中            
(4星)	 儿时的记忆。            
(NA)	 D大人最近反复热衷的经典剧 囧            
(5星)	 童年            
(3星)	 吉儿多美呀            
(3星)	 小时候特爱看            
(5星)	 真loli时代 迷那位突厥王子迷得死去活来            
(NA)	 印象中的小时候最爱，可惜那时被管的紧，都没看到全的~~            
(4星)	 片头曲好听            
(4星)	 《爱不释手》依然是KTV常点曲目。            
(5星)	 我那一去不返的童年啊             
(4星)	 还不错，可以看            
(NA)	 尽管离当时的情怀相去甚远，但仍旧能够拾起那回为主角迷得颠来倒去，痴情难返。呵呵，原来从小就属花痴型的。            
(3星)	 只记得人物了。。。            
(NA)	 爱上你给我的痛，万芳哦。林俊贤很帅的，早就不出来了。            
(5星)	 和弟弟一起看的在奶奶家            
(5星)	 林俊贤啊 史上最帅最完美的皇帝~吉儿那个漂亮啊~            
(5星)	 因美好回忆而珍贵            
(5星)	 我记得有很多美女            
(3星)	 这是回忆~~~~            
(5星)	 待我拱手河山讨你欢            
(5星)	 记得小时候超爱看的，据说很符合史实，各种道具都很考究，很接近唐风            
(5星)	 傅艺伟的扮相又高贵又美艳，且带一点天真娇纵。真正叫沉鱼落雁闭月羞花美得无处藏。            
(4星)	 人物好多，有点长了            
(3星)	 就记得那个说因为太思念李世民所以怀了孩子。当时不懂。就信了。            
(4星)	 少年记忆            
(4星)	 小时候看的，那时很喜欢。            
(4星)	 片头曲经典啊。。。待我拱手河山，讨你欢。。。            
(5星)	 再看这一遍，隋炀帝的确是才华横溢又这般痴情任性，怎么也算是个高情商犯罪，他和李丽华这段情，真是野史得够传神呢。大唐双龙传里也说到他的科举制打破门阀，运河又贯通南北经济，为大唐盛世奠下基础。幼时当然喜欢杨吉儿，但大了，终归被长孙无垢所征服，她真是端正好的一种美。            
(4星)	 总体而言，该剧还是很好看的，男帅女靓，主题曲《爱不释手》更是多年来每k必嚎。但除了(i) 李世民同学生前就喜欢自称“我唐太宗blabla”，以及(ii)突厥公主叫“阿史那燕”，然而总被缩略爱称为“那燕”，这两点bug。            
(NA)	 儿时的记忆            
(4星)	 小学的时候怎么就那么喜欢看呢            
(5星)	 片头曲霸气，片尾曲柔情，我记得还有一首插曲的，就在李世民送杨吉儿纸风车那一段里。            
(4星)	 我忘记这部剧里我喜欢谁了。。长孙无垢？？反正不是傅艺伟那个角色            
(5星)	 爱江山更爱美人。爱情难道不应该是这样么            
(4星)	 当年看的如痴如醉……            
(5星)	 人生若只如初见，回眸一笑定终生            
(5星)	 吉儿太美丽了            
(NA)	 沉鱼落雁，闭月羞花，美得无处藏。人在身旁，如沐春光，宁死也无憾。通过这首主题歌学习了若干成语。其实就一古装言情剧。李世民是个小帅哥。            
(4星)	 爱不释手你的美，杨吉儿多美~            
(3星)	 剧情忘光了，但主题曲还记得。            
(3星)	 重看时候就觉得难看了            
(4星)	 多好看啊，小时候的经典啊。            
(NA)	 哎呦喂。这版李世民实在太老！            
(4星)	 当时的美女都是美女啊            
(NA)	 当时已经意识到，丫们基本不换衣服            
(3星)	 李丽芬的《爱不释手》            
(5星)	 啊~~~~~~~~~~那个时候超级迷林俊贤啊，吉儿---傅艺伟很美。我上初中的时候，每天早自习的时候就是我们讨论这部剧的时候，想想真的很开心啊。            
(5星)	 女主原来是傅艺伟，好喜欢长孙皇后啊，真想再看一遍！！！            
(4星)	 美丽的杨吉儿            
(4星)	 年少回忆            
(NA)	 没想到还真有-.-!!            
(4星)	 我现在还会唱主题曲呢            
(5星)	 十五年弹指一挥间            
(4星)	 那年代的俊男靓女哎            
(4星)	 重温重温  哦~~~我那一去不返的童年啊~~~~            
(4星)	 歌好听            
(4星)	 全忘鳥            
(NA)	 我的童年似乎只有电视剧。。。傅艺伟，打小就喜欢的却在美人迟暮变成老皇后专业户才得知名字。这是有多迟钝。            
(4星)	 杨吉儿            
(4星)	 年轻时候曾经很喜欢的剧集            
(4星)	 隋炀朝六公主杨吉儿。            
(5星)	 童年啊~~~小学的时候追的带劲了！傅艺伟怎么那么美~~~~~~~~主题曲非常赞！现在还记得- -            
(5星)	 不记得儿时是否看过这部电视剧了，但是主题曲我却很喜欢，一直记到今天~            
(5星)	 我怎么那么喜欢那个年代的偶像历史台剧啊？突厥公主最讨厌，吉儿最单纯，最可爱，长孙最有心机，李世民最花心~             
(4星)	 哦 那会傅艺伟多美丽啊            
(5星)	 当年一直追着看的吉儿。。。            
