http://movie.douban.com/subject/2365100/	流星花园2 流星花園2
(2星)	太纠结了 停留在1就好
(4星)	故事其实变得实际了，不是么？
(4星)	青春。
(1星)	无语
(3星)	只有一句话可以形容：经典变残了！  不过我想问，是不是搞错了，侯孝贤导的？？
(NA)	啊 这竟然是侯孝贤导的 额
(NA)	流行2是侯孝贤拍的 我很怀疑
(4星)	没有第一部好看。
(4星)	2了
(3星)	继续不喜欢大S
(2星)	你敢拆散道明寺和杉菜？你去屎！！！！！
(3星)	比第一部烂多了...我居然看过了
(NA)	补遗      
(4星)	我妈叮嘱我打4星.......jiong-。-
(2星)	两颗星完全是看在类的面子上……
(5星)	没有外界说得那么不堪，还是有感动到……
(1星)	开森末玩笑 侯孝贤导的？台湾有几个侯孝贤啊
(3星)	明显是狗尾续貂之作，那个那个道明寺后来在西班牙遇见的女人，太丑怪了，非常不喜欢。以至于以后不管在什么片子里看见那个女演员，都觉得很讨厌——貌似她总演些不怎么讨喜的角色，呵呵。
(1星)	这导演栏里写的是侯孝贤 有没有人告诉我这是真的假的
(1星)	快进。快进！
(NA)	...
(1星)	续集就没什么好下场
(2星)	我真的跳着看过。
(2星)	大概是我到了大二才看了第二部，纵使第一部我给了五星……好吧……我年纪大了~受不了恶心、肉麻、啥啥啥的……
(NA)	。。。
(2星)	狗尾续貂
(NA)	已经记不得情节了。。
(3星)	居然忘了看过这个！偶像剧始祖。
(3星)	没第一部好~
(3星)	勇敢叶莎
(2星)	残。。。
(3星)	没有看完。
(1星)	第一部赚钱了第二部就可以拍这么烂嚒
(4星)	好歹也是最早起看过的偶像剧嘛。。
(2星)	后来还是看了.
(3星)	记得很清~~去平顶山的时候我跟我姐在别人家连着几天给看完的
(1星)	果真还是没第一部好啊 ，反正我是没看下去。。罪魁祸首应该是纯原创的剧情
(3星)	第二部比较一般，已经记不住亮点了。
(3星)	编剧完全跟日版脱轨了吗
(2星)	超级喜欢1 超级不喜欢2！
(2星)	还是第一部最好
(3星)	大学时看的。相比第一部  这个就很悲情了。 干嘛要让村姑也出来啊  未免太写实了
(3星)	也就打发打发时间还可以
(4星)	西班牙——巴塞罗纳。
(2星)	流星花园
(4星)	還記得那卡得不成樣子的VCD啊
(NA)	【2002-03-08】
(NA)	初中？高中?
(5星)	虽然和第一部相比很坑爹，但毕竟是当时美好的回忆！
(NA)	我喜欢雪儿。
(NA)	刷屏时代
(3星)	其实我很喜欢叶莎
(5星)	老娘大量的最爱！！！！！！！！！！
(NA)	喜欢叶沙
(2星)	第二部明显差了很多……
