http://movie.douban.com/subject/3419000/	廉政行动2009
(4星)	 剧情不是重点，感动的是ICAC为了宣传反腐这一概念所做的一切，还有明星尽力支持的那份社会责任感。            
(1星)	 千FA僅在第三集出來晃了三下。還全與吃的有關。你究竟是有幾愛吃啊。            
(NA)	 千嬅終於再拍電視劇了！！還有Pakho！！            
(3星)	 大家都跑龙套似得讲了一堆没有爆点但或许有震慑作用的故事            
(3星)	 和香港一起沦落 欸 看来真是大势所趋             
(3星)	 千fa的龍套喔..            
(2星)	 故事都毫无必要。。。不够吸引，不过觉得周柏豪不错啊~            
(NA)	 我是来看明星的，所以后面就不给劲了！            
(4星)	 宣萱 宣萱 宣萱            
(3星)	 追到5集            
(2星)	 為何宣萱只演出了一集……            
(1星)	 没有任何意义的龙套杨千fa            
(4星)	 钉子户~            
(3星)	 只能说明星很多，但是quo实不好看            
(4星)	 &lt;05 完结&gt;也就是看看几个特别喜欢的演员啊。。意外地发现周柏豪很帅呢^^花药包阴魂不散呐，唉，真讨厌！！！            
(3星)	 第二集演员最好看，第四集镜头有意思，第五集大陆笑而不语。            
(NA)	 我倒喜歡這種簡練的            
(3星)	 说教啊说教....            
(3星)	 宣传片            
(4星)	 TVB的电视剧，还是比较偏爱警匪片以及ICAC这类的题材，很精彩            
(2星)	 给我个好看的理由，我会继续。            
(4星)	 ICAC不嫐就好有型架啦。好鍾意浩然兄啊。            
(2星)	 浪费cast。片头非要把千fa和许志安放一起对比，点点点            
(2星)	 杨千嬅怎么就一点点啊             
(3星)	 大爱千嬅！            
(3星)	 從前從前的廉政行動組多好看啊... ...薛小姐居然叫三三... ...            
(2星)	 无趣            
(NA)	 非常一般~~~但是看到『真實案例改編』這幾個字 搞的我也不好說什麽~            
(NA)	 第二集里曹永廉好帅            
(3星)	 卡司是强大 但一集讲一个故事还是太敷衍了点            
(4星)	 天啦 这个阵容。。。故事马马得。            
(NA)	 阿fi 同千fa~            
(3星)	 除了第一集，其他的都不好看……千嬅还好，阿Fi的演技就真系……            
(5星)	 五星我给亲爱的杨小姐的            
(3星)	 单元剧来的。明星不少~都是来客串的。            
(NA)	 陈建铎还不错哦            
(4星)	 黄浩然竟然每集都有出现...是不是因为比较便宜?真是越看越顺眼...明星太多...            
(4星)	 该教育片制作精良积极向上发人深省            
(NA)	 周柏豪好型！            
(3星)	 看到第三集看不下去了，太正面了，谈情说爱一点儿都没有。。。            
(3星)	 只是爲了看pakho喇..            
(4星)	 真是全明星阵容啊！            
(3星)	 剧情不咋的  明星很显眼            
(4星)	 宣传片。hk真廉洁！喜欢2跟5。            
(4星)	 很有意义的片，一集一个故事，第二集好看。            
(3星)	 為了美麗的蒙YOYO，還有Vi  為神馬沒有看過這一欄？            
(4星)	 忘了标  唔错啊            
(4星)	 明显在捧pakho 很好很好            
(4星)	 作为专业学习来推荐一下，其实我是冲着里面的人去的~            
(4星)	 有点不太适应这种形势的港剧，不过还可以。            
(3星)	 5            
(4星)	 拍的还挺好的呢。剧情不是重点，感动的是ICAC为了宣传反腐这一概念所做的一切，还有明星尽力支持的那份社会责任感。+1。            
