http://movie.douban.com/subject/3732154/	丘比特的圈套 บ่วงรักกามเทพ
(NA)	 做编剧就要敢想敢干 说车祸就车祸 说怀孕就怀孕 说昏倒就昏倒 说冤枉就冤枉 说绑架就绑架  说KISS就KISS  说捆绑就捆绑 说大姨妈就大姨妈  说艳照就艳照  说说订婚就订婚  说反悔就反悔 说进手术室就进手术室  说大团圆就大团圆  \(^o^)/~     真给力！            
(3星)	 为了看个男人居然花两晚上的宝贵时间来看泰国的肥皂剧，我真是越来越堕落了            
(3星)	 无字幕看过。整部戏惊抓抓的。但喜欢男女主角。            
(4星)	 在没有合理性的大环境下 这部还是有点理性的            
(4星)	 没有美剧的夏天就看看泰剧吧、韩剧什么的都是浮云            
(5星)	 不说什么了！！！百看不厌啊！！！！PONGBEE之间的默契暧昧气场真是！~！！！！哎~！！不说了~！！期待丘比特被引进啊&gt;&lt;PB王道            
(4星)	 断断续续的在安徽卫视上看，结果就出乎意料的喜欢上pong了。PS：pong和bee快去拍SMAV吧            
(3星)	 我没出息我居然看泰国偶像剧！ 不过话说泰国人长的真的差距悬殊，要么很好看 要么特难看            
(3星)	 泰剧还挺重口味的            
(4星)	 喜欢PONG            
(4星)	 哈哈~为了pong~虽然剧情有些狗血的成分~但是pong和Bee的小夫妻式打闹相处方式还是引人入胜~帅哥和美女的冤家组合~养眼~养眼也~O(∩_∩)O~哎~还是逃不了从第一集到倒数第二集的虐人路程~团员大结局只是出现在最后一集最后二十分钟~虐！            
(4星)	 我喜欢pong&amp;bee            
(5星)	 做编剧就要敢想敢干 说车祸就车祸 说怀孕就怀孕 说昏倒就昏倒 说冤枉就冤枉 说绑架就绑架 说KISS就KISS 说捆绑就捆绑 说大姨妈就大姨妈 说艳照就艳照 说订婚就订婚 说反悔就反悔 说进手术室就进手术室 说大团圆就大团圆 \(^o^)/~ 真给力！            
(4星)	 依旧是PONG &amp; BEE，蛮心水的一对璧人，长得很中国，情节就很小言啦，但是在那么多剧情狗血EST的泰剧里，编剧算下功夫的。            
(4星)	 泰国最佳银幕情侣档！            
(3星)	 剧情很狗血，后几集好欢乐            
(4星)	 哎~~好欢乐好欢乐~pong是大帅锅，bee也很养眼。我越来越相信泰国编剧们肯定买了一打台剧韩剧的碟回去啃的            
(3星)	 狗血剧情            
(4星)	 泰剧虽然狗血，但是还蛮好看的，主要是pong和bee啊，我荡漾了~~~            
(4星)	 泰剧满足各种虐恋重口味~            
(4星)	 剧情牵强，穿帮无数，可是pong跟bee的养眼程度超越了一切~最喜欢看前半段两人的对手戏，很有火花啊~话说这一对是泰剧里面我最爱的一对荧屏情侣组合~            
