http://movie.douban.com/subject/6037993/	真爱不灭 รักไม่มีวันตาย
(3星)	 男猪真像fukuyama 桑！男2好像李小龙囧            
(5星)	 男主角的眼神很深情，而且很帅额。            
(3星)	 完全就是冲着男主看的啊~~各种耍帅，闷骚，各种爱啊~~~            
(3星)	 蔡国庆老师不需要演技甚至不需要剧情，只要人戳在那儿就是一景。Ploy很漂亮和Dome好配，曾经的恋人搭戏就是有默契。男三号巨事儿逼他妹更是傻逼中的战斗机，一看到他俩就闹心，不怕神一样的对手，就怕猪一样的亲友！            
(5星)	 没办法，他们两个本来就是对情侣，所以亲密举止就是一对真爱的相知。哈哈。很喜欢看他们在一起。祝福他们早日修得正果，重新复合~！！            
(2星)	 第一次被推荐，看了一集，弃之；第二次被推荐，快进了三集半，弃之。男主除了面瘫还两眼放空，Ploy漂亮是漂亮，但演技浮夸的让人心疼。谁能告诉我到底从第几集这剧有了质的飞跃？或者是从哪儿看出男主帅的惊天地泣鬼神？            
(2星)	 分这么高都是因为男猪脚吧~！ 吼~             
(5星)	 新发现---劈柴Dome 有木有！！！！！！！！！            
(4星)	 男猪脚简直帅呆了！秒杀一切亚洲男星。 女猪脚很像萧亚轩！            
(3星)	 曾经的真恋人真不是盖的，对手戏要多自然有多自然，可惜那也只是曾经了呀！（被拉到一起主演算是件蛮神奇的事情= =）显然对Ploy有所改观，但是对她的演技依旧恭维不到哪里去...Dome完全就...不谈了= =            
(4星)	 我的第一部泰剧，Dome Pakorn Lum 蛮不错的。但是我真的不适合看偶像剧，看了总笑场。            
(5星)	 traipoom一百颗星！！！！！！！            
(4星)	 好吧 為了看神帥（分數也是打給他） 終於把這無奇多漏洞的劇追完鳥 吸血鬼戀人魔咒啊 快讓dome&amp;ploy複合吧 dome&amp;現任簡直就是梅林裏面亞瑟&amp;滾娘的現實版！！            
(4星)	 好喜欢Dome和Ploy。            
(5星)	 男主角帅到无边。特别是日本之行那集。给五星是因为我想他们两个复合复合复合复合！！！！            
(3星)	 泰式酸辣味吸血鬼电视剧，帅男主+小白女主，符合吸血鬼题材作品的全球规律。P&#39;dome着实太帅了，Ploy着实太美了～            
(3星)	 Dome有吸血鬼的特质……演员都还挺赏心悦目的……就是剧情太弱了……            
(2星)	 为毛全世界的吸血鬼都不爱干正经事就爱谈恋爱？为毛全世界的吸血鬼就属嫩牛五方兄最丑？蔡国庆老师真是个小白，Ploy也很弱，还是更适合演冷血冷艳女二号。            
(NA)	 ploy女主，偶像剧……            
(5星)	 男主超帅，第一眼看的时候，还不觉得怎么样~~后来，越看越好看！！！            
(NA)	 太纯了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。            
(4星)	 结局一般呀，服装很喜欢~很欧美            
(NA)	 Dome-你如果真是Traipoom那种性格就好了-说实话-现实生活中我对你挺失望的-            
(NA)	 我好奇的是为什么两个分手的演员还能这样演情侣~~            
(3星)	 男主够帅。女主是许维恩和萧亚轩的结合体好不好！            
(4星)	 男主各种美好。剧情太弱。            
(3星)	 蔡国庆啊有木有！！哈哈            
(2星)	 女生长相顺子，第一次看黄种吸血鬼电视剧。。泰国的电视剧编剧比较追求狗血的境界。硬件不错。            
(2星)	 ......吸血鬼的爱情和复仇故事            
(4星)	 分数献给神帅和准姐。            
(4星)	 dome真帅 ploy的状太浓            
(4星)	 因为男主多加一星。            
(5星)	 吸血鬼题材的我没有免疫力啊！！！！很帅啊！！！有没有！！！            
(3星)	 沒看完            
(4星)	 男主好帅！！！！            
(5星)	 被帅神煞到            
(NA)	 泰难看了，还是灭了吧            
(5星)	 男主角确实很帅            
(3星)	 男主是我见过最帅的泰国演员            
(5星)	 泰剧是王道啊啊啊   矮油 这剧情  姐又可以YY了快更新！！！！            
(3星)	 我生平的第一部泰剧啊，男主很帅。            
(4星)	 好看！            
(4星)	 剧情一星+男主三星+女主二星+讨厌配角负二星            
(NA)	 帅dome啊。。。            
(NA)	 2011剧情很烂，不过男女主很养眼            
(4星)	 挺好看的泰剧，只是看得我那个心急！！！！            
(3星)	 真一般            
(2星)	 在惊叹完男主怎么可以帅的同时，我原来怎么就没发现蔡国庆老师的美好呢。虽说是冲着男主看的剧，看我依旧没有坚持下来，剧情那个狗血阿。            
(3星)	 除了男主帅 女主还可以之外。。。剧情和画面没什么看点。。。            
(4星)	 想看帅哥啊 有木有 单纯想看帅哥的话 是很好的选择 泰剧这个剧情拖沓程度啊 最后一集打架打得我干着急啊 有木有 虽说是一天快进就看完了  哇哈哈哈哈 看到帅哥就会心动啊 有木有 多看帅哥有益身心健康啊 PS 男主女主 你们快点复合吧 大众的呼声啊            
(NA)	 第一次看到是9.8的高分哇~帅死了。            
(3星)	 有点点拖沓。女主长的真像郭子呢。男主超帅~            
(3星)	 dome帅爆了 但是剧情太弱了....            
(5星)	 男的挺帅，女的挺漂亮，剧情挺狗血……绣十字绣时候的必备良品……            
(NA)	 我竟然看完了！！            
(4星)	 女主让我吐槽无力啊，之前几部ploy都演的不错，这部戏女主定位实在不喜欢，不过神帅眼神真的好犀利啊            
(5星)	 内容剧情神马都是浮云,只要当场男主角的大头贴15连拍就可以了,各种帅啊有没有!温柔的可以滴出水的眼神有没有!直接秒杀            
(5星)	 男帅！！！            
(3星)	 情节忽略。。3星给曾经的情侣档DOME&amp;PLOY            
(4星)	 神帅！            
(3星)	 虽然男主帅男二可爱，但按照剧情与制作还是美国吸血鬼类片子好啊            
(4星)	 给Dome和Ploy姐亮分。。。            
(4星)	 男主角的颜无敌了！！!            
(3星)	 神帅一出其他的都是浮云！浮云！浮云！TMD帅成这样，剧情什么的都不用看了，直接五星吧！            
(4星)	 简单来说这就是帅哥美女堆出来的 男一什么都不干也很帅 不愧是&#34;神帅&#34; 男二感情走向很神奇 男三女三这对神奇的兄妹也是 恨不得进去揍他们！~but粉红什么的实在很有爱啊 怪不得大家都想他们复合~~            
(3星)	 俺记住了男主始终如一的表情以及女主的PG···            
(4星)	 剧情满扯的 全是为了看男猪脚 女二号真心蠢            
(5星)	 看了后就中了DOME的毒，没救了！            
(3星)	 女主更有Vampire的气场 惊艳。 剧本幼儿科。人物个性单一，很无趣。各种不够味儿... 泰剧的特点，坏蛋永远是瞪着眼看着就十恶不赦 再不来恶狠狠的瞟你个大白眼儿 = =             
(2星)	 男主还不错，剧情好幼稚！            
(4星)	 一直很喜欢吸血鬼题材的电视剧或者电影。这部主要是有了养眼的男主和女主。。男主对女主的深情，两人完全的默契。现实中DOME的女朋友。。真是。。无语。。。还是赶紧和PLOY姐复合吧。。（里面的男二GUN貌似是爱情与阴谋较量里面的坏男二，身边的女的也是爱情与阴谋较量里女主的好朋友）            
(5星)	 冲着dome和ploy打的。当然还包括我连续两天日夜不睡的看完它！            
(4星)	 男主太帅。。沉浸在他的眼神里不能自拔。。            
(4星)	 唉哟，泰国的片子男主角都帅得不行，大爱男主角。            
(5星)	 dome帅死了，帅的惨绝人寰啊            
(5星)	 好吧 我就花痴了 就冲着男主看的            
(5星)	 DOME            
(NA)	 没有太多的波澜不惊，可是很温馨啊~~男猪脚笑起来好可爱啊O(∩_∩)O哈哈~            
(5星)	 男主角！！！！！            
(4星)	 就是泰版暮光之城 剧情一般 想看帅哥美女的可以来看这部 混时间呗            
(4星)	 男主角果然神帅。女主角虽然演技很好，但长相真的很坏女人啊。            
(5星)	 第一次看吸血鬼有华丽惊艳的感觉~超喜欢女主跟男主撒娇，然后DOME顶不住答应一脸无奈的样子，好有爱~~            
(4星)	 蔡国庆毁了一切            
(NA)	 看得直扭曲，蔡国庆变吸血鬼的感觉...            
(4星)	 男主角很帅 女主角很美 就是他们一说话就觉着别扭   剧情好弱智啊或者说坏蛋们笨死了~~            
(5星)	 知道Ploy和Dome曾经的爱情故事之后，分手两年之后合作，还是有爱的痕迹。            
(5星)	 男主真的帅啊，其实男二三，也都不错。就是讨厌死那个妹妹了            
(5星)	 男主角能不这么帅么……            
(5星)	 实在是般配啊半拍般配~            
(5星)	 意外收获帅哥一枚！            
(4星)	 尽管剧情漏洞百出，但是这些不是重点，都可以原谅，因为几个男人都好帅，男主和女主好配，拜托快点复合吧！！！！Dome太帅了呀！！！！第一次看泰剧，感觉还不错。            
(5星)	 被DOME电击……很帅很有爱，笑起来让人感到贴心温暖，隔着墨镜都能放电！！好后悔木有陪他们王府井吃饭，谁叫我开会的谁叫我开会的谁TM叫我回去开会的！！            
(4星)	 男主真的超帅超帅 剧情真的超烂超无语 为了我的DOME给四星吧 没有DOME2星都没有            
(3星)	 男主够帅            
(3星)	 男女都美            
(4星)	 真心觉得dome很帅很绅士            
(5星)	 全给Dome和Ploy！！！！！            
(5星)	 五星全都给男主好么！            
(3星)	 呃……第一次看泰剧，以前偶尔瞄过几眼泰剧总会笑场、吐槽，当然这次也不例外，继续看下去的理由嘛，吸血鬼的题材我还是很有爱的！男主长得……呃……乍一看像蔡国庆，再看像N多年前的琼瑶男（忘了名字），侧面还有点陈冠希，呃……结局不喜欢，死了好多人呐！另不太习惯泰语发音，太怪了，听着总想笑            
(3星)	 剧情狗血，冲着男主的帅气看完~            
(5星)	 D超帅~~P好美~~真希望两人能够复合！！！！            
