http://movie.douban.com/subject/1478186/	射雕英雄传 射雕英雄傳
(5星)	 背景简陋，技术落后，但丝毫不能掩盖各路演艺人员的熠熠光辉阿~~~叹，射雕的最佳版本。            
(NA)	 拜托  连它都没看过还算是地球人吗铁血丹心前奏一响  已经荡气回肠了  靠            
(5星)	 好想重看，这本电视剧最给力的，其实是成吉思汗。电视剧前面都是9分，只有最后成吉思汗登场，才是10分完美。攻城掠池，天下人俱是草芥。最想郭靖当儿子，却杀了郭靖的母亲，死前绝望地看着一手养大的郭靖。纵横天下，这就是纵横天下的人            
(5星)	 现在再回头看，已经觉得惨不忍睹了。只有音乐还可以久听。可是那时候，却是惊艳。            
(4星)	 这是最经典的，我喜欢黄日华扮演的靖哥哥            
(5星)	 永远的蓉儿同学            
(5星)	 一曲《铁血丹心》，听得人心潮澎湃！所有人围坐在唯一的一台小黑白电视前，一起感伤，一起欢笑，一起度过那段《射雕》时光~~            
(5星)	 原来编导是杜琪峰            
(5星)	 高考结束第一件事就是跑去租这套碟            
(5星)	 射雕三部曲.必看曲目.            
(5星)	 偶很喜欢翁美玲。            
(5星)	 不断重播，不断重播            
(5星)	 这应该是关于电视的最初印象了吧            
(5星)	 百看不厌的！            
(4星)	 经典啊。蓉儿。靖哥哥。            
(5星)	 翁美玲啊...翁美玲...无敌的经典...            
(5星)	 大善，我奶奶那时候还上班呢老赶回来偷看呢还            
(4星)	 靖哥哥。。。            
(5星)	 小时候有这部片子看是一种福气            
(NA)	 港剧            
(4星)	 回忆总是美好而残酷的            
(NA)	 四川卫视在翻来覆去播这部剧，现在看，最唏嘘的是杨康。            
(5星)	 这个傻男机灵女的模式，影响鸟好几代            
(5星)	 每次看我妈都念叨翁美玲真是死得可惜啊~            
(5星)	 回顾经典            
(5星)	 落后的技术简陋的背景并不影响它成为经典            
(5星)	 也记不清多少遍了            
(3星)	 小时候在电视上总是看不齐。后来，初二，租碟。大汗死了，那盏灯灭了，我哭死了。苗乔伟挺好看的。翁美玲小虎牙，萌。歌都挺好听的，我还曾深夜躺床上唱呢。PS:其实，1979年，米雪版的才是第一版的射雕。            
(5星)	 裘千仞学术造假            
(5星)	 杨康很有个性，很真情，有这些就够了            
(4星)	 经典~            
(5星)	 我居然没加……真是灯下黑            
(5星)	 最爱的电视剧之一，好看的程度只有《大时代》能勉强与之媲美            
(NA)	 傻郭靖*俏黄蓉，几代中国人口耳相传的人物符号            
(5星)	 什么叫经典!!!            
(5星)	 翁美玲            
(4星)	 小学时，掀起被角偷着看的。喜欢黄药师~            
(5星)	 经典之中的经典！再也找不到一个想翁美玲一样像黄蓉了~~            
(5星)	 经典。            
(4星)	 看过一小部分            
(5星)	 经典不多说废话            
(5星)	 小时候看过的武侠片            
(4星)	 我从来没觉得翁美玲很漂亮..看了兄弟才知道苗三哥真是他妈的越老越有味道~帅呆了            
(5星)	 怎么一个经典可以形容？小时候天天看            
(5星)	 剧情和音乐后者都难以突破            
(5星)	 超喜欢朱茵的黄蓉扮相！！！            
(3星)	 印象不深鸟～            
(4星)	 曾经沧海难为水            
(5星)	 其实我只记得一段，就是黄蓉受伤，郭靖看着她的脸，皮肤薄薄的，透出一根根细细的血管            
(4星)	 郭靖永远那么惹人厌啊…蓉蓉不和七公在一起简直天怒人怨o(&gt;﹏&lt;)o~~还有全真七子和江南七怪这两拨超级大祸祸！智商为负武功又烂还偏要到处瞎掺乎！            
(4星)	 翁美玲真是满分蓉儿，越看越喜欢，刁钻可爱，传神动人，我见犹怜，曾江的黄药师也很棒。至于剧情，牵强之处不胜枚举，各种BUG也难以计数，但无法掩盖其经典光芒。作为最值得回味的一版射雕，当之无愧。            
(5星)	 7.5 两周看完，经典自不必说            
(5星)	 怀念            
(5星)	 最近又在看  28年以后还是很吸引人啊！！！            
(4星)	 反反复复不知道看了多少遍，今天发现四川卫视又在放了            
(4星)	 永远的俏黄蓉~            
(5星)	 经典            
(5星)	 【翁美玲手执竹棒，一个侧手翻跃到金庸面前，一拱手：“桃花岛主之女黄蓉拜见金大侠”  于是，书中的黄蓉自此姓翁。】            
