http://movie.douban.com/subject/3285407/	波士顿法律  第二季 Boston Legal (Season 2)
(5星)	 Schmidt真是个妙人            
(4星)	 Denny啊Denny。我对Alan所有的预测全部错误，他一点都不是腹黑也不傲娇，不是我最萌的森田忍型。但是，这么贯彻自己意志的生活，看着真是感慨。最好的时候就是一天结束，在阳台上，雪茄盒威士忌，成人世界的最后童话。            
(5星)	 抬头不必收腹。            
(NA)	 Lori呢我要lori            
(4星)	 吃饭的时候看略显紧张 于是吃饭的速度就越来越快越来越快= =            
(5星)	 精彩。            
(NA)	 片头大大的BL告诉我们 律政剧不腐是没有前途滴            
(4星)	 denny和alan越来越亲密了。天天看alan的鼻孔还那么喜欢他，不是有毛病嘛！            
(4星)	 渐入佳境            
(5星)	 ALAN SHORE和DANNY CRANE 太有爱啦。            
(5星)	 虽然很好，不过比第一季稍逊            
(5星)	 两个男人真有爱啊。。            
(5星)	 Michael J.Fox -- special guest            
(4星)	 Shirley最后甜蜜的一吻            
(4星)	 james spader比起sex lies and videotapes的时候老了好多，依然迷人倒是。            
(5星)	 第二季一样好看，我爱上alan shore            
(5星)	 S02E02..Why R We Here? 实在是巅峰的结案词啊...            
(5星)	 第二季看完.........            
(5星)	 Alan的结案陈词总是牛逼闪烁，长得令人发指。其中第2集：schadenfreude，Alan为黑寡妇辩护的结案陈词最为精彩。            
(5星)	 精彩绝伦，心态开放，基情无限。            
(4星)	 第二季开始变得好欢乐            
(5星)	 Alan!Denny!最爱的美剧之一！！！            
(5星)	 这季开始爱上shirley 不乏出彩集数            
(5星)	 补美剧啦~            
(5星)	 一张嘴走天下....            
(5星)	 相逢恨晚~            
(5星)	 原来看的            
(4星)	 我想说第二集那个closing简直太爽了            
(5星)	 My Alan Shore            
(5星)	 sexy~            
(5星)	 律政题材里你仍然是最爱。            
(NA)	 最爱，            
(5星)	 死胖子也有春天            
(5星)	 经典中的经典！            
(5星)	 第二季开始的确精彩万分            
(5星)	 太好看了！可惜独乐乐不如众乐乐，没有人陪我一起一边笑一边吐槽。            
(5星)	 老美的逻辑真他妈精彩            
(5星)	 卧槽，太有爱了！！！！！！！            
(4星)	 一直在想，当这帮子巧舌的律师作为辩方遇到CSI的调查员整出来的线索时，结果该怎样中和？            
(5星)	 依旧迷死人的Alan Shore!            
(4星)	 shirley最爱            
(5星)	 匪夷所思……            
(5星)	 怀念在北京的一切。。。            
(4星)	 AlanShore 不错 欣赏 还有那个blonde            
(5星)	 这季不错的..给Common Law的作业带来很多启发..可惜三季刚开了个头就腻了..            
(NA)	 k support me            
(5星)	 life is wonderful            
(5星)	 Alan 好像熊熊哦~~呼呼~            
(5星)	 比第一季精彩很多            
(NA)	 还是喜欢第一二季~            
(5星)	 很喜欢第一季里的金发美女了，不过到这一季就露了一面就消失了，出现了新美女丹尼斯~越来越喜欢这个女人了~            
(5星)	 那么无畏的流氓alan shore 如果来到某国的土地上 也会不知所措的吧            
(4星)	 要学会把结案的功力用到aw里去            
(4星)	 为什么女主角一个比一个讨厌呢。。。            
(5星)	 我喜欢上Denise了。            
(4星)	 不愧BL的缩写，腐得我俯首称臣啊啊啊！            
(5星)	 很有意思的一季。            
(5星)	 a really good lawyer is priceless            
(NA)	 Alan Shore            
(5星)	 vivalavida 灵魂剧             
(5星)	 Lori和Denise都是職場潛規則的受害者啊！真可惜，非常喜歡這兩位！BL裏面最出彩的男角應該算是Alan Shore和Jerry Espensen。            
(5星)	 人人都爱alan shore            
(4星)	 比第一季稍微逊了些            
(5星)	 Never before have I seen a show that gets significantly better in the 2nd season than it did the 1st. This show is pure genius presented in the form of a television series.             
(5星)	 看完了两季。追第三季！            
(3星)	 好像越来越无聊了的样子....不过好喜欢新来的女律师&gt;&lt;            
(5星)	 Alan及Denise真太是魅力了，榜样！可是Alan要是用再帅一点的演员会更迷人......            
(5星)	 重温ing。Alan Shore各种傲娇精英闷骚性情，符合我对男主角的最高要求。这个剧就是七分装疯两分卖傻，剩下一分戳心肺。            
(5星)	 上一季是从觉得Alan是坏人到有点喜欢，从这一季开始爱上Alan。。Denny有点老的不可爱了。            
(5星)	 Allen Shore~~~            
(3星)	 我几乎把所有的时间都花在忍受一个叫“denise”的像极了“friends”里面“monica”一样的角色            
(5星)	 编剧是越来越不着调了，拧着劲儿要把Alan哥写成变态是伐。            
(4星)	 如果我要离去，希望有一个像Alan一样的朋友。            
(5星)	 我终于搞明白了，我是因为迷恋艾伦肖才爱上了肖恩张只不过我在肖恩张之后才发现了艾伦肖@@            
(5星)	 原以为很严肃结果越来越像肥皂剧, 似乎法律程序被淡化了只是突出了closing言辞中的个人魅力...不过还是各种赞, 人物比第一季丰满, 随时透射出的意识形态和政|治背景, 还有Alan叔的确魅力无限 (忽然发现很多魅力无限的男人其实都是婆婆脸...orz)            
(NA)	 唯一让我失去看下去的欲望的就是那个脑残melissa.为什么每一个高智商剧总会掺进一两个脑残的金毛.            
