http://movie.douban.com/subject/3062886/	天子寻龙
(4星)	 这两天都在看，我爱文颂娴的演技和甄妮的歌喉。            
(NA)	 应该是看过的。            
(5星)	 很好！            
(3星)	 重播了一遍又一遍，于是看了一遍又一遍。            
(3星)	 这历史被篡改的。。            
(2星)	 我姐姐租的碟 那个时候就跟着一起看 成了我有限古代史知识的一部分了            
(NA)	 主题曲好听=▽=            
(3星)	 童年有TVB还是很幸福的一件事情            
(4星)	 主题曲好听.文颂娴为什么不能红,挺漂亮的.            
(2星)	 为了文颂娴。高二其实很早就喜欢上了碧瑶，前半部分俩人的对手戏虽然俗套，却甜蜜，从高力士假扮太子开始，这部戏就乱了阵脚，要讲的太多，却没有办法兼顾。高二的感情戏越来越扑朔迷离和勉强，太多硬伤。            
(4星)	 也是小学中午TVB送饭剧! 碧瑶仙子啊~（笑）            
(NA)	 看没看完我都不记得了。内容根本想不起来了。            
(3星)	 2002年看过            
(3星)	 比较那个啥。            
(3星)	 可怜的阿雪，自己牺牲了不说，最终还碧瑶和阿二在一起了。。。哎            
(3星)	 搞基就是这么来的。            
(3星)	 其实它一部烂剧来的。那年就觉得杨怡长得很漂亮！那时预言她将来能上位！            
(4星)	 那时候很喜欢文颂娴。            
(4星)	 初中那會兒真的覺得非常好看的！！            
(4星)	 当年很喜欢。。            
(5星)	 结局太亮了 居然是杨玉环~~~~~~~~            
(4星)	 当时觉得杨怡好漂亮啊，很喜欢，陈浩民也很可爱~            
(3星)	 真的看好多- -            
(3星)	 杨怡演这个“第一美女”怎么看都不美            
(4星)	 很久前的片子            
(5星)	 挺好看的，我还记得是我小学六年级看的，真的很棒的一部片子，为什么分这么滴啊            
(NA)	 仙女与凡人，天子与美人，从街头小混混到九五至尊。。。。。。            
(4星)	 哪有那么苗条的···杨玉环啊            
(3星)	 6/10            
(3星)	 还可以吧，典型tvb港剧            
(3星)	 俺滴童年 始终与港剧相伴            
(NA)	 文颂娴……            
(5星)	 碧瑶仙子。。。            
(4星)	 TVB拍神话剧一向不错，这部也不例外，喜欢陈浩民和文颂娴的爱情故事。第一次看杨怡演的就是这部戏，那时觉得她真像张可颐。            
(3星)	 印象最深的是陈浩民背着虚弱的文颂娴在街上走，文颂娴显得好娇小            
(4星)	 石榴姐演他娘太棒的，看的我眼泪哗哗的~            
(4星)	 TVB神话剧经典！            
(3星)	 还记得那颗龙珠            
(4星)	 记得文颂娴那里面的扮相很美            
(3星)	 看看吧、、            
(3星)	 里面有杨怡么？完全不记得。。。没见过这么瘦的杨贵妃，编剧有没有常识的？？？            
(2星)	 一星给文颂娴            
(5星)	 童年美好的回忆啊！！！            
(4星)	 喜欢文颂娴            
(3星)	 看不多。            
(3星)	 只为两个主演看此剧。            
(5星)	 特别喜欢TVB古装            
(4星)	 以前的时候看特别喜欢的，不知为什么回头来重温会没啥感觉？电视剧吧，还是那种每天一集的期待才觉得好看的。            
(5星)	 陈浩民你是如此让我爱吖            
(3星)	 非常能扯            
(3星)	 小龙女挺纯。            
(3星)	 当时这个是和妹妹一起租了影碟来看的~还不错了，只是陈浩民的造型有点儿傻而已，而且在这部戏里，高力士原来是他的哥哥，真是能编~            
(NA)	 喜欢的故事，喜欢的女主角。            
(4星)	 当年有个苏哈被人遗弃河边，系边个菩萨心肠，救他返来养大他，若然不是，一早被豺狼叼了去。            
(2星)	 为了文颂娴。。。好难看的剧。。。            
(4星)	 碧瑶～            
(3星)	 主题曲可以的，那时候同学给我讲剧情讲的很投入            
(4星)	 大爱陈浩民            
(3星)	 可爱的文颂娴，但主角之间少互动。            
(4星)	 剧情OK            
(4星)	 在学校时食堂总放，后来上网找来看，才算看全            
(4星)	 小怡古装真美~            
(3星)	 甄妮唱的主题曲            
(NA)	 碧瑶仙子            
(5星)	 文颂娴啊            
(NA)	 TVB就是能编，不喜欢碧瑶，喜欢慕容雪            
(5星)	 超级好看!~            
(3星)	 碧瑶这个名字很好听 剧情就一般啦 人都不错            
