http://movie.douban.com/subject/4804560/	爱在日落之前 อยากหยุดตะวันไว้ที่ปลายฟ้า
(2星)	 只有10几个人保护的王还这么不好推翻也就算了，女猪脚居然这么丑又不可爱，我看男猪根本是想被包养！            
(4星)	 推荐原因是男主角好正，值得一看。女主角的性格让我受不了，结局让我生气，人家高大帅气，有勇有谋，救你全家，哪里配不起你这个小国公主了，气人            
(2星)	 泰剧，和奶奶看的。。。||男猪脚很帅，但是太白了，身材不错，想让人蹂躏=。=||女猪脚太特么丑了！！            
(5星)	 我看了他之后 男主角太帅了。不想吃饭不想睡觉 只想看你。&gt;&lt;            
(3星)	 就这么一片儿，安徽卫视还弄删减版            
(3星)	 喜欢男主角  女主角长的好J8奇怪。。。            
(4星)	 仅仅是来看男主的！            
(3星)	 男主角叫什么？？？？？？》            
(2星)	 男主角很帅            
(3星)	 泰国版罗马假日，爱上公主注定就是个大杯具。            
(2星)	 陪着我妈看的这剧。最后一集夕阳下男主要吻公主的镜头很漫长。感觉男主心里的OS是“MD这张脸怎么那么难看。到底要不要吻啊要不要吻。算了 眼睛一闭就当为艺术献身了吧！”哈哈哈            
(NA)	 好把。。。只是为了那个可口男主角而看的，女猪脚直接忽略            
(3星)	 男一果断亮点            
(3星)	 山寨韩剧，剧情不靠谱到令人发指的地步，根本没有分，第一大反派嘴特别小，而且特别爱抓人头发，扇人耳光，唯一的亮点就是男主角是惊天动地的帅，就这一点可以打五星，但女主角个性太差，基本就是所有人的大累赘，所以抵消2星            
(NA)	 哈哈哈我爸说男主要是和女主在一起肯定是为了钱n地位 要不这么丑的女人谁看得上啊            
(2星)	 在安徽台看到一堆奇奇怪怪的泰剧，当初看是因为男猪脚颜还不错，而女猪脚。。。还是让观众洗洗眼去吧            
(3星)	 男主不错。。。女主就。。。。真特么的丑！！！！！！！！！！！！！！！！！！            
(3星)	 囧啊。。。为毛我觉得男主角还不错，虽然看了几集从头到尾我都猜中剧情发展。。。            
(2星)	 女猪脚真特么丑            
(NA)	 不喜欢女主的脸            
(2星)	 女主太丑看不下去...            
(3星)	 我就在今天和我爸妈看了一个结局好像= =            
(4星)	 果然男主角是亮点。。非常帅            
(3星)	 女主实在太难看。。。跟着电视勉强看完了。。。            
(2星)	 男主角不錯，女主角很醜，性格設定又很煩人，外加故事老梗，看了挺吃力的            
(3星)	 son= =            
(1星)	 女——主——角——丑——爆——了——            
(2星)	 因为女主我真煎熬啊！            
(3星)	 男一是亮点 其他好无力            
(2星)	 纯为son看的。。            
(3星)	 奇妙的不爽感            
(3星)	 终于看了全是为了son啊。所有的女演员都比女主好看 女主真是长了张遭压过的甩饼脸 前面爱情后面枪战 非要把一个爱情故事整的这门枪林弹雨迈？            
(3星)	 公主和保镖的爱情，还BE。男主很瘦弱很韩国美男，女主不像公主，还大饼脸，保护被保护中产生爱情。最后滚床单了还不在一起，坑爹啊。            
(3星)	 完全是因为son先生才坚持看完的TAT            
(2星)	 之前看的泰劇 女主都很漂亮 就以為泰劇的女主都會很漂亮 可是...這部的女主實在不敢恭維 男主還行 女主真的不好看 而且劇情也不大行             
(2星)	 和奶奶一起看的 泰剧的一大特点就是剧情烦琐重复 女主角又丑又没脑子 真没见过笨成这样又这么没生活常识的公主 就这样还能复国 别笑死人了成不            
(1星)	 不会吧，泰国片您也引进？而且配音那么恶心。真是只能引进什么看什么啊，可怜的天朝人民            
(3星)	 大饼脸公主+小白脸保镖的纠结不已的短暂爱情            
(3星)	 女主很难看，泰国没人了？穿越时空寻找爱也是她演的，想不通啊！发型搞得那么夸张，脸白的像没血，混血儿吧？五官实在不像。剧情一般，逻辑性不强，不像警匪，特工那种水平，武打动作也不如中国的。男主很帅，但妆画得像女的。            
