http://movie.douban.com/subject/5282458/	胜者为王4争霸
(4星)	 张智霖你一点不老你老婆压力很大的呀~~            
(4星)	 爱张智霖 爱蔡少芬 爱杜汶泽            
(5星)	 杜汶泽波霸笑喷了 张智霖还是那么灵 故事也紧凑 比最近TVB的好看多了            
(3星)	 哈哈，两大主演是最爱，虽然是atv，凑合着看。还好，一般吧。            
(NA)	 看不下去了            
(4星)	 又是一个完美爱情的童话            
(3星)	 剧情绝对的走老套路...弃吧。            
(3星)	 张智霖那真是水灵啊···嫩嫩嫩！            
(5星)	 剧情目前为止还算精彩，人物发展不连贯            
(5星)	 故事很好看，演员们演技也很好属于慢慢成长型的，节奏不算很快，前几集有些压抑，但演的很细腻，不闹。            
(4星)	 虽然偏爱TVB，但是不可否认的是，亚视的剧集人物处理的更细致，情节更跌宕起伏，更有诚意。不可自拔的迷恋，无法摆脱的宿命，放弃不了的感情，哪一个不能打动人心。虽然ADA自《洛神》之后再无佳作，但是这并不妨碍我对她的爱，可惜剧集里的配音太难入耳！万年娃娃脸的帅的没道理的大仙，爱死了            
(4星)	 还蛮好看的。喜欢蔡少芬。            
(NA)	 我真的不喜欢蔡少芬~张大仙你真是逆生长啊 还能再水灵点啊~            
(4星)	 3+ 人生其实也是一场赌博。里面不少做人的道理。Chilam的笑容过无数年还是那么好看啊            
(3星)	 前半部给力，后半部泄底。            
(4星)	 亮点在两位美女樊亦敏和陈逸璇，看到了久违的韩国才            
(NA)	 zenme kan a            
(2星)	 并不是因为剧情差，而且ADA的声音听得实在看不下去，好受罪！            
(4星)	 張智霖的酒窩無敵……杜汶澤這麼早就掛了是因為檔期麼……蔡少芬瘦到快不能看了，更襯出樊亦敏靚，只可惜演了個如此不開通的角色，還掛得如此之慘……如沈從文先生所說，賭真是好無聊、好俗氣的事，爛賭鬼不值一提……發現由小至大賭片看得太多，嚴重審美疲勞；看到張杜兩位聯手的份上給四星吧            
