http://movie.douban.com/subject/3292797/	烈火雄心3
(3星)	 看到我的王喜哥搞成这样..看不下去了,跟1和2完全不是一个档次的..唯一可说的是,王喜的演技...太强大了!! 3颗星全是给王喜哥的!            
(3星)	 我真是连打2星的心都有了 烈火系列的辉煌毁于这部 王喜你是tvb的牺牲者 郑嘉颖被塑造成十全十美的绝种好男人 胡杏儿的演技和她的假发一样假!!            
(3星)	 陪女朋友看了一天这剧，只要有字幕的东西她都不高兴看，所以只有选择TVB了……救火场景倒是不多，剧情仍旧平常得就跟自己的生活一样。            
(2星)	 我很佩服我自己竟然坚持了十几集。先是回忆。后是昏迷。受够了。放弃！            
(2星)	 连何姑娘都比胡杏儿漂亮。起码五官干净。            
(3星)	 鐘有成  你有完沒完            
(3星)	 情节很狗血，最烦三角恋。            
(3星)	 太狗血了...只喜欢encore&amp;easy。胡杏儿到底是怎么做上主角的...看到王喜哥搞成这样..看不下去了,跟1和2完全不是一个档次的.. 唯一可说的是,王喜的演技...太强大了!! 3颗星全是给王喜哥的!             
(NA)	   无语。。            
(2星)	 很期待的剧，居然看不下去了。。。            
(3星)	 最近电视台在房，断断续续看完了。王喜老了，哎。            
(3星)	 Out of difficulties，make miracles!!PS：杭州好紅哇~提到好幾次~哈哈哈！            
(2星)	 完全只是因为烈火雄心这金子招牌和BOSCO完美号召力。但是此剧一点让我看下去的冲动都没有，失望            
(2星)	 炮灰啊炮灰....什麽破爛編劇            
(3星)	 bosco啊，劲精灵。烈火剧本越写越离谱。。。最后一集那段火场戏超刺激的。            
(NA)	 狗血            
(3星)	 只能说冲着郑嘉颖去看的。            
(3星)	 我宁愿是个悲剧的结局~ 胡杏儿头发好假            
(4星)	 消防真的很危险啊，向他们致敬。发现里面有大大的帅哥一枚，以前都没发现咧，制服很抬人的喔。            
(3星)	 好多好多好多好多帅哥~胡囧囧画的大浓妆可是还是好丑...            
(3星)	 encore系同猪脚姜脱不了干系的喇 easy都几可爱啊。真心觉得两个男人为了胡杏儿这个女的闹翻的剧情很扯！！！！！！！！！！！！！！！            
(4星)	 无法给五星是因为胡杏儿不是一般丑得令人作呕！女二号也恶心，TVB现在捧得新线怎么都这样让人失望            
(NA)	 没有之前的好看 演员素质不错 剧情不喜欢            
(3星)	 胡杏儿到底是怎么做上主角的...            
(4星)	 一如既往地跑题的烈火系列            
(3星)	 看不下去了~噗~            
(3星)	 狗血啊~            
(3星)	 没以前好了。            
(NA)	 因为王喜，还是值得的            
(2星)	 看不下去了 难看S            
(3星)	 越来越渣看不下去了=-=            
(NA)	 王喜一点都不喜。            
(2星)	 开头被剪辑雷到，中段被钟有成这个人物雷到，尾段被草草收尾的Happy Ending雷到。            
(3星)	 太狗血了            
(1星)	 争女雄心+凑仔雄心+嗌交雄心+自杀雄心，净系唔救火。罄竹难书的失望与愤怒，烈火的招牌就这么践踏了 。            
(4星)	 比1难看点点，比2差远了。            
(3星)	 it&#39;s really very disappointing!            
(5星)	 my BOSCO~~~~~~~~~~~            
(5星)	 happy ending。KC靓仔啊，后半部分王喜的戏看的好感动的            
