http://movie.douban.com/subject/3025290/	九岁县太爷
(3星)	 完全胡闹的戏。            
(NA)	 曹颖那颗痣真讨厌            
(NA)	 我曾经看的津津有味。            
(5星)	 小小年纪不一般啊！县太爷现在可好？            
(NA)	 好2b阿            
(NA)	 这么雷的剧我竟然看过- -            
(4星)	 这剧好啊 噱头都够了            
(NA)	 額……            
(NA)	 补遗               
(3星)	 曹俊啊曹俊小时候真可爱            
(1星)	 无聊            
(3星)	 至于么，小时候觉得挺好看的。            
(2星)	 小和尚。。。。。。。。。。。。            
(3星)	 得，原来的小男孩都长大了开始谈情说爱了，回看一下当初真的都很嫩很青涩。            
(3星)	 年少回忆。            
(NA)	 曹骏X释小龙我也萌的……不过啊曹长大了似乎消声灭迹了…………            
(4星)	 陪伴我度过很多个寒暑假的雷剧 回想起来好亲切……            
(3星)	 打发时间完全ok。            
(NA)	  - -             
(4星)	 其实拍得很好看。            
(1星)	 我十分讨厌叮当的演技 即使里面有释小龙            
(3星)	 开心和释小龙凑一块了，哪个更帅呢？            
(1星)	 只要有曹颖，都是一颗星。            
(3星)	 好吧... 其实 这个 也看过一些            
(2星)	 我怎么什么烂剧都看过啊。。            
(NA)	 不喜欢曹颖            
(2星)	 吴孟达跟我一个同学愣像            
(3星)	 那个谁，很搞笑。            
(3星)	 我好像真的看过……            
(3星)	 6/10            
(5星)	 。。。曹颖现在变老了不红了，释小龙也长大了。。            
(4星)	 很久以前看得。最近好像又在放。。。小和尚武功好帅气啊            
(4星)	 还是喜欢看这版，叮当的感觉怪怪的            
(2星)	 多无聊的片子            
(4星)	 有的人活到老能有真情几回            
(3星)	 电视里放了一遍又一遍啊            
(1星)	 纯恶搞            
(1星)	 我当时呀，实在是没什么看了。            
(3星)	 那年的曹颖，是漂亮的女孩            
(NA)	 哈哈            
(3星)	 還行的喔。。我覺得            
(3星)	 不明白曹颖美的点。            
(NA)	 曹骏小时候好可爱            
(2星)	 話說當時特流行乾隆的私生子呦~            
(3星)	 依稀记得曹颖那个绿色的眼影和一个很色的老头……            
(4星)	 不错啊            
(NA)	 三星。            
(4星)	 回忆类            
(4星)	 当年觉得挺好看……            
(3星)	 好喜欢释小龙有木有！            
