http://movie.douban.com/subject/4707205/	爱情公寓2
(5星)	 我是觉得 抄就抄呗 好看就行 何必装逼自己看过几部美剧就了不起呢 电视剧这东西 不就是给人带来欢乐就行么            
(5星)	 就算抄又怎么样，我们就少这样的片子，能娱乐一下就好了，何必这么较真            
(1星)	 继续抄，加油。            
(5星)	 说抄的那些SB们！不想看就别看！还乱打什么分！这样容易误导人不明白？本来很经典的东西非打一颗星！（指个别人）我建议如果不能正确打分就别打！谁再瞎打分谁家就死妈！            
(1星)	 完全抄的老爸老妈，看毛啊看。            
(2星)	 好差，连第一季都不如，笑不出来，弃，全是过时的网络段子堆砌，犹如地方台春晚小品。第一季抄的很多HIMYM，这一季许多笑点则来自TBBT了，挺与时俱进的。如果他干脆像预告片里一样模仿community走恶搞或者戏仿经典影视路线倒还不错。eg恶搞“名侦探柯南”那集，我很能接受。            
(5星)	 就抄了就抄了 怎么滴吧~好看就行呗！觉得不好看 那就别看呗~何必装逼得瑟自己看过几部美剧呢？了不起啊~这年代谁没看过几部美剧啊！我还看过《加里森敢死队》呢~你们这群90后看过么？不喜欢《爱情公寓2》，你去看《丑女无敌》啊~你去看《一起去看流星雨》啊~你去看《一不小心爱上你》啊~可好看了呢！            
(2星)	 桥段老掉牙，情节抄袭国外美剧，什么生活大爆炸，什么实习医生，什么时尚家庭都是抄的对象            
(1星)	 一看到那个装残疾被打耳光的桥段，我就死心了，水军们随你们怎么说            
(5星)	 中国内地比较成功的一部情景剧了吧  虽然没有武林外传那么经典 虽然抄的点真的很多 但说真的抄也抄算成功了吧 没有丑女无敌抄得那么雷            
(5星)	 好看好笑是王道。            
(1星)	 再次证明中国特色社会主义山寨文化建设事业取得初步胜利。说真的，抄袭真的没什么关系，谁都知道在中国搞电视行业不抄袭是完全搞不下去的。问题是抄就抄吧，还他妈不许别人说，你以为你爸是李刚啊？文化落后不可怕，道德沦丧才可怕，今天可以抄剧本，明天就可以抄你家。            
(5星)	 值得一看            
(5星)	 或许网络对于恶俗的鉴定已经跨越了地平线，爱情公寓里面不讲爱情，但是两口子窝在家里看爱情公寓即可节省吵架废话的时间，又可以躲避女友疯狂购物的节支，这样的爱情很幸福！            
(5星)	 光看预告片就让人欲罢不能的好片子            
(5星)	 看过几集，呵呵 ，不是一般的搞笑！！有西！            
(5星)	 汪远大哥！！！牛逼的结局傻逼的结尾！！！这就是又做编剧又做制片的后果啊！！！别把观众当白痴好吗？投个毛票啊！！！！多么毁气氛多么恶心观众啊！！！！拜托你直接在曾老师犹豫选项的时候黑屏好吗？！好吗？！            
(4星)	 上一季山寨how i met ur mother，这一季山寨tbbt了……            
(3星)	 其实我特别不待见这个电视剧  三颗星 是我给它的最高水平吧            
(3星)	 我了个去~~  广告植入太明显了吧~   而且从原来的电视剧变成10分钟的短剧.....  恩  退步啊            
(1星)	 看了四集，比武林外传好笑，在国产剧中算不错的。编剧勇敢且勤奋，对复制+粘贴技术掌握纯熟。总的来说，这剧适合不太看美剧和没听过几个网络段子的同学。看到暴多同学说抄袭也没什么，就明白中国为什么是抄袭狂最喜爱的国度了。在国外干这件事会坐牢，在中国会成为牛人。比如郭敬明。比如这剧主创。            
(4星)	 贱人曾 贱人曾 贱人曾 贱人曾 贱人曾 贱人曾 贱人曾 贱人曾 贱人曾 贱人曾 贱人曾 贱人曾 贱人曾 贱人曾             
(5星)	 最后还抄了贫民窟。。。不过蛮有意思            
(5星)	 纵然你有太多的美其名曰“借鉴致敬”怒而斥之“抄袭山寨”，但不可否认你用这些老笑点一次次把我逗乐了，最后一集竟然还让我湿了！四星给诚意，一星给傲娇强气御姐女王胡一菲。观众不排斥似曾相识，但是国产剧集有太多的缺乏诚意让我们哀其不幸怒其不争。你，是个美好的例外。            
(5星)	 小贤和一菲要在一起啊！大家投票去吧！            
(4星)	 編劇你就讓賤人曾和胡一菲在一起會死啊!!!!!            
(5星)	 B的正確已揭示了風燭殘年的孤獨，我當然會選D讓第三季順理成章展開。我喜歡裏面的每一個人，每一個故事。一部好劇，賞心悅目。            
(5星)	 曾哥 ！！！            
(5星)	 笑死了            
(4星)	 比第一季差了点。            
(4星)	 生活大爆炸我没看进去，这个可是看笑死我了。虽然很多人说这很山寨，但是我觉得国内能拍出来让人笑笑的剧集已经很不错的了，总比那啥丑女无敌完全抄的好吧            
(1星)	 托儿们也太JB多了吧            
(2星)	 那么多人夸……哪里好看了……            
(5星)	 你玩游戏吗？你玩星际还是魔兽？连连看！！！            
(5星)	 小贤最后的选项，要是我，我会选B，他拿到了500W，他成了名人，很富有，但是最终才明白自己失去或者没有珍惜的是什么。但是后来，他醒了，同时也醒悟了。没错，这是个梦。这个梦让他明白，他心里真正的想法和声音，趁一切还都来得及。这个选项也正好呼应了20集最开始的那个选项：B他在做梦。            
(5星)	 这一季关谷有点神经质，不过我最喜欢的一菲跟小贤还是很给力。。。结局借用贫民富翁，但是有创新，还不错。。笑点仍在。。。期待第三季。。            
(1星)	 SB一样的片子，抄都抄的拙劣            
(2星)	 到底哪里好笑了            
(3星)	 新角色不讨喜 剧情抄过分了            
(2星)	 第二季比第一季差劲 基本笑点都是靠雷人取胜的            
(5星)	 噗。。即使被说脑残。。我还是觉得很好笑啊！~！            
(4星)	 很用心拍的片子，为嘛老是有些人瞎吐槽，抄袭又怎么了，看了几部美剧就觉得自己还是个大湿不成了？            
(5星)	 支持支持            
(5星)	 啊啊啊啊  我就想看亦菲和贱人曾成了没啊啊啊啊啊 啊 啊啊啊啊啊啊啊            
(4星)	 同样作为一个花瓶的设定，琬俞比秦羽墨比灵多了。            
(2星)	 还是没意思            
(2星)	 耐着性子看了两集 实在无笑点。。。            
(NA)	 烂            
(5星)	 很欢乐，期待第3季！            
(5星)	 笑死我了            
(5星)	 结尾太犯贱了吧            
(3星)	 各种借鉴抄袭我也忍了，就特么为了看曾小贤和一菲这对儿，磨磨唧唧两季了结果俩人毛发展都没有。第一季的几个演员缺失导致剧情严重扯淡，新角色一个都不喜欢。不知道第三季又用什么借口来解释那几个人物的不出现。            
(5星)	 略作，其他还好            
(4星)	None
(NA)	 9            
(1星)	 除了果断犀利的抄袭还有什么？            
(3星)	 笑点一般 捡的网络笑话边角料            
(5星)	 本來是給四星的，不過最後兩集加了一星。缺陷的確數不勝數，可是抄襲也能看出編劇的一些用心。            
(4星)	 子墨这个角色很做作啊            
(5星)	 天天说抄袭烦不烦，本来情景剧就是可以结合当下时尚火爆有趣话题来写剧本的，你们熟悉的情节火爆了能引起观众共鸣了，编剧就拿来揉进剧本里了。你们总说这个抄了这个抄了那个，那你们晓得你们说的那个剧的剧情也借鉴了别的电影么？            
(5星)	 很喜欢爱情公寓，不过直到看完全部第二季，我也无法完全接受个别新演员。虽然有不少《生活大爆炸》，也很喜欢，但无所谓抄袭不抄袭，看电视剧不就是一种消遣，开心就好了。就算抄袭，我觉得听着熟悉的语言也别死盯着字幕来得痛快。各有各的味道嘛，对于我这个观众来所没损失嘛            
(5星)	 必须5星 哈哈            
(4星)	 虽然是山寨，但是仍然哈哈哈哈哈哈            
(5星)	 虽然他借鉴了很多别的电视剧电影，虽然里面植入广告很明显，虽然我喜欢的美嘉走了，我还是很喜欢很喜欢很喜欢。            
(5星)	 愛情公寓里不住玫瑰和小王子  狗腿的賤人廢柴偷偷吻了鋼鐵女戰士.            
(5星)	 妈呀 10+集后精彩的不是一点点 ！！！             
(4星)	 就是很喜欢            
(4星)	 难得的国产喜剧 时尚靓丽            
(5星)	 对于一个看系列剧必从第一部开始 且一般不喜欢续集的人 却因为番茄和江西暑期档直接从第二季开始看 第一季一集都没看下 完全带着鄙视和偏见 可第二季却让我一口气全看完 关谷君好有爱啊！！！曾小贤和胡一菲特么的什么才有个结果啊！！！！            
(4星)	 抄袭痕迹严重，但是因为抄袭就说这是烂片就不对了，毕竟看的时候我笑了，盒盒盒盒            
(4星)	 我也想住在一个这样的公寓里。我的青春啊。            
(2星)	 不知笑点在哪，只知山寨过头。            
(3星)	 抄着抄着就习惯了            
(NA)	 京剧版加勒比海盗，噗            
(4星)	 可喜欢唐悠悠了，管他抄袭还是模仿呢，好笑就成            
(5星)	 剧情虽然还是不少抄袭美剧 但是不得不承认还是看笑了 比第一部好看            
(4星)	 乐了就行 ~ 好想念宛俞啊 可是结局太恶心了 。 = =             
(4星)	 山寨版老友记            
(2星)	 好冷……            
(NA)	 其实真的没有1好看            
(5星)	 我想说：去你妈了个逼！！！！！！！！！！！！！！我恨你导演！！！！！！！！！！！！！！！操你大爷！！！！！！！！！！！！！            
(5星)	 不要以为你装过逼看过几部美剧就逼逼，不爱看可以不看…别你为你骂过了就他妈高尚了，低俗也好抄袭也罢。能逗你一笑不挺好的么，别笑完之后还骂婊子贱就好了            
(4星)	 我看到了TBBT，看到了老友记，看到了老爸老妈浪漫史，甚至好汉两个半.......最后还看到了贫民窟富翁~~~虽然copy很闷，但几个演员的表演外加精彩台词，然后再比较比较国内同类型剧。。。我还是打推荐的(*￣︶￣)y但愿第三季少点copy多点原创吧(￣▽￣&#34;)            
(4星)	 其实从台词到梗还是friends比较多            
(4星)	 室内轻喜剧。            
(5星)	 真不错            
(3星)	 去年春节看的1，2011春节看的2，当然是1有料多些。            
(4星)	 我挺喜欢的，但抄的段子实在多了些            
(4星)	 曾小贤！！快来保护彪悍的胡一菲！快点在一起！            
(NA)	 东方卫视每天放一下午，受老爸老妈浪漫史的影响特别明显            
(4星)	 还是好搞笑～            
(4星)	 各种抄袭各种二, 不过很好笑管他呢            
(4星)	 当我想什么都不想，只想傻笑的时候就看这个。            
(2星)	 网络段子堆砌            
(3星)	 除了对《色戒》、《贫民窟的百万富翁》的翻拍，剩余的段子几乎全部抄袭自How I Met Your Mother。大部分细节、台词几乎都相同，只不过将不同的情节重新拼贴组织，并稍微本土化了一下。演员的表演还不错。            
(4星)	 演员表演真实，让我笑得很开心~            
(2星)	 第一季还有点新鲜 第二季就歇菜了 我是看了太多的美剧和英剧 每一集的每一个桥段我都能找到原型 有所进步 编辑都看过coupling了 不过模仿的太赤裸裸了 本来以为第一季打招牌第二季该立品牌了 结果完完全全变成了山寨 新来的那对狗男女 你们太二了             
(4星)	 没的一好看&gt;&lt;  明明展博也是亮点嘛～怎么能就没有了嘛~ 难道他去了纳尼亚？            
(4星)	 什么时候中国才可以摆脱外国戏剧的套路和模子啊，看到的都是老友记和老爸老妈浪漫史呀！东方卫视11.01.24-27            
(3星)	 除了抄，还是抄，看过how i meet you mather的不用说了。。。            
(4星)	 還挺好看的o(╯□╰)o            
(3星)	 ..            
(5星)	 要求不高 山寨就好            
(3星)	 还是第一季更好看            
(4星)	 很赞。期待第三季。            
(3星)	 比第一部差很多，但还是有搞笑的地方，不喜欢新加入的两个女的，尤其邓家佳，看着就烦。陈美嘉，你快回来吧，吕小布好孤单            
(3星)	 抄美剧有点太多了。            
(4星)	 与其说看过，不如说听过，室友看我听~~            
(4星)	 被室友拉着看的，别说，虽然不少段子比较老套，但还真能博人一笑，轻松一下~            
(3星)	 部长力荐之，三星半♪（软绵绵的张伟太逗啦XD            
(5星)	 继续支持上海情景喜剧！那些说抄袭什么的，脑子瓦特了啊，你来拍试试看呀，冈峦            
(4星)	 我居然看完了！！！            
(4星)	 好き！国内のドラマはこのように進んだら良い！            
(4星)	 最后有点伤感啊            
