http://movie.douban.com/subject/1856299/	宫 궁
(NA)	 用电脑看片的好处就是可以迅速的拖过去!            
(3星)	 是什么时候，你不经我的允许进入我心里，让我心中隐藏的阳光一股脑的散放出来，每天我的心脏好像出了故障般，想多了解你一点，想多见你一次，为了你，傻傻地笑。你把我变成这样一个傻瓜            
(3星)	 闲的蛋疼？谈个四角恋爱吧！            
(5星)	 信~             
(4星)	 其实这是我当年最难忘的韩剧            
(4星)	 还不错。朱智勋不能错过。            
(4星)	 因为当时觉得朱智勋和你很像            
(3星)	 律王子长得可真好看呀            
(4星)	 虽然比较脱离实际，尹恩惠还是很土，不过剧情还是很可爱的呢            
(3星)	 都最后一集了都没有上床亲热，没劲，干呕有个屁用了啦 囧            
(4星)	 花了我很长的时间……            
(NA)	 喜欢这个幻想题材～看的我都傻傻的笑出声音～            
(4星)	 记得当年看LOST的时候不止一次想到这部剧，为什么？皆因又臭又长。。。要不是有尹恩惠，完全不想看下去            
(1星)	 尹恩惠村姑啊            
(NA)	 尹恩惠出名了            
(3星)	 很韓劇            
(4星)	 还不错，结尾有些仓促~~            
(3星)	 那个时候谈论的人太多了。            
(4星)	 真华里啊……            
(NA)	 宫             
(1星)	 扭曲的价值观和爱情观            
(3星)	 ＝。＝            
(3星)	 莫不是夏太狂热，越到后面越是无味。            
(4星)	 有些纠结是没有必要的。喜欢律在结尾处说的一句话：“我现在所能拥有的，就是一无所有。”            
(5星)	 金正勋就素个王子！            
(4星)	 我当年多喜欢金正勋啊~            
(4星)	 很喜欢那个女主角吖。。 很多人喜欢律，但我很明显喜欢信。。            
(3星)	 一般吧，墨迹            
(3星)	 服装道具都相当华丽，但是故事情节实在有点~~尤其喜欢里面可爱的小熊~~            
(4星)	 我爱华丽丽~~~~o(∩_∩)o            
(3星)	 压缩下更好            
(4星)	 金正勋笑起来有阳光哈。            
(5星)	 太爱这部了            
(5星)	 不错的韩剧了，最近韩剧没看头，日剧比较强势……            
(3星)	 尹恩惠 挺可爱的.这样的灰姑娘变公主,嗯,我也曾经期待过.            
(2星)	 一半都没看完。。            
(NA)	 LOVE            
(4星)	 这明明是电视剧么,不过里面的还可以啦            
(4星)	 喜欢里面的衣服哈哈            
(4星)	 你会得福的            
(NA)	 06，夏。这是我走过的日子。            
(3星)	 当时觉得女猪脚还是很可爱的!!但是故事最后怎么了...我依然不记得啊!!!为什么看完了永远无法记住!!!!!!!!不过这些事情也不需要占据我大脑内存.....果断delete..            
(3星)	None
(5星)	 在我心里排行第一的韩剧。当年给我的震撼是现在哪个韩剧都比不上的。从那以后，认定尹恩惠。            
(4星)	 很少有能看下去的=、=这个是一部。。。。我喜欢李信！！！！！！！            
(3星)	 3.5。越到后面越是无味。            
(3星)	 精美系，男主各种丑            
(3星)	 ....            
(NA)	 热卖韩剧标本中的一例。            
(3星)	 我觉得不超过26集的韩剧还是可以容忍的            
(5星)	 有一些情节真慢，不过恩惠姐姐演的很好，很喜欢她！就是后面有点糯糯的，信君也是，糯糯的……            
(4星)	 当年就这样萌上了金正勋            
(3星)	 虎头蛇尾            
(4星)	 我终于想起为啥给四星了。巨讨厌男二和女二。诶呀！怎麼有那么磨叽的男人和那么难缠的女人？！            
(3星)	 头一回看原声韩剧，二十来集下来我可再也不想听到韩语了。再见。            
(3星)	 我，我也看过，，，囧            
(NA)	 超级可爱的、、            
(3星)	 没看完，算看过伐            
(5星)	 喜欢·信·            
(4星)	 韩剧里还算不错了            
(4星)	 剧情拖沓，但金正勋真的很喜欢啊～            
(3星)	 俗套啊            
(4星)	 前面好，后面拖沓。信到彩京家留宿那一集真是太好笑了！            
(4星)	 好看            
(3星)	 我爱信君和太子妃！！！讨厌男2的性格更讨厌编剧- -            
(4星)	 宫 只想说 忘不了            
(4星)	 幻想比较成功的韩剧，不会再有这种情况了。此一时彼一时啊～            
(2星)	 做为一个平面学习者我觉得片头片尾做的还不错｀｀｀            
(5星)	 我最喜欢的一部韩剧~            
(3星)	 华丽的衣服们。            
(4星)	 总算是看完乐哈哈。虽然老是误会彼此的心意,但最后不是也在一起了么?  要向对方传达自己的心意。无论什么时候都不算晚。            
(NA)	 睡觉习惯还蛮有共同语言滴            
(2星)	 无聊时可以看 不过感觉没什么劲            
(3星)	 剧是不错，可我没有那么多时间把它看完……越来越受不了韩剧的速度……            
(4星)	 还蛮不错 不过开心和伤心的部分也 落差太大了 金正勋比较帅            
(4星)	 爱上王子律。。            
(5星)	 那首歌...            
(2星)	 无论是故事还是拍摄都显幼稚的韩剧，只要挑几部有代表性的看就行了。在韩国人中，能够挑出像那个叫律的王子一样如花似玉的男生实在是难能可贵。            
(4星)	 想当年好喜欢哦= =            
(3星)	 呼呼 我的暑假            
(5星)	 喜欢那种清新的感觉。            
(3星)	 我猜我可能都看不完了...            
(5星)	 排在我最喜欢的韩剧前五名            
(4星)	 华丽的            
(NA)	 靠.太难看了.摁快进.看见两个王子好看的角度停下来审美一下.讲了什么都不知道.太傻了            
(3星)	 衣服很漂亮            
(3星)	 啊，信王子！            
(NA)	 “屁股”嬷嬷            
(4星)	 结尾稍弱            
(4星)	 律啊~~            
(5星)	 只是爱上金桢勋的微笑。再见，我的王子            
(NA)	 喜欢泰迪熊            
(4星)	 现在看非常一般的片子，当时比较理想化所以觉得很好看～            
(NA)	 --|            
(4星)	 让我认识了有淡淡微笑的金正勋             
(4星)	 忧伤的律王子            
(4星)	 唯一看了的一部棒子剧            
(3星)	 尹恩惠那时候胖的哦。。            
(5星)	 超级喜欢~            
(NA)	 信。            
(5星)	 爱疯了我....            
(3星)	 场景还满漂亮            
(4星)	 还可以啦            
(4星)	 信君            
(4星)	 关键男主角好看            
(3星)	 童话            
(2星)	 没说的，韩剧水平就没上去过。。            
(3星)	 一般            
(NA)	 2ND MOON            
(4星)	 = =因为这部戏我也中毒偶像剧。。。            
(5星)	 真得挺好看的            
(4星)	 22集以后就不用看了前面还不错            
(NA)	 缘分是上天注定的.            
(1星)	 LOW  EQ /IQ            
(NA)	 ???            
(5星)	 喜歡恩惠。2006年不可不看的韩剧首选。            
(5星)	 稀飯            
(NA)	 好看的            
(NA)	 恩惠的第一部作品很不错：）            
(3星)	 服装非常的好看！            
(4星)	 很好            
(NA)	 我居然也看过- -            
(4星)	 长残了啊 亲            
(4星)	 说实话，主要还是因为喜欢尹恩惠。            
(5星)	 和婷的记忆。我爱信            
(5星)	 想当初这是我最爱的韩剧。朱智勋。            
(3星)	 我就喜欢金正勋不可以吗不可以吗不可以吗            
(3星)	 只能说，最后看的好累好累，猛按快进。。。。            
(3星)	 我那时候我怎么会喜欢一脸苦逼的金正勋啊我靠            
(2星)	 蛋疼            
(4星)	 记得大提琴的优雅            
(NA)	 高中陪着我妈才有电视看 什么都不挑的。。。还得跟她讨论剧情才行。。不然会被赶去做作业。。            
(4星)	 之前很迷，无谓的少女幻想又来了，哈哈            
(4星)	 高考时的最爱！            
(4星)	 除了尹恩惠，其他人角色我几乎都很喜欢            
(5星)	 2500万年的童话。。信啊。。            
(NA)	 洋气地又看了粤语版。。。            
(4星)	 剧情很韩剧，拍得很电影。            
(2星)	 朱治勛也長得太他媽像尚雯婕了吧！！導致我們無數次笑場...            
(NA)	 原来我从小到大看过那么多韩剧..            
(5星)	 JHONHOON最高            
(4星)	 高中时候很喜欢看，还流过泪            
(3星)	 尹恩惠很可爱            
(4星)	 那个那个谁，二王子，丑极了，鼻毛都露出来了，还特么的演琼瑶戏呢……            
(5星)	 第一次看韩剧哭得稀里哗啦的。记得王子哭，我也哭。王子不哭了，我还在哭。            
