http://movie.douban.com/subject/2918154/	七侠五义
(5星)	 猫鼠，最爱捆龙索。最烦阿敏一天到晚“小宝小宝”！            
(4星)	 嗷嗷嗷嗷嗷嗷。心心眼~~~鼠猫万岁！            
(5星)	 腐到我鼻血横流            
(4星)	 此剧真是白昭铁铮铮的铁证            
(5星)	 94版75啊，经典&gt;&lt;            
(5星)	 我曾经很希望这里面的展昭和龚慈恩演的公主可以在一起的...T T            
(5星)	 想起当年那个白玉堂，今晚看到孙兴还是那么能闹腾            
(4星)	 何家劲的展昭彻底从我心里消失了。这个老包，这个展昭，这个白玉堂，这个公孙策，才是至情至性傻乎乎可爱的人。            
(4星)	 那个时候超级迷孙兴            
(5星)	 展昭啊~！            
(4星)	 还不错            
(3星)	 ……这里面孙兴比焦恩俊赞。            
(4星)	 魔音敏退散            
(NA)	 好像是某年春节档什么的            
(NA)	 白玉堂怎么是孙兴，记不得了记不得            
(5星)	 ！！！            
(4星)	 经典啊，不多说了            
(5星)	 为何不滴血认亲呢呢呢？涂姗姗简直就是一个上紧了发条的机器人……噪音敏啊名不虚传，我小时候竟然没有意识到这个问题。            
(4星)	 这片好玩死了。            
(4星)	 最喜欢的版本！            
(5星)	 哇塞 我小时候的最爱啊             
(4星)	 觉得孙兴也可以不搞笑哦，天知道我多爱可爱的小白~            
(5星)	 最爱的猫鼠~            
(5星)	 童年回忆的经典啊            
(4星)	 单纯的为了看孙兴            
(5星)	 展昭，后来觉得也不过尔尔的人            
(NA)	 以前没网络……            
(5星)	 小时候觉得焦恩俊是世界上最帅的男人！            
(4星)	 小学的时候迷过展昭。。哈哈            
(4星)	 今天发现电视上开始播何家劲版的75了，无论哪方面来说还是喜欢这一版啊...鼠猫啊鼠猫...那个年代的很多东西现在看来真的是腐的不可思议啊╮（￣▽￣）╭            
(5星)	 好看丫！！经典丫！！！鼠猫的起源啊啊&gt;&lt;.焦鼠孙猫最喜欢了            
(5星)	 猫猫猫~~~~~~~~萌滴嗷嗷地            
(4星)	 主题歌写得真好....            
(5星)	 沧海桑田，劝君莫忧，一肩挑起千古情            
(5星)	 还是以前的电视好看            
(5星)	 这个是经典            
(4星)	 94版真是……瞎了我的狗眼啊！！！！你们还可以更闪光弹一点吗？顺便不同编剧你们……先确定一下人物性格吧。有几部OOC的我都想哭了。虽然……还挺萌的啦。嗯，让我不时腿一把。            
(5星)	 鼠猫本命            
(4星)	 剧集一般，但里面的展昭实在是太帅了！《真命天子》《捆龙锁》《公主逃婚》这三个单元还不错，其他很一般。            
(5星)	 最帅的展昭和白玉堂            
(5星)	 鼠猫王道！~\(≧▽≦)/~             
(5星)	 让我怎能忘！（其实真的忘了。。。）            
(NA)	 从此有了猫与耗子的传说……            
(NA)	 哇，管它花痴不花痴呢。这个小猫真嫩呢。好帅，啊哈哈哈。            
(5星)	 谦谦君子温润如玉。            
(3星)	 我记得焦恩俊还演过白玉堂啊 是哪部来着？            
(5星)	 当年的小白老鼠~特别是焦G,真不是一般二般的粉嫩啊!!捏捏~~~最主要的是.....导演给出了官方CP!!!哈哈果然是75迷不可错过的一部经典!!            
(5星)	 坑：腹黑的猫            
(3星)	 锦毛鼠很nice的样子            
(5星)	 像我這年紀的閩南人 家裡又裝過天線的說沒看過那是騙人的...            
(4星)	 如此年代久远的电视，居然也被我找到了．．．            
(4星)	 那时候觉得。展护卫真是帅死了。            
(5星)	 一梦很多年~~~~~~~~~~~~~~            
(4星)	 其实只记得焦恩俊和孙兴。。。            
(5星)	 颜好！！！颜好！！！其他什么的无所谓！！！！！            
(NA)	 国产CP最喜欢的了            
(5星)	 鼠猫原型什么的= =虽然少年萌的是猫鼠。。。            
(5星)	 猫和老鼠            
(5星)	 鼠猫王道啊！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 对于妇女们来说，是不错的片子，焦恩俊比孙兴好            
(5星)	 导演梁凯程            
(5星)	 经典的猫鼠配，腐女大爱            
(4星)	 哈哈，这个其实有必要重温呢            
(5星)	 展护卫真是帅得惊天动地啊……            
(NA)	 孙兴版白玉堂（¯﹃¯）            
(5星)	 那些年月，我曾纯真无暇烂漫天真，根本不知腐为何物，只是不断感慨：这特么整部戏里怎么连个女主都米啊！！却原来，弱水三千，猫和老鼠永远都是天命CP啊天命            
(5星)	 焦恩俊太经典了            
(5星)	 太经典了。。这部剧中猫鼠的关系一点都不做作~舒服~ 大爱！            
(NA)	 猫鼠很萌很萌！！            
(5星)	 唉，童年啊            
(4星)	 话说对潇洒倜傥、玉树临风的启蒙全来自于这个孙姓少年，七五版留下了孙兴和焦恩俊最好的风华，萌翻了的猫鼠。            
(5星)	 超级喜爱~~~            
(5星)	 中国版猫鼠            
(4星)	 猫儿，猫儿~~~~~            
(NA)	 確實經典！            
(5星)	 啊啊啊！！绝对有！！            
(NA)	 猫鼠            
(5星)	 这个版本的鼠猫实在是太有爱了&gt;&lt;            
(4星)	 当时班上个个都在追看 然后都知道了焦恩俊            
(5星)	 这个丹姐天天给我洗脑O            
(5星)	 嗯，挺好看的，以前一直没看过            
(5星)	 ！！！！！！！！！！！！我家猫儿            
(5星)	 。。。。            
(4星)	 童年回忆啊。还没有空调的年代，大人们都出去纳凉了，怎么也不明白我和小表弟怎么就耗在热死的房间里看电视。            
(NA)	 好像看过的！            
(4星)	 五鼠忠肝义胆！！            
(5星)	 哎，引导我进入耽美不归路的鼠猫，多年回头看来，这剧始终是我心头的一块朱砂。            
(5星)	 最爱《捆龙锁》～            
(NA)	 其实正版的七侠五义不是很好看，真正好看的是大大们的改编版，让人激动啊。            
(NA)	 最爱焦猫猫~            
(NA)	 影响挺深            
(5星)	 白玉堂帅吧，展昭帅吧。。。            
(4星)	 看戏就好            
(3星)	 没啥印象了，只记得孙兴很帅            
(4星)	 最高猫鼠            
(4星)	 焦哥的经典之作 和何家劲有的一拼            
(5星)	 忽然翻出这部剧来……回想幼年时常常看到激动得手脚冰凉，所以，果然，其实我是有基因的。咳。            
(5星)	 相逢即情，永远的展昭            
(5星)	 绝对挚爱了            
(5星)	 焦叔！！！！！！！！！！！！            
(5星)	 貓鼠!!!            
(5星)	 T T我的鼠猫我忘了来打分……            
(5星)	 迷上了鼠猫这对CP            
(3星)	 以前不知道自己是怎么看的，现在再回过头来看，如果没有字幕，我真的完全不知道他们在讲些什么。            
(4星)	 焦猫孙鼠~(~o~)~            
(5星)	 鼠猫。。。。            
(5星)	 大爱~白玉堂 蒋平~            
(4星)	 当年的古装美男站在哪里就是一道风景啊            
(4星)	 猫鼠啊！            
(5星)	 萌萌的猫猫啊。。            
(5星)	 其实现在看来，以前的剧剧情也有很多天雷滚滚，说不通之处，靠人脸撑着，还能忍受。现在剧一样是靠人脸撑，差别咋就那么大呢？            
(NA)	 一看就抖啊抖            
(4星)	 猫爪子萌死啦            
(5星)	 捆龙索！！！            
(4星)	 年代久远了……我从小就逆CP好不好            
(5星)	 谦谦君子，温良如玉~            
(4星)	 無意為之啊……攝影大叔你很會找美人的角度。            
(5星)	 那台词，真是古色古香，暧昧无处不在，焦恩俊真是帅到极致，电视台放完，让我惆怅了一个周末的，好像仅此一片。            
(5星)	 哎哟，看这部剧，迷死焦恩俊了，真是迷死了，太帅了！！！            
(5星)	 鼠猫最高！！！            
(5星)	 很和谐的猫鼠，很郁闷的狮子吼，就编剧而言，不算多好啊，呵……嗯，FN们心知肚明啦。很烦闷剧中女猪们，真的。。。            
(5星)	 经典啊，最喜欢包公斗法王那一段，十多年不忘            
(5星)	 某种角度而言  是最近重新翻出来看了依旧的萌的不像话 虽然有很雷很囧的剧情和对白 但是 刨除出这些 就是我永远那么萌的白小鼠和展小猫&gt;&lt;你们这样子便好^^真的^^            
(3星)	 台湾拍武侠都会变味真白瞎这么给力的阵容了 ╮(╯▽╰)╭            
(4星)	 美人如玉剑如虹。            
(4星)	 前段重温了下，长大了看就又萌又囧。。。            
(5星)	 片尾曲现在都能唱。            
(4星)	 这段时间身在的坑。就电视剧而言，当年的肥皂剧比现在的泡沫剧好多了，人更是……~O~不过剧情还是有够囧            
(4星)	 又见孙兴 还能哼出主题曲            
(5星)	 经典~            
(5星)	 就凭猫鼠这一对帅哥，这片子就值五星。            
(4星)	 永远的焦猫孙鼠。            
(5星)	 被说得太多以至于没啥可说的——这部里的展昭与白玉堂应该是浩瀚的猫鼠文的总发源吧？(*^__^*) 嘻嘻……            
(5星)	 腐女必看 = =            
(NA)	 记得不太清楚了            
(4星)	 挺腐烂的就是长了点            
(5星)	 鼠猫不解释            
(5星)	 这电视，真好看。            
(3星)	 因为焦猫所以多给一颗星            
(5星)	 那只猫儿和那只老鼠~太萌了~~            
(5星)	 nicenicenice!            
