http://movie.douban.com/subject/2214169/	谈判专家
(4星)	 张智霖那角色真可爱            
(5星)	 我看了五遍囧~            
(3星)	 文颂娴真是漂亮            
(5星)	 张智霖❤            
(4星)	 不错啊 又是一大圆满的结局            
(3星)	 职业的多样性造就了多样的剧集风格，谈判专家是训练有素，冷静聪明的，但也不乏出现不同的风格，可人就是用真诚打动别人，她亲手织的温暖牌围巾带给老人家贴心的温暖，终于可以有份幸运的感情。            
(4星)	 我最爱的酒窝阳光小男生张智霖啊啊啊啊            
(3星)	 谈判专家一定得有跳楼戏的，而且一定要在一开始            
(3星)	 封面上四个主角我都爱～            
(5星)	 演员都很喜欢。            
(5星)	 郭可盈的氣質啊            
(3星)	 郭可盈你还能再瘦点么            
(4星)	 张智霖啊啊～            
(4星)	 小时候喜欢欧阳震华 ，觉得张智霖很帅！            
(4星)	 因为Chilam的确心动了一把。            
(3星)	 欧阳＝收视            
(3星)	 很傻，说真的            
(3星)	 张智霖！香港的警察干什么的都有啊.俗了点还是            
(3星)	 张智霖很口爱呀。            
(4星)	 过。            
(3星)	 连续剧嘛！            
(4星)	 我一直很不解这部戏为什么很红            
(3星)	 开始添加TVB...            
(4星)	 好看！            
(2星)	 TVB啊            
(4星)	 欧阳震华一向很厉害            
(4星)	 anyway是因为这个去看Standoff的。            
(5星)	 好怀念文颂娴长发的样子            
(NA)	 谈判专家-喜欢阳光            
(4星)	 出彩的还是张智霖            
(1星)	 Bobby严肃起来真不好玩            
(NA)	 某年某暑假伴侣之一            
(NA)	 所谓童年...=w=            
(NA)	 欧阳震华  ！            
(4星)	 张智霖！！            
(5星)	 好看。            
(3星)	 Chilam~~            
(3星)	 TVB一贯水平，消遣看看            
(4星)	 某一年的暑假，蕃茄台下午档。            
(5星)	 好喜欢可人儿!!!还有 最初最初的 文初哥!!!            
(4星)	 o(&gt;﹏&lt;)o            
(5星)	 我好喜欢阿！！！            
(5星)	 心头大爱们演的心头大爱。【虽然欧肥不是我的心头大爱。。。            
(4星)	 我喜欢张智霖！！            
(5星)	 !!!            
(4星)	 张智霖!!            
(5星)	 我是真的很喜欢这部             
(4星)	 我觉得整部剧最萌的就是国栋和简洁=  =            
(NA)	 06            
(4星)	 张智霖！陈豪！文颂娴！郭可盈！            
(4星)	 短发的文颂娴让我印象深刻。想不到标签里也有她的名字。            
(3星)	 貌似那时候比较喜欢杨光。            
(4星)	 原来我看过这么多剧            
(3星)	 奔着欧阳震华和张智霖              
(4星)	 張智霖~            
(NA)	 要做叶可人~            
(3星)	 第一次发现陈豪同志很帅哦            
(5星)	 那些港剧还是很经典的            
(3星)	 欧阳震华戏路的一次转变～            
(4星)	 喜欢杨光.            
(5星)	 几乎看烂了的一部TVB 这么多年了 智霖兄你还是那么帅            
(3星)	 年少回忆。            
(3星)	 唔记得咯~            
(4星)	 回不去的小时候..曾经陪伴我的TVB..            
(NA)	 你好我们是PNC，我们是来帮助你的。            
(4星)	 我挺爱看！            
(4星)	 不错。喜欢张智霖和文颂娴。            
(4星)	 人生在世为何不说说呢/用言语来拯救の。            
(4星)	 杨光杨光杨光            
(3星)	 你忍心看着一个勤奋苦读、努力不懈、奋发上进的大好青年扔下自己的学业放弃自己的理想陪你出去玩呢？拒绝你的诱惑，出去。人活着最重要是不要介意别人怎么看你，这样你自己就会很痛苦，你越不开心别人越看不起你，就连老天爷也会耍你，做人最重要是不要介意别人怎么看，自己开心最重要 - 阳光名言            
(3星)	 具体没什么感觉。- -、            
(NA)	 后来看日剧，更喜那一部            
(4星)	 大一的时候大家一起看的TVB            
(4星)	 张智霖那副装醒眼镜，啊哈哈哈~~            
(5星)	 张智霖这个千年不老的妖人，和文颂娴配戏太喜欢了            
(NA)	 香港的什么都那么正义。。            
(NA)	 挺有意思            
(5星)	 文颂娴啊~            
(4星)	 消遣用的。            
(3星)	 多年前他们演情侣，再见时却已经是两代人，他叫她madam，不知道是女人年华易逝还是娃娃脸的帅哥永远不会老。            
(2星)	 本来还算OK，电视里天天播，导致我看了就烦。            
(5星)	 有个暑假还是寒假所有电视台轮番放~            
(4星)	 这工种不错            
(4星)	 不是很喜欢郭可盈。            
(4星)	 文颂娴,文颂娴            
(NA)	 自那之后，内地也有谈判专家了            
(5星)	 太爱了!!!            
(3星)	 一般，印象不是很深            
(3星)	 主要是比较喜欢文颂娴            
(NA)	 后来的了。            
(4星)	 我是来帮你的，呵呵            
(5星)	 反复看            
(NA)	 一般            
(3星)	 soso            
(4星)	 一包薯片一杯水一下午的光阴            
(5星)	 非常喜欢，^_^            
(3星)	 在深圳，聊以解趣。            
(4星)	 是因为你喜欢我才跟着你看的            
(2星)	 是不太好看的tvb            
(NA)	 是被剧情吸引的没有特定喜欢谁.到是开始觉得陈豪很帅只是后来有点失望.题材很创新.算是看的比较早的TVB.            
(3星)	 愣是没看到结局            
(4星)	 之后咱妈就跟咱说你去当律师吧            
(3星)	  TVB的都一样            
(3星)	 可以用来消磨时间的            
(3星)	 文颂娴气场太弱。。。            
(3星)	 纯粹为了支持新开的豆瓣电视剧。            
(5星)	 ..晓得看了好多遍哦..            
(2星)	 比较做作~            
(4星)	 很喜欢文颂娴～            
(3星)	 香港的警察系列拍的真好啊真好            
(5星)	 不错，喜欢            
