http://movie.douban.com/subject/1477894/	我叫金三顺 내 이름은 김삼순
(NA)	目前个人觉得最好的韩剧
(5星)	目前为止唯一从头看到尾的韩剧，以前从来不迷电视剧的我现在也有点动心了。。。
(3星)	去爱吧，像不曾受过一次伤一样； 跳舞吧，像没有人欣赏一样； 唱歌吧，像没有任何人聆听一样； 干活吧，像不需要钱一样； 生活吧，像今天就是世界末日一样。 
(5星)	人们都知道终究会死，可也要努力的活着。
(5星)	看勒無數遍
(4星)	既是经典，何须多言。
(3星)	不喜欢金三顺那样的女孩
(5星)	去爱吧,就象从来没有受过伤害一样
(5星)	两三部我看了不止一遍的韩国电视剧之一。
(4星)	两个女人都不太喜欢，支持三石跟Daniel一起=。=
(4星)	貌似只完整的看过这一部韩剧
(NA)	男人是解闷的花生米...呵呵后v_v
(4星)	玄彬是那种看一眼觉得不怎么样，甚至想不出他那里好，但回味起来却越想越喜欢的类型。
(5星)	有帅哥两只美女一只。
(4星)	玄彬挺帅的 2英挺逗的 郑丽媛太瘦了也 演个难民不用化妆都
(3星)	每当我遇到困难时，就会想至少我还没有死掉。没有死就还有希望。
(4星)	嗯，我喜欢三顺
(NA)	爱死三顺
(4星)	还是很经典的
(4星)	郑丽媛很PP。三顺很可爱。玄彬很帅。
(3星)	怎么这么多人喜欢。
(3星)	妈妈都特爱看.
(NA)	巧克力般的爱情，田中总是微微的苦涩，
(3星)	算看过吧。我娘爱玄彬。
(4星)	玄彬好像古天乐呀 不过每集不是被扇耳光就是被左勾拳右勾拳的。。。
(5星)	那个美女真像阿优。
(4星)	21.同岳母去Ktv
(4星)	我承认我迷了一阵子玄彬……
(4星)	难得让我喜欢不已的唯一韩剧
(3星)	还比较喜欢，虽然套路真的很老套了……
(5星)	很棒的片子，感动。
(5星)	如果看这片不过瘾还可以看《达子的春天》，都是大龄剩女勇追爱情巧遇钻石男的故事。
(4星)	又是這樣的人設，拜託...
(5星)	最喜欢的男主角和最喜欢的电视剧，我都承认我俗了，怎么样
(4星)	那么多韩流来袭，我只认可这个。因为这里有些东西是和其他的韩剧不一样的。不过到头来，还是改编自《BJ单身日记》么。追溯到源头，其实是简奥斯丁的《傲慢与偏见》。
(4星)	可看可乐不可信~
(5星)	目前为止最喜欢的韩剧了。。
(NA)	在全国所有卫视台疯狂联播的夏天。
(4星)	熙珍好美
(4星)	玄彬长得不错，5000万比较抢戏，跟三顺一样，偶也曾想开家蛋糕店~~
(5星)	他们说三顺是所有女人的希望。
(5星)	人生 有什么大不了的
(4星)	看了之后就决定不要出国了,因为怕PAPA被某个三顺抢走...
(5星)	我叫周小二
(4星)	满逗的，帅哥一堆~_~
(NA)	在珺家里和她一起等他们从南京回来的时候看的
(4星)	05年第一遍，今天第二遍。可能韩国社会发展程度比中国略快一步，当时反映的社会问题在中国要退后几年才能看到。这部片反映的男人类型，也是相隔6年，在中国遍地开花。三顺遇到的两个男人都是极品，虽有差别。但同自私，自恋，没担当，只是一个把猥琐当三观人生，一个“孩子气的小男人”都是纸糊的江山 
(4星)	电视台不停的播。
(5星)	上帝请赐我一个三石！
(5星)	玄彬很帅呀 剧本也很好 有许多经典台词 还有几处我看哭了~~
(3星)	我其实蛮喜欢这个的，，= =
(4星)	要心存美好的度过每一天。。。
(4星)	冲玄彬去的
(5星)	可爱的小顺
(4星)	欢迎大家观看我博客创作的绘本哦~
(3星)	王子灰姑娘的样板戏搞笑版
(5星)	近些年来看过的韩剧中最好的，我是说除了《女主播的故事》。
(5星)	勇敢的爱就要有结果！
(5星)	大爱
