http://movie.douban.com/subject/2073608/	乱世佳人
(4星)	 宁羲组合就一个字“赞”！            
(3星)	 唐宁唐宁唐宁就是去看她的            
(2星)	 8集棄            
(2星)	 胡杏儿真是丑。。。＝ ＝            
(3星)	 很多大场面在南京取景~~俺不知道原来进了镜头NJ可以这么绿色这么好看~~灵谷寺、中山陵、御道都拍的很好看……            
(NA)	 烂！要不是为了看石修ORZ。。            
(3星)	 完全跳着过去的 胡囧儿太囧了            
(2星)	 背景，名字不要那么大的好，想往大里头拍，但是拍得小里小气的，要不是因为羲羲和唐宁我才不看呢            
(2星)	 我是怎么看完的。除了唐宁一个都不喜欢。            
(2星)	 喜欢唐宁和吴卓羲一对            
(4星)	 一般般，就冲着羲仔。            
(4星)	 因为南京总统府、明孝陵、中山陵各种熟悉，更有潘哥哥~~！            
(5星)	 唐宁惊为天人            
(4星)	 居然看过的人那么少，个人觉得这是锦鸿演过最出色的角色，超越创世纪。宁宁和羲羲也能相得益彰，可惜那个时候杏儿还是一张苦脸+气场严重不足。就是结局不怎么合情理，如果潘世昌就这么一去不返了，这戏反而圆满了。。。            
(3星)	 唐宁一如既往的美丽。很纳闷，演技不错，长相甜美，人气也不低，为啥不受力捧呢？            
(NA)	 抛开对演员的成见　还是不错的            
(4星)	 所有的喜欢，只因唐宁            
(3星)	 为了唐宁看的，只是看过            
(3星)	 就记得唐宁和那女特务了。            
(3星)	 我就为了看leila和ron终成眷属            
(5星)	 最喜欢宁羲            
(4星)	 蛮好看的，喜欢ron和唐宁            
(3星)	 唔……            
(4星)	 外景好多在南京拍的哦...就是他们每次接头的地方..那是在中山陵.阿头这部剧的角色有发挥哦..喜欢陈锦鸿演的那个人..名字记不清咯.最后应该是回来了吧.            
(4星)	 只可惜唐宁和吴卓羲次主角            
(NA)	 陈锦鸿哥哥~            
(3星)	 2007            
(1星)	
(4星)	 又名: War and Destiny主演: 吴卓羲 / 胡杏儿 / 陈锦鸿 / 唐宁 / 曹敏莉 / 谭小环上映年度: 2007语言: 粤言制片国家/地区: 香港imdb链接: tt0991181            
(5星)	 其实给它打五星，一点都为过。一部很好的消遣剧。            
(3星)	 挺喜欢的，冲着曹敏莉和唐宁去的。            
(4星)	 宁宁的旗袍很美，和吴卓羲的感情比男女主角更亮眼。            
(5星)	 特别好看，讲的是南京大屠杀那个时期的事，平安，月凤，孝义都喜欢            
(NA)	 收视真惨            
(NA)	 喜歡主題曲。            
(3星)	 南京            
(2星)	 不想看到胡杏儿.            
(3星)	 结局的配对。。。            
(4星)	 我很喜欢这个剧情~潘世昌简直是妖孽啊~喜欢~杏儿也很可爱~            
(3星)	 喜欢唐宁，开始不抗拒X2            
(3星)	 陈锦鸿            
(4星)	 还是挖坟神马的好。。。            
(3星)	 全剧中最让我喜欢的是依萍            
(5星)	 我觉得很好看，喜欢胡杏儿的这种造型            
(NA)	 狗血剧            
(4星)	 战争,封建社会,家庭斗争,杯具,苦情.都是我最讨厌的体裁...但!!!!为了宁宁的旗袍LOOK我居然把这剧看完了=3=!            
(4星)	 竟然真的没添加进来 幸亏这次重温完想起来了 要不就走宝了 这还真是TVB民国剧里可以一看的片子 大爱陈锦鸿            
(4星)	 很好看            
(4星)	 曹敏莉在里面挺漂亮的            
(2星)	 唐宁。演了个出墙的纯洁小妈。            
(4星)	 TVB难得在南京取景呀 紫金山、灵谷寺、明孝陵、石象路神道、四方城、台城、中山陵、总统府、梅园、玄武湖。。。 支持哈子            
(4星)	 胡杏儿在里面好2            
(4星)	 好看            
(4星)	 还不错的片。            
(3星)	 又是一部圣母励志剧，胡杏儿的颜暂且不提，唯一的亮点就是曹敏莉的女特务角色，身份暴露时那一幕表情很到位。            
(2星)	 貌似陈锦鸿稍微撑了下场面。            
(2星)	 寧寧不曉得比胡杏兒漂亮多少。            
(3星)	 断断续续看的 受不了胡杏儿            
(4星)	 额，取这个名字实在是有点。无论是胡杏儿还是唐宁都不大称吧。还是为陈锦鸿鼓掌。陈敏莉不但不会演戏，连夜上海都唱的无比的难听啊，饶了我吧。            
(1星)	 完全是一坨屎。浪费了乱世佳人这么好的名字！这群香港人根本不懂什么是爱国！什么是抗日！            
(3星)	 中规中距~            
(3星)	 乱世佳人？不会说的是女一吧。。崩溃了。。            
(3星)	 本来为了看吴卓羲，结果发现陈锦鸿在里面最有型~吴卓羲完全被我54掉了            
(3星)	 唐宁是第一个和少爷 RON 黄BO 三苗 马明 黎諾懿合作遍的小花了吧 哈哈             
(NA)	 为了看吴卓羲和唐宁！            
(NA)	 曹敏莉的妆很喜欢            
(3星)	 曹敏莉太惊艳了～～～            
(3星)	 一般            
(5星)	 挺好看的            
(3星)	 TVB拍的这种剧，感觉气氛都怪怪的啊。剧本乱诡异的，取景更诡异。第一集就看到南京中山陵，那个时候有中山陵没啊。。。            
(3星)	 还是喜欢看吴卓羲的现代戏            
(5星)	 叶璇走后，胡杏儿算是我比较喜欢的TVB女演员了，演技自然不做作，非常不错。            
(5星)	 很早就看过这部片子了。。。细节都忘了。。。就记的挺感人的。。。而且看完这部片子没那么讨厌胡杏儿了。。。            
(3星)	  陈锦鸿不錯啊            
(4星)	 在南京拍的～            
(5星)	 生动的潘老板            
(4星)	 叭错。            
(3星)	 还是和我妈一起看的~。。。哎呀呀~还真是~            
(4星)	 超级好看，还很有故事性，有内涵            
(5星)	 估唔到HK排这种片都甘叻！            
