http://movie.douban.com/subject/5279645/	一一向前冲
(4星)	 别拿金三顺做对比，这里没有富二代，没有不是可恨到极致就是可怜到极致的女二，没有死去活来没完没了的爱情。更没有丑小鸭剧必会出现的有钱恶婆婆            
(4星)	 一一向前冲，过河的小兵。不是金三顺，不是单无双，就是周一一。PS.重新生出了对电台的爱。            
(5星)	 看看吧   蛮好的            
(5星)	 超级好看的电视剧。绝对比韩剧更精彩！大爱。。。            
(5星)	 剧情也许俗气了点，但是情节的铺设很有张力，好多台词都说到了点子上，容易叫人产生共鸣。华叔一如既往的秒人，童蕾的话一直都挺喜欢的。比较好奇的是这个剧组究竟有多穷，女主那条破裤子和毛背心从头穿到尾（跪            
(3星)	 遇上爱看肥皂剧的室友怎么办呢T_T   实在不喜欢霍建华的现代扮相¬_¬            
(1星)	 一颗星给霍建华。我快被童蕾那僵硬的大嘴巴和做作的声音给恶心死了。。。最烦这种女人            
(2星)	 又是這種忒有蠻勁傻大姐最後收穫王子和幸福的山寨偶像劇 坑爹呢            
(3星)	 还挺轻松幽默的，不像内地大多数电视剧一路讲大道理            
(4星)	 神马情况 我竟然看了哭得稀里哗啦.......            
(3星)	 看在男猪和女猪都长得还不错的份上，追着看完了。剧情跟金三顺差不多。            
(2星)	 属于模仿韩剧不到位那种~！            
(3星)	 演员民的台词好生硬，不过是难得国产剧，还蛮好玩            
(3星)	 呃......            
(4星)	 ……大哥您就古装吧，现代造型整个一面包店小老板，还有那两撇崩溃的小胡子YAY。。还有角色是根据万峰改的么…………            
(NA)	 其实还是很好玩的，很励志，看得我欢天喜地的。            
(5星)	 剧情不错            
(5星)	 看过小说，再看电视觉得还不错            
(NA)	 过年在家看的电视剧，角色挺励志的，童蕾也挺好看的，但总觉得她不适合这个角色，其实看了几集就挺无聊的，但是本着从一而终的精神我还是看完了这漫长的近30集的长剧            
(5星)	 。。土豆跟完的。我励志了下。现在没了            
(1星)	 雷轰轰            
(NA)	 写影评别没事，就说一个故事就是韩剧的翻版            
(NA)	 纯粹喜欢男主女主            
(NA)	 头两集+最后一集各种做作 受不了 不打分            
(4星)	 特别喜欢童蕾 大方又可爱；另外女三号那发际线是怎么回事啊也太高了吧，本职是尼姑吗            
(4星)	 大龄傻冒剩女和腹黑男 有点类似我叫金三顺的套路 不过看着还不错 最重要不用等更新啊            
(2星)	 朋友推荐，忍了七八集，直接看二十八，啥内容也没有非要搞这么长，那周一一装腔作势做的节目，那也能叫节目，太低估电台水平了。            
(4星)	 我爱一一这姑娘！            
(2星)	 一一 你够了！！ 那作做的大笑让我疯了！还有那上官燕  您好意思说自己是美女嘛，不过你比一一好  。到少我看你不讨厌  除了马路同鞋！其他的给我马不停踢的滚！！            
(5星)	 真励志            
(3星)	 帅哥美女的养眼组合，图的就是个轻松周末。            
(1星)	 谁给的五星，有没有审美啊，不是所有丑女装傻都是可爱，编剧和导演能完整的八一个韩剧就不错了，这个垃圾电视剧还不如乡村爱情有技术含量，我想给负分            
(3星)	 去年看的。。心里好舒坦啥的 ╮(╯-╰)╭             
(4星)	 还OK            
(4星)	 感觉奏是冲霍建华去的吧？不过剧中还是有些情节很有爱很有亮点~            
(3星)	 跟着我爹终于把周一一看完了，好吧，此种励志偶像言情剧基本贯穿着一根主线，就是十项全能女主变身马里奥先斗纠结自我后斗无良女配然后斗路人甲乙丙斗猪头ABC，关键时候狐朋狗友可化身动感小超人再紧迫点儿女主直接圣母光环附身口吐莲花抚慰众生。人生就是吃饭睡觉打怪兽最后抱得男主归~啊归~            
(4星)	 整部戏乡土气息好浓重啊，各种主配角长得土穿的也好土...连霍也有点乡土啊，不过开英菲尼迪很帅..居然还用甄子丹的配音给霍配，我要听霍真声好么！|| 虽然一开始冲着霍看的，起初觉得剧情很无聊，但后面越来越耐看，前后细节铺垫衔接还难得不错，思想感情很细腻真切，人物设置很饱满，有被感动到呢            
(4星)	 好剧。挺温暖的。            
(5星)	 看了这个剧对生活都有希望了。            
(5星)	 真心好            
(4星)	 曹砚和一一在机场抱在一起时，我终于哭了。感慨深啊！！1            
(3星)	 看的是话剧版，然后就睡着了...            
(5星)	 对白很经典很实在很生活。故事很励志很亲切。            
(NA)	 挺好看，电台竞争也很激烈啊。。。            
(2星)	 让我说什么好呢。。。剧组不能给周一一多买件衣服么？她反复穿那一件马甲好不好！！！！            
(4星)	 不错  虽然很烂俗但是很轻松很好玩儿   我还是很愿意看            
(3星)	 一一的服装真是一大大大大的败笔 其他的也就一老故事了             
(3星)	 带着很大的期望来看的...一定要把戏剧拍得这么没有戏剧冲突没有张力没有起伏么？！比起我看的很多网络小说都要差多了，画面不美丽，你至少故事情节跟得上嘛！结果故事除了拖沓以外啥也没看出来，是偶像剧，男女主人公之间的感情又不占戏份！什么破烂戏啊！！            
(4星)	 我还是挺喜欢霍建华的            
