http://movie.douban.com/subject/2995158/	少年四大名捕
(4星)	 剧本太不行了！四星是给四位帅哥的，一人一星            
(2星)	 帥哥有多帥 劇情就有多爛！            
(4星)	 我爱马国明~~~结局太变态了……            
(NA)	 女的都不好看呀            
(4星)	 我萌马国明～～            
(3星)	 纯属为了那几个小生看的。            
(2星)	 徐子珊 你还能在讨厌点么            
(4星)	 少年无情就是林峰，如阴阳师就是安倍晴明就是野村万斋般，一厢情愿而丝毫无碍的二次元同三次元合体。            
(3星)	 不是少爷我是绝对看不下去的···            
(4星)	 唯一一部比较美型的四大名捕剧，不过剧情稍微欠连贯和逻辑啦。            
(2星)	 前20集东拼西凑还勉强能看,后几集就扯之又扯了，况且暴露了tvb女主角的欠缺。            
(4星)	 纯看峰少耍帅！            
(NA)	 徐子珊那过度打玻尿酸的嘴- - 这么蛋疼的剧我居然看完了             
(3星)	 狗血的TVB剧情，狗血的案件和江湖斗争，但狗血得happy，这就是偶像剧的真谛啊。。= =  总体来说还是挺不错的，五集过后剧情开始吸引人，男女一号的感情线很细腻。林峰演得无情非常赞。很中意无情和桑芷妍那一型的情侣。            
(3星)	 半途而废             
(NA)	 我记得神候应该是坏人的,额额额            
(4星)	 林峰兄好久么干净一回 支持一下            
(3星)	 虎头蛇尾            
(3星)	 不得不说，林峰整容的脸还是有看头，徐子珊能不能自重。好爱陈键锋！            
(4星)	 前17集都很好看！！后面有点儿墨迹，不过还好。看过最好看的名捕了。            
(2星)	 傲娇毒舌女王受金田一，攻受真是那浮云，抛开剧情和BG戏不论，这剧够欢乐的            
(2星)	 要不是苗我才不看呢            
(2星)	 能看的只有帅哥            
(3星)	 几乎被徐子珊毁了            
(3星)	 看在四帅的面子上。            
(3星)	 到后面开始变得很乱，不想看了= =            
(3星)	 武功高强可以泡妞            
(4星)	 虽然以基情为主，但是也不能搭那么丑几坨女配角吧？！阵容还是挺是有看头的，4人身高180以上            
(3星)	 和 金装四大才子 好像            
(2星)	 果断弃。。            
(3星)	 结局不行            
(2星)	 要不是马国明 哎            
(3星)	 没看完。。。里边的人都傻得让人发指。。。            
(4星)	 马国明！！            
(3星)	 基情满满            
(3星)	 虽然剧情实在经不起推敲，人物性格也不符合原著，但在看的过程中一直能让我露出傻子般的笑容            
(2星)	 实在看不下去了，简直就是侦探柯南的古装真人版，但那是动漫好不好......            
(3星)	 好在这一部，无情没有站起来            
(3星)	 当练粤语听力咯            
(4星)	 古装片也难得有好看的~            
(2星)	 其实我只看了三四集，没什么资格作评价。无奈实在看不下去。            
(3星)	 喜欢吴卓羲            
