http://movie.douban.com/subject/2995112/	天下无双
(3星)	 还是选了关咏荷，很好。            
(4星)	 那时候的陈好多漂亮，关咏荷多年轻，记得她们一个叫如意，一个叫吉祥。现在的貂蝉臃肿不堪，关姐闭关息影，而我们也一个个长大了，给小时候最爱的电视剧打最低的星......            
(3星)	 大一看的。还蛮不错。家国事，鱼与熊掌都被一脸国家大事的秀才给吞了。哦也也            
(5星)	 难得看见陈好和张卫健搭配！            
(5星)	 一直忘记不了的男配角            
(3星)	 年少回忆。            
(3星)	 主题曲貌似挺好听的            
(NA)	 关咏荷就不该来大陆发展，呆在TVB还有点人气            
(5星)	 唯一一部超级追着看的电视剧。。为了看大结局还跟老妈吵了一架。            
(2星)	 各有韵味。            
(NA)	 真爱多难找，但求一个就够了            
(2星)	 张卫健定型了的。。            
(3星)	 没怎么看过            
(3星)	 看太多了。一大堆熟脸。都记不得是不是这个了。            
(3星)	 活宝啊            
(5星)	 很早以前看的，喜欢关咏荷，一女不嫁二夫？这个片子告诉俺们一夫不娶二女！破坏别人感情的三是不能达到目的地，奸计是不能得逞地！            
(4星)	 剧情都快忘了。            
(3星)	 好像有点好笑的一部            
(4星)	 张卫健很有福气嘛            
(4星)	 合家欢必备剧集~            
(NA)	 喜欢张卫健这个男人            
(NA)	 好好看 不过 最后他究竟跟谁在一起了？            
(5星)	 小时候，觉得可好看            
(3星)	 回忆一下            
(3星)	 真不喜欢陈好            
(4星)	 “戴春寅大蠢人”            
(3星)	 六年级引发了集体讨论的一部戏啊！            
(4星)	 小时候超级喜欢的！            
(3星)	 最后他选了吉祥，我只记得俩女的名字，张卫健叫啥我反倒忘了。            
(NA)	 荷姐在这里明显老了            
(3星)	 从来喜欢不上陈好，虽然她比关咏荷漂亮，荷姐倒是挺爱的，逗的很。            
(3星)	 两女一夫            
(5星)	 张卫健好纨绔子弟            
(4星)	 关咏荷啊            
(3星)	 片尾曲很乐。            
(5星)	 噗...忘了这个了            
(3星)	 常吉祥啊万如意呀……这些名字可真够瞧的。讨厌二女争一男。            
(5星)	 高中的一段回忆。真心喜欢这部电视剧。            
(5星)	 那时候天天追啊            
(3星)	 情人一个不够两个太多，是不是能一花两果～～～            
(3星)	 3P            
(2星)	 当时那宣传攻势啊 陈好最红时            
(3星)	 弱水三千，只取一瓢。            
(3星)	 一个是学贯中西有追求理想且一见钟情的大家闺秀，一个是料理家中内外一手好菜好功夫保护自己，理想是守在家的事儿主贤妻良母。别说男人都贪心，女人也一样。只取一瓢，前者的选择更多，所以不能辜负后者            
(3星)	 有點忘了            
(3星)	 Parts..            
(5星)	 有张卫健的就是赞~            
(NA)	 唯一喜欢陈好片中的角色            
(3星)	 典型的发奋故事！            
(4星)	 我以前一直以为这种电视剧结局总是开放式的，没想到最后张卫健还是选择了关咏荷。            
(4星)	 喜欢关咏荷            
(4星)	 小时候好像每一部张卫健的片子都看过嘛= =荷姐一直是心头好~            
(NA)	 原来是叫这个名字啊。            
(NA)	 我当时很不爽最后他选了常吉祥的……            
(NA)	 两个老婆的。。好像            
(3星)	 貌似看过啊，可是完完全全不记得了@_@            
(5星)	 为啥五星？因为外婆！            
(3星)	None
(3星)	 想起来以前看过好多吴奇隆张卫健的电视剧..            
(NA)	 记得当初看这部戏的时候是过年期间，熬夜只为了看关咏荷，那个不做作，笑容满面，爽朗的大姐姐，如今嫁为他妇，幸福的做了一个小女人。            
(5星)	 原来看我过这么多电视剧——很喜欢这部剧，很关心它的结局呢            
(3星)	 马克到现在我发现我好像也是张卫健的脑残粉。。            
(4星)	 哈哈哈。            
(4星)	 情人一个不够两个太多 人物很饱满，主角配角各有特色            
(3星)	 我就记得索额图了，因为那时同学天天叨叨            
(3星)	 两位女演员 我当时都比较喜欢            
(4星)	 当年陈好在戏里的造型..实在让人食指大动啊.......故事拍出来还挺好看的，但是因为缺乏和男主等量的反面角色，所以剧情始终难以达到高潮// PS:陈好唱的那个片尾曲不错            
(3星)	 好久好久了。。            
(4星)	 好吧 我爱张卫健            
(2星)	 其实是如意不可一世，不屑和吉祥分享。            
(5星)	 好看            
(3星)	 还不是娶了两个老婆。。相比之下还是喜欢关咏荷比较多。            
(NA)	 嗳，我喜欢吉祥多一点点。真是怀念那些放学回家可以看电视剧的日子呵            
(2星)	 好像看过            
(3星)	 弱水三千只取一瓢，结局还是挺伤感的，现在看来剧情还是蛮俗套的            
(4星)	 漫画风格的古装爱情喜剧。            
(4星)	 啊啊啊这个小时候看过            
(4星)	 初中 挺好看的 经典 小张也看来着内时候            
(4星)	 以前很喜欢看啊，看张卫健看的最不恶心的一部剧            
(3星)	 很早以前看过的。那时陈好很火很火。张卫建还是那样。现在发现是唐人的。            
(4星)	 矮油，高中可爱看了，明明叫吉祥如意嘛~            
(4星)	 我是看着你长大的。            
(4星)	 我现在觉得，张卫健的剧真的是天雷啊。。            
(3星)	 一男二女一台戏~            
(3星)	 好像是有这么个电视来着            
(NA)	 和姐姐一起看的，大概是过年的时候，很温暖那时候。            
(NA)	 张卫健演的东西我都看过~~            
(4星)	 张卫健的当年真是看了很多。            
(3星)	 看是看过 印象不深            
(2星)	 我一直希望你纳了陈好            
(5星)	 结局很想念，哦，在福建的时候看的            
(NA)	 孙X清和孙X文都尝过它的片尾曲……好吧我说的跟他们是一家人似的            
(NA)	 电影滴，还没完整看过，晤面了~            
(4星)	 有关咏荷！            
(4星)	 如意and 无双            
(3星)	 主角我都喜欢啦·~但是实在无感啊~            
(3星)	 我记得是看过的！            
(4星)	 林明伦演的男配啊！！我的爱！            
(3星)	 您真当自己是韦小宝呢~~            
(4星)	 还是张卫健,都懂得            
(3星)	None
(4星)	 张卫健演什么都是他自己             
(4星)	 你不可能又吉祥又如意            
(3星)	 幸福的人啊，吉祥如意，多少人梦寐以求能有两个这样的老婆啊~            
(3星)	 弱水三千只取一瓢。            
(4星)	 还是那句话，小的时候还蛮喜欢            
(2星)	 不吸引人            
(4星)	 小时候看了好多张卫健，不过剧情大多忘了。。。还有一个足球的。。里面还有丑毕了的容祖儿。。            
(3星)	 他的俩媳妇儿我都很喜欢的~~            
(5星)	 我已经完全忘记剧情内容了,不过看到这个男主名字戴春宴...让我由心的感到这部片子看的我很开心!!!!            
(3星)	 VV童年的回忆~            
(3星)	 烧饼皇后            
(3星)	 扣分点。。陈好            
(5星)	 ~~~好玩            
(4星)	 很喜欢啊（但是关咏荷在里面真的显老不和谐啊……）            
(3星)	 合拍剧，很囧的搭配，浪费了关咏荷            
(3星)	 天。。。怎么又是张卫健            
(3星)	 某年暑假电视剧频道            
(2星)	 太无聊。            
(NA)	 童年记忆            
(3星)	 商人伤人。吉祥如意。            
(4星)	 希望人人都相信“天下无双”            
(3星)	 看这部片的时候觉得陈好挺好看的            
(4星)	 蛮好看的，有张卫健的地方，就有笑声，不知道现在过气了没有....            
(3星)	 我都忘记结局了            
(NA)	 最后果然还是选了吉祥            
(3星)	 是陈好最红的那会，她接了好多戏。总觉得荷姐略显老了。。            
(4星)	 看荷姐的~            
(3星)	 常吉祥和万如意            
(NA)	 抽了什么风看这个..貌似为了男二？            
(3星)	 基本上是把一个网络小说放在古代而已吧。。。至于那小说真想不起叫嘛名了。。。。            
(3星)	 陈好扮相整残了            
(3星)	 一男二女奋斗史            
(2星)	 尽管有弱水三千，我也只取一瓢~古代也有专一的银            
(3星)	 种花还是种瓜？呵呵~~~每次看这部片子就会想起爸爸            
(NA)	 啊，吉祥如意            
(3星)	 不是我的菜 其实关咏荷跟张卫健都很对我的口的            
(3星)	 又是张卫健。。我喜欢。。            
(NA)	 = =厨房和厅堂 张卫健真是走拿赚哪            
(3星)	 结果 还是选了一个            
(4星)	 我们家老袁有演康熙，给了点感情分。囧            
(3星)	 不喜欢那个结局……            
(3星)	 一直没看明白过~            
(2星)	 没意思。            
(5星)	 高中的回忆啊。。。            
(2星)	 烂了。            
(4星)	 弱水三千只取一瓢~            
(5星)	 挺感人的            
(3星)	 袁弘.            
