http://movie.douban.com/subject/5031441/	家，N次方
(5星)	 栗子姐怎么能那么完美那么完美那么完美呀阿呀呀呀呀啊~~~            
(4星)	 齐齐不是凡人。绝逼不是！            
(NA)	 哥竟然开始看电视剧了。又他妈堕落了。            
(4星)	 这个是世界是穷二代的，也是富二代的，但是归根结底还是有能力的富二代和有错就改的富二代的...富二代们招风唤雨，充满梦想还有稳扎稳打，中国的希望寄托在他们身上。            
(3星)	 看见一次内薛洋的脸就想抽他！怎么选这么一个没演技的人啊！不明白栗子怎么爱上宠物的。喜欢白百何。            
(3星)	 里面所谓的时尚阿，潮流阿，富贵荣华阿，让人忍不住的扑哧一声            
(5星)	 除了山寨刘德华，其他都挺顺眼的。朱雨辰和王子文挺出彩，栗子姐出现后，也挺让人喜欢的,是完美典雅知性女性的代表。找老婆就应找这个类型的。最后一集，的确挺催人眼泪的。            
(3星)	 是没女演员么？！ 一个大妈，一个吵死人，一个纸片==            
(NA)	 卧槽 姐居然看国产电视剧了！            
(3星)	 导演竟然不是赵宝刚。。。            
(5星)	 个人感觉比奋斗好看,又是一部京味很浓重的电视.特别喜欢栗子姐,怎么能有这么聪明,大气的女孩子啊,喜欢啊~~~             
(2星)	 真够假的!            
(4星)	 哎，乔乔变得这么势力适应不了啊，金燕变得这么知性适应不了啊。            
(2星)	 恶心着我了            
(NA)	 热泪盈眶，笑点不断。又哭又笑。看的纠结。遗憾栗子与宠物·····            
(4星)	 趙雯演員沒選好 白百何地味很重             
(4星)	 除了结尾处理的有些糙其他都还不错            
(5星)	 看哭两次~~朱雨辰现在演技了得啊~~~            
(2星)	 里面就宋丹丹演的好一点，真让我觉的她是一体贴人的老婆，别人都感觉像装逼，由内而外透着一股不自然，可能他们在生活中很少说关心别人的话，所以他们一说我就觉的这他妈肯定是假的，但他们骂人的时候真是本色演出啊，一点违和感都没有。。。。            
(4星)	 哈，真有点像流星花园，有范儿的大姐头什么的。王子文太吵了，山寨刘德华有点乡土。华子越看越顺眼。            
(2星)	 薛洋那演员给了导演多少钱啊            
(5星)	None
(NA)	 戏实在是写的自认为有趣，不如《奋斗》有新意，人物设定甚至不如《我的青春谁做主》，新东西太少走向根本不抓人，全靠情节模式支撑。白百合还是在走王珞丹那条路子，还不招人喜欢。王子文太差太失望了，灵气全无。那个什么之荔一说自己要吃栗子，管山寨刘德华叫“羊”，我就想吐后颈发麻一身鸡皮疙瘩。            
(NA)	 不蜗居了 不裸婚了 不房奴了 不小三了 不乌托邦了以后  就剩一个踏踏实实的家兄弟姐妹爸爸妈妈  我们穿过残酷世界的玻璃 也只是为了发现自己还隔着玻璃 有希望的才会发光妈妈给了我眼睛            
(2星)	 世界是富二代的富二代的还是富二代的。剧本走韩国风啊这是。栗子姐太假，齐齐太吵，还有那个刘德华。。。就靠朱雨辰和白百何撑了。。。            
(4星)	 如果有文楠这样的妈，楚信这样的爸，之荔这样的姐，齐齐这样的妹，楚牧这样的哥，达子这样的兄弟，赵雯这样的心理素质……            
(4星)	 除了栗子姐以外，我真心的喜欢赵雯，那强大的内心，绝了！            
