http://movie.douban.com/subject/3041504/	千金百分百
(NA)	我就想确定下，原来真是温兆伦。。。陈乔恩这里面也蛮丑的。。
(4星)	冲着ELVA的歌去看这个剧，结果喜欢上了陈乔恩，最后结局的时候灰常狗血的稀饭上了温兆伦.......
(3星)	喜欢霍建华。
(NA)	还可以吧 霍建华还算养眼
(4星)	在我涉猎不多的偶像剧领域里是我看过最长的剧集 另外林韦君很漂亮 喜欢。
(5星)	当时觉得温兆伦好帅呀~
(3星)	几年前看的了 我是从这个开始喜欢看陈乔恩的吧
(3星)	还不错
(4星)	喜欢音乐有理知花
(2星)	除了江祖平的脸，不知道看什么好。
(4星)	我要爱，就直奔你方向……
(1星)	当年看过的台剧之一，十分不好看。
(2星)	蠢得一翻起
(3星)	噢卖糕的
(4星)	第一眼爱上的乔恩~~
(4星)	白羊女，双子女，天蝎男，魔羯男
(3星)	女主角不漂亮 但是確實很可愛！
(4星)	这个片子实在是非常到位了.这俩女的我都比较喜欢看
(3星)	林韦君和霍建华。
(2星)	讨厌霍建华
(4星)	霍建华呀
(3星)	剧情还好
(3星)	也就是一般而已
(5星)	看这个完全因为霍建华
(NA)	没耐心看下去了 前面还多好看的
(NA)	超级不喜欢
(NA)	陈乔恩你还敢不敢再丑些！
(2星)	温兆伦在我印象里还是义不容情里那个大大大帅哥的模样，没想到都残到这个地步了....
(3星)	哈哈哈哈哈哈哈哈哈哈哈原来小时候的我喜欢看这么些电视剧
(2星)	喵。。。
(2星)	无聊
(NA)	我就印象片尾曲还挺好听的
(2星)	我是来打分的。
(1星)	从小到大看过最无趣的偶像剧…
(NA)	disguise
(4星)	记得很久以前看很喜欢。
(3星)	原来那个叫林韦君，我之前也说过一次这个“原来”了把···
(5星)	陈乔恩那时候就挺好玩的。。。
(3星)	和老头一起看的。剧情狗血。
(3星)	主题曲是不是萧亚轩的呀
(NA)	会喜欢温兆伦，就是因为这部肥皂剧吧。
(NA)	陈乔恩还是蛮好看的。
(4星)	比较早的了~
(5星)	陈乔恩
(2星)	温兆伦。。。哎。。。
(2星)	断断续续看的……
(3星)	完全不现实的剧情...
(NA)	赫然发现俺看过的台剧还不少啊~~
(3星)	我喜欢小凤啊~~~~
