http://movie.douban.com/subject/4935046/	一不小心爱上你
(1星)	 这种片打一星毫无鸭梨            
(1星)	 一颗星给dennis，其他从主演到编剧都可以给我去SHI了，还可以再低俗弱智点            
(1星)	 这个是拿来报复社会的么。。芒果台又瞎了我眼            
(1星)	 特意注册个号来鄙视             
(1星)	 以后芒果台再拍这种电视剧，别忘了拿出两倍的预算来雇五毛            
(1星)	 这种狗屎我是一眼都不会看的，宿舍有人在看，忍不住特意过来给个大差评，烂山寨台你坑爹呢？还能再低俗点吗？丫的中国电视剧全tm被你毁了，珍爱生命，远离狗屎。你丫搞你自己的俗男俗女就得，现在还特别喜欢搞外员，可怜的丹尼斯…            
(1星)	 麻痹的我需要负分！！！草～            
(1星)	 丑            
(1星)	 丹尼斯被毁了。。。            
(1星)	 我都有点不好意思说自己看过            
(1星)	 张翰你个大耳怪            
(NA)	 一看剧情就是蓝色生死恋的山寨。。。还找了丹尼斯吴同学来演男二。。。大囧            
(NA)	 山寨，丹尼斯吴好帅气！            
(1星)	 不解释。            
(1星)	 叫你山寨！叫你抄！还“猫猫公主”，神马恶心的外号啊！路人甲女主！路人乙女配！拜托山寨也找长得好看的美女来演好伐！这年头美女死光了吗！导演眼瞎了吗！中戏没人了吗！给我解释下这种路人甲为什么能进中戏还能演女主！为什么为什么！这年头进中戏的外貌门槛就这么低吗！            
(1星)	 预告简称就是蓝色生死恋。。。。想死了，芒果台你要干甚            
(1星)	 真是一不小心雷死你。。。。不过感觉张翰演技有进步            
(1星)	 ………………这蛋疼的配音            
(NA)	 有人写有人演有人看            
(1星)	 哈哈哈超级雷 男儿居然是丹尼斯吴 难怪我说怎么挺帅的。。            
(1星)	 1星鄙视团撸过            
(NA)	 我擦!一不小看了一眼..丹帅你敢不来中国接烂片么!!!            
(NA)	 这是买了版权的，不叫抄。但拍得节奏太烂，编剧导演可以切腹了！            
(1星)	 换台没东西看就看了一点。。雷死人啊~~~~~            
(NA)	 女猪也太丑了……            
(1星)	 我了个擦，这真是一部二到不行的剧。最近湖南台下午播，无聊看了几集，实在是看的人想骂脏话，神马东西？那个张翰站在丹尼斯吴旁边怎么看怎么像一个土包子，还一个劲在那里耍狠摆酷，还要不要人活了，女猪脚又老又丑，姿色还赶不上她妈。最要命的是这是翻拍蓝色生死恋，我这帮二看来是雷死人不偿命了。            
(3星)	 山寨得很到位！多加一颗星给摄像大哥以及配乐            
(NA)	 我只看丹尼斯-。-            
(3星)	 三星都给丹尼斯吴            
(1星)	 ........手贱的人理应吐血................            
(3星)	 女主角太没有吸引力了。同时希望张翰以后可以摆脱山寨剧，演真正属于自己的剧。            
(1星)	 一共看了2集，来个超级大差评，有么有负星？？？            
(1星)	 我妈每晚霸占电脑，逼我一起看！！！！！            
(2星)	 这点破事能编32集，不容易啊！！            
(2星)	 太太太…高于生活了!!! 可怜的Dennis…            
