http://movie.douban.com/subject/2153598/	欲望都市  第三季 Sex and the City Season 3
(4星)	 其实看到后来，carrie的忧柔寡断让我十分厌恶。            
(NA)	 这一季的关键词是FLAW.于是四女分别变成了小三、浪女、剩女以及弃妇。            
(5星)	 口语，我就拿它练了！！            
(5星)	 Don&#39;t worry,they have a really  lovely life.            
(NA)	 我爱Samantha, 虽然不够美丽，却十分自信和有魅力，她是我想成为的，Miranda比较符合我的情况，可我是要自卑许多。Carrie小女人啊，大家最爱啊，Charlotte，虽然有一切优点，但我不感冒。            
(4星)	 single life is tough            
(4星)	 喜欢Sarah Jessica Parker             
(4星)	 女校日子裏就靠這個消磨了            
(5星)	 经典            
(4星)	 第四集最后carrie被一个女孩吻时的背景音乐有谁知道            
(5星)	 每句台词我都想背            
(5星)	 美剧 Sex the and City HBO 电视剧 美国             
(3星)	 这一季开始让我打三星，剩下三季还没有看完。我不知道凯莉还能不能让我看我，至少我已经开始对她的缺乏善良和高高在上的态度不耐烦。            
(5星)	 相较前两季，这季明显戏剧化了很多，探讨了更多的问题，四个姑娘也都开始面对各自的长期性感情或是婚姻问题。。。女性剧无上的经典。            
(4星)	 越来越bitch            
(5星)	 第三季            
(5星)	 Mr. Big...            
(5星)	 经典回顾~            
(NA)	 看完这季喜欢S和M，CARRIE太糟糕了。            
(5星)	 每天一集接一集的看。会大笑，也会十分感动。            
(5星)	 其实我很爱carrie和BIG的纠结.甚至迷恋他们“偷情”段。- -哎。            
(4星)	 大一．            
(5星)	 awesome!            
(5星)	 Favourite            
(5星)	 最喜欢的一季。            
(5星)	 我心中美剧排名第一位            
(4星)	 开始觉得好看            
(5星)	 很好，灰常好，继续。            
(4星)	 四个姐姐开始变得更加光鲜了            
(NA)	 好想好想谈恋爱也就抄到这季。            
(5星)	 片子旧，但某些状态想法观点不旧。The Big真是烦人到极致啊！            
(2星)	 Aiden这么完美了，她还这样。曾经怕别人给承诺，现在有人给了自己又不安分，折腾。            
(5星)	 越来越喜欢看了！！！！结局要不要那么欢乐！！！！！            
(5星)	 我真希望她和艾登在一起，唉            
(NA)	 最难以抉择的一季            
(3星)	 看到第11集，实在看不下去了            
(5星)	 有时候觉得Big真是讨厌。。。Carrie啊。。猫一样的女人。。总是耐不住寂寞。。。            
(5星)	 好剧。看见自信独立的价值，看懂友情的真意            
(4星)	 开始有点兴趣鸟～            
(3星)	 完全受不了这季，已婚的BIG与有男友的CARRIE之间无耻的勾搭，我受不了。BIG请去死。            
(4星)	 从这季开始不喜欢CARRIE            
(4星)	 Sex and the City            
(4星)	 Carrie is a big huge super bitch.弃。            
(4星)	 carrie真是越來越討厭啊越來越討厭            
(4星)	 当米兰达把番茄酱瓶子掉在地上那一刻，我突然感到一阵恐慌……            
(NA)	 真是讨厌凯瑞，那么自私，自己犯贱让男人不要他了，后来又下贱得求别人！傻逼！    SAMANTHA真好啊，好喜欢！            
(5星)	 big现在是整个的asshole了            
(4星)	 Hey, Carrie!            
(4星)	 趁早把这几季都收了吧免得豆瓣一天到晚给我推荐。            
(5星)	 一直很好奇为什么外国女人那么相信达赖喇嘛            
(NA)	 Adam是梦幻邻家男            
(4星)	 大学时期陪伴的美剧。影响了后来的恋爱观。            
(3星)	 看不下去了。BIG有啥好的。            
(NA)	 它让我相信女人得有双最好的鞋， 用来通往幸福            
(3星)	 杀时间全看完了            
(5星)	 love and labels            
(NA)	 是在很好看。            
(NA)	 这季很纠结            
(4星)	 Sex and the City            
(4星)	 第三季老早就看完了，但到现在才发现没有写影评！所以也不大能搞清楚哪几集对的是哪一季的了！ 我似乎还没掌握好写这种短剧剧情式的电视剧影评！似乎要分集写才合适，因为故事是呈一段一段的！并不想传统的电视剧，是一个完整的故事！            
(3星)	 十年前看这个剧的话，恐怕还看不太懂。现在好像全都能懂了。。。多么可悲的一群人，多么可悲的故事。            
(4星)	 &#34;sweet friend, you and i are like that red wall, it is good idea but somehow, doesn&#39;t quite work&#34;            
(NA)	 who would thought an island tat tiny would be big enough to hold all our old boy friends..            
(4星)	 配合心理学来看，每集都有其表达的深刻意义。            
(5星)	 有些受不了夏洛蒂和Carrie.            
(3星)	 当我们在谈论pennis的时候我们在谈论什么            
(5星)	 虽然是断断续续看的，但确实很好~            
(4星)	 看到MR.BIG的老婆摔掉门牙的那集，我还心情不好了一下            
(5星)	 下雨停课 一天看完一季 我是不是太猛了 不过真的很好看            
(4星)	 好喜欢Aidan这类型的啊啊啊啊啊啊            
(5星)	 s3ep2的沙曼萨havingsex的背景音乐ep7 too available is wrong.起初对米兰达甚是无感不知她为何进入了这个圈子也许是因为沙曼萨风头太健先声夺人的吧，不过红发雪肤瞅久了我真相信了有耐看这一类人群。ep13里米兰达太狂野了……            
(4星)	 越来越讨厌生活剧，没有想象中完美就会被讨厌            
(5星)	 绝对的最爱啊            
(3星)	 carie明显是受虐体质，亦或大部分女性都是受虐体质？            
(5星)	 这季太精彩            
(4星)	 Carrie放着这么好的Aden不要，跑去和ex搞外遇，太asshole了，活该嫁不出去啊！！！            
(NA)	 从这季开始不太爱carrie了。。。            
(5星)	 我爱miranda！！！            
(3星)	 下了下面三季，不想再看了……            
(5星)	 忘不了就是不能自控？扯蛋！            
(3星)	 4个女人很可爱，尽管夏绿蒂我还真有点适应不了，太理想化，这季MR·Big可有点自作自受            
(5星)	 eiden真是适婚完美男人            
(5星)	 值得多看两次            
(5星)	 重温几百遍而不厌倦。            
(4星)	 为什么我已经感到厌倦？            
(4星)	 The Catch 这一集算是最好看的一集，也不知道是不是第三季的...            
(5星)	 直到他最终爱了另一个人，并娶妻生子开派对，你才知道他所谓“不能轻许承诺”的誓言只是针对你。            
(5星)	 4            
(3星)	 拖完了= =还能说什么呢            
(4星)	 艾登和凯莉恋爱太让人羡慕与祝福了，但对于这段感情的后半段的处理实在不让人满意，非常快的剧情节奏到后面舒缓着舒缓着整季就结束了……但总的来说还是要赞。            
(5星)	 喜欢就是喜欢，需要什么理由哦！            
(4星)	 这一季看到carrie在2个男人间摇摆不定，明明有这么好的艾登，还要为big纠结，实在郁闷，快看不下去了            
(4星)	 dalailama真有名。。            
(5星)	 2006年            
(5星)	 第二集最好看！！其实我挺喜欢她刚开始认识的那个政客的。以及Samantha越来越萌了！！            
(4星)	 越来越喜欢M和S了，越来越讨厌C和BIG            
(5星)	 每个人都和自己的big纠结着            
(5星)	 终于可以不伤感。BIG肯定被拖拉机撞过。            
(3星)	 我不喜欢这样的carrie...            
(5星)	 educational and enlightening            
(4星)	 我觉得比绯闻少女好看N多。            
(NA)	 大学时代女生们的最爱            
(3星)	 Carrie is a total bitch            
(5星)	 美剧中的第一，永远都不会过时。4个女人的那些衣服，carrie的那些鞋和包看到现在都依然是经典；现实的剧情和犀利的台词更成为了前世界所有女人的恋爱教科书，女人要的一切都能在这里找到。片面地说，如果你作为一个女人而不喜欢这部剧，我有足够的理由怀疑你到底是不是个真正的女人。            
(NA)	 其实是去年看的。。。            
(4星)	 最后一集！            
(5星)	 让我回忆起在宿舍里看欲望都市的大学时光            
(NA)	 城市的夜色那么朦胧，繁华，每当夜幕降临，退场的寂寞却只有我们自己知道，我们执着的寻找自己要找的东西。。。它在冥冥之中注定            
(5星)	 其实很好看。但是我只追到第三季……            
(5星)	 看着聪灵女子做蠢事，真是一件让人难受的事。            
(3星)	 生而活之咯.            
(5星)	 很高兴，凯蒂没有继续深陷            
(5星)	 i love it. 看了不知道几遍了            
(5星)	 治愈。每一集看过很多遍            
(5星)	 这季很不错~            
(NA)	 Paper之余的娱乐项目……             
(4星)	 介不是当年那启蒙篇咩？            
(5星)	 姐妹情深。            
(NA)	 09年飞速成长            
(4星)	 Mr Big 就是一烂货=。=            
(5星)	 沉侃沉侃* *            
(5星)	 好看！            
(5星)	 Dress up for love. Because no matter how much we hate it, we all are still searching for love and believe in love.            
(3星)	 big结婚是最好的处理啊，又搞在一起水准实在下降。。            
(NA)	 关于一帮女人在大城市里寻找爱情。。。自由的故事。。            
(5星)	 fabulous            
(5星)	 宝典啊宝典！！            
(5星)	 幸运的不是遇到了哪个男人，而是她们四个一直在一起。            
(3星)	 总算看掉            
(5星)	 谁都会犯错，关键是你知道吗？犯错之后还会有谁留在你身边？            
(5星)	 好过第2季             
(5星)	 这一季最好看了～            
(4星)	 逐渐爱上Miranda~            
(5星)	 夏洛特结婚了。            
(5星)	 这个就不用说啦，最爱~~            
(4星)	 不得不说，这一季在友情方面的看点比sex多很多。            
(5星)	 always be my favorite~            
(5星)	 好不容易哦            
(5星)	 始终觉得Carrie对Aiden的背叛是不能原谅的，是她人格上的污点。也许我有精神洁癖吧。这充分说明，女人 可能更倾向于用感情而不是理智或者道德这样的东西去思考            
(5星)	 继续追            
(5星)	 so nice            
(5星)	 越看越好看，这一季喜欢玛琳达和史蒂夫的感情戏，夏绿蒂和崔的婚姻发展也有待思考啊~呵呵！            
(4星)	 生活真的是有意义的吗            
(3星)	 这季个人觉得一般。。            
(NA)	 I WANT MY BIG            
(5星)	 开始喜欢起一些人的生活态度。我不喜欢折腾的女人，但却深深喜爱着萨曼莎。            
(5星)	 爱啦            
(5星)	 还有什么好说呢。            
(5星)	 慢慢得补上这部。相当好            
(5星)	 姐姐，劈腿游戏，少玩            
(5星)	 怎么说呢,越看越喜欢            
(5星)	 第二遍            
(5星)	 没有办法不爱的啊。            
(5星)	 独特的风情            
(NA)	 都是ML高手            
(5星)	 漂亮的衣服，鞋子，五彩的生活            
(5星)	 喜欢看，可能就是因为真实，而且开放            
(5星)	 just me            
(NA)	 最爱            
(5星)	 萨曼莎~~哇呼~~            
(NA)	 Carrie MISSED Adam!            
(5星)	 无论身边的人来来去去 我知道你们总在这里 不变的感情 四人一起往前走            
(3星)	 一季接一季……            
(4星)	 婚姻劫数            
(5星)	 第三季出现新的关键人物——艾登，夏洛特加入了已婚妇女俱乐部~            
(5星)	 说不清楚，感觉真的和前面的不一样了，以前只看那些小故事，现在是连在一起的~            
(5星)	 喜欢的东西都要收集。            
(NA)	 sex and the city是我的            
(5星)	 欲望都市 穿着香水 住在衣服里            
(5星)	 沉迷到无法自拔。呵呵呵，有些羞于承认呢            
(NA)	 3            
(NA)	 生活的 永恒的            
(5星)	 always sex~            
(5星)	 永远的精神食粮            
(5星)	 MR BIG好可悲            
(4星)	 big 就是carrie命中注定的癌症，Adan只是一场完美又无辜的肺炎            
(NA)	 我不喜欢Carrie和Big偷情，但这都是人生的选择。另外，当你有了四个灵魂伴侣之后，找到Mr.Right就显得容易多了。            
(5星)	 艾登注定抵不过Big            
(2星)	 剩下三季留作夏天的补给品。看到现在最喜欢公关女，当然啦这个女人绝对是幻想产物。律师女走路真的超级难看。不得不提一下，女猪脚真是弱爆了呢！            
(4星)	 这个城市没有sex，怎么可以完美成Sex n the City            
(3星)	 勉强算看完吧 carrie跟big复合之后实在看不下去了            
(4星)	None
(5星)	 Crush on Sarah Jessica Parker. and it just tell us that woman should live indepent then thinking about the man stuff.            
(5星)	 改名叫【買鞋子順便找男朋友】吧。            
(3星)	 Carrie就是一无脑搅屎棍，而对于一个35岁的女人来说做到这点并不容易。            
(4星)	 这一季CARRY的背叛让我觉得这个女人很过分。。。但是同时又表示理解。            
(3星)	 夏洛特更讨厌            
(4星)	 Carrie &amp; Big，第二季里那么忧伤美好的结尾，到这一季就变得恶心了。辜负了Aden这么好的人~            
(4星)	 可以用来练口语            
