http://movie.douban.com/subject/2210031/	仙剑奇侠传
(4星)	 除掉刘亦菲那做作的SB。其余真的不错了            
(4星)	 喜欢林月如            
(5星)	 胡歌就是帅。            
(1星)	 灵儿是单纯，但不是白痴…………            
(4星)	 作为电视版的仙剑。我觉得已经不错了。            
(4星)	 吃到老,玩到老,想不到,原來我已經那麽老了。            
(3星)	 个人感觉能将经典游戏内容改编拍摄成这样，已经不容易了。            
(4星)	 第一次看见胡歌好惊艳呀，和想象中的李逍遥一模一样            
(4星)	 李逍遥和林月如            
(5星)	 很喜欢2号女主角。“原来我已经那么老了”。            
(5星)	 我曾为游戏而哭泣过。            
(4星)	 只喜欢彭于晏！            
(4星)	 个人感觉能将经典游戏内容改编拍摄成这样，已经很不容易了~            
(1星)	 毁人不倦那！            
(4星)	 我的一兮。。哭。。剑仙前辈应该是男主角！！！            
(3星)	 当胡歌出了车祸后，刘亦菲转型后，我知道了李丽珍原来之前是拍香港三级的后，大家都不再看这部连续剧后，对于这部连续剧已经不再排斥了后，我看了，味道全变……20集之前全是垃圾，30集之后陡然上升了一个层面，那么多的配角都性格鲜明，惹人喜爱，奶奶的，花了那么久我终于把你啃下来了，可以删了……还好我们生活在和平年代，这剧情太跌宕起伏了，平淡才好平淡就好            
(1星)	 作为一个资深仙剑迷 对于赵灵儿是这个样子表示极度不满            
(1星)	 编剧太恶心◎◎◎            
(1星)	 算了吧，谢谢，没一个人物对得上原设定的性格。我始终不可思议的是为什么当初午休班里要放这个……            
(4星)	 不喜欢刘亦菲，还是无比喜欢林月如。我觉得这个故事怎么拍都不可能让所有人满意，每个人心里都有一个仙剑……            
(NA)	 看到胡歌的第一眼好惊喜好惊喜，是在哪找出一个这么像的李逍遥啊。不看漫画的人脑海里也是那四个字啊：漫画少年            
(4星)	 很唯美的古装偶像剧~~            
(NA)	 没看全，但觉得很感动。            
(NA)	 刘亦菲你那时候多美呀，多美呀。            
(4星)	 逍遥，月如~            
(5星)	 我爱胡歌啊！！！真人比电视上更帅！！！！！            
(5星)	 我很少追国产电视剧的 这部我超级喜欢啊！            
(5星)	 啊啊啊 5星是打给游戏的 虽然电视改了很多 但是看到我热爱了十年的游戏上到电视上 还是忍不住激动了 我的灵儿啊 仙女姐姐演 木辜负我的希望            
(3星)	 给我最深刻的就是那句话：什么叫做爱。            
(3星)	 看到刘亦菲就很烦。            
(3星)	 胡小哥还是很帅的！            
(5星)	 还是很喜欢这剧的。            
(5星)	 大爱！！！            
(5星)	 最完美的三角恋。夺走我们多少眼泪啊。。。豆瓣咋没有游戏板块？！            
(4星)	 胡歌没毁容之前是真心帅啊~~            
(NA)	 我妹说这片拍的很傻。确实很傻。但是那时的胡歌真是帅的一塌糊涂。刘亦菲一直都那么仙子。            
(5星)	 经典            
(3星)	 把游戏原著改得不像话！游戏里喜欢灵儿的我看了这部剧觉得月如最高！ 唯一喜欢的是添加了酒剑仙的感情戏~感人……倒是刘晋元和阿奴同学等人被折腾得体无完肤啊。死编剧！！对于演员我不想说什么了，真人永远比不过虚拟人物，反正看到后面也默认了。            
(1星)	 看了一些，实在看不下去！好假好恶心!            
(NA)	 还是游戏好            
(4星)	 虽然很讨厌刘亦菲 但是喜欢林月如嘛！初中的青涩嗷嗷嗷            
(5星)	 初三新闻台每天三集连播。爱惨了阿七。那时胡歌真真清俊，少侠之感。也从这里喜欢上了刘亦菲。唐钰则是完全的治愈系。            
(4星)	 现在还记得当年看这个是一集一集追的，又哭又笑            
(3星)	 刘亦菲确实清新动人啊，哈哈！以前很喜欢里面阿桑的歌            
(4星)	 其实是一部不错的电视剧。            
(5星)	 莫失莫忘            
(4星)	 还不错。            
(4星)	 大学时候看的。其实没事看一看也挺好的。            
(4星)	 胡歌演李逍遥不错，景天就比较雷了，赵灵儿在这个剧里面有点仁德过头了，太假。唐钰很不错，林月如很不错。            
(5星)	 一星给月如，二星给胡歌，三星给音乐，四星给唐钰，五星-给这个悲伤的结局。            
(4星)	 那些日子 再见了            
(4星)	 还记得跟老爸老妈一起看时候的情景~时光果然如梭~            
(4星)	 想当年我哭得哟~~            
(4星)	 中国最好的奇幻电视剧了            
(4星)	 还是不错的，很多角色很喜欢            
(4星)	 我玩的第一部单机游戏耶 电视剧也不错            
(5星)	 满手满心的回忆~我的高中年代~            
(4星)	 单为了唐钰，为了音乐，也应该铭记。            
(1星)	 说实话，我总感觉这个电视剧是对游戏的侮辱。            
(4星)	 很不错，可以看，没想到歌曲会是一大亮点噢            
(4星)	 时隔2年再来看这部片子，发现除了特技太难以接受，别的都非常好！            
(5星)	 音乐 情节 游戏年华            
(3星)	 拖沓            
(4星)	 高一03年，一个班的人在教室用电脑和背投电视看的。。。。第一次认识彭于晏！！哇！！            
(5星)	 回不去了。。。。            
(4星)	 过。            
(3星)	 我承认我看过很多无良电视剧            
(4星)	 那时候还天天霸者电视看。。。            
(3星)	 真的不能忍            
(4星)	 比仙三好看多了            
(4星)	 其实吧，冲着胡歌给的。。这时候他还没毁容 感觉不错呢。就是赵灵儿超级不喜欢，月如虽然不好看可是我想她和逍遥在一起才配            
(3星)	 核心思想太乱，编剧有点问题。阿奴定位有严重问题。            
(5星)	 逍遥叹那个稀饭啊～～～～～～～～哦哦哦～～当然，胡歌是重点。            
