http://movie.douban.com/subject/2279830/	真情告白
(5星)	 99年在《真情告白》里第一次听到《梦醒时分》这首歌。            
(NA)	 当年大概以为胡兵和瞿颖儿真是一对来着...            
(3星)	 哎哟，当年胡兵还是个男人哦            
(NA)	 记得一幕是他们熬夜到天亮，喝一杯咖啡，回家。那时我想要这样的生活。            
(NA)	 还记得插曲有梦醒时分            
(4星)	 好喜欢呢。。。还有《梦醒时分》现在发现原来跟杜拉拉有点像捏             
(5星)	 读高中时候一直觉得瞿颖和胡兵是绝配！            
(5星)	 前几天一台湾同学跟我说起这电视剧，说她特迷这个，突然勾起我回忆了。还感觉那时候电视里生活已经够前卫了，主题曲特好听。现在在一看这海报，真不属于这时代了。。时光啊。。我得遍新看一遍了            
(3星)	 曾经让我向往过一阵儿的都市白领生活啊~~            
(4星)	 是个标志            
(3星)	 啊哈哈哈哈哈哈哈哈……            
(4星)	 我小学看的            
(NA)	 好久以前了阿            
(3星)	 小时候我还是很喜欢的            
(3星)	 情节老套！            
(4星)	 ms是第一部偶像剧？原来这个哥们叫张世            
(4星)	 童年的回忆啊            
(4星)	 啊 张世，梦醒十分 ， 我的六年级            
(3星)	 經典老戲。《不只是朋友》。            
(4星)	 当年看时觉得还不错            
(3星)	 歌曲呀~            
(4星)	 和妈妈一起看的            
(3星)	 我怎么看过这个呢 有点小郁闷            
(4星)	 不愿做好朋友，要做一生一世恋人……            
(5星)	 好好看呀。            
(4星)	 当年因为它我很迷魔都            
(5星)	 那时候太爱了。因为这部剧，喜欢了那首梦醒时分            
(3星)	 是为补记            
(4星)	 当年觉得胡兵和瞿颖肯定是一对            
(2星)	 瞿颖年轻的时候还行啊            
(4星)	 当你们都还在 当一切都还未开始            
(4星)	 我就是记得张世和张本渝 《梦醒时分》            
(3星)	 这片子还行，主要是我喜欢张本喻            
(NA)	 哈哈 张世            
(NA)	 补遗            
(4星)	 怀念= =            
(4星)	 好像看了不止5遍重播了            
(4星)	 幼年时一度想学广告，对上海的最初印象也来自于此            
(4星)	 竟然已经是回忆了，我竟然还记得结局！            
(4星)	 比较养眼            
(3星)	 忘了大概的内容了            
(3星)	 张世很逗            
(4星)	 这里的瞿颖很漂亮。            
(NA)	 这部曾打动过我            
(3星)	 什么年代的东西了阿。。哈哈。。好怀念阿            
(3星)	 偶像剧男女猪脚的职业大多是成功的广告人            
(4星)	 尼玛我当年就是看了这个，大学才报了广告专业，很多朋友小时候报志愿都是受这种NC电视剧影响吧我觉得，死党因为看了木村拓哉的某日剧（good luck应该是）去了航空学院            
(4星)	 幼年的时候看的那个时候迷死胡兵了有木有！            
(4星)	 从偶像剧一哥到冠西小妈........噗 当年还真的感动过 梦醒时分是主题曲吧            
(5星)	 小时候特别特别喜欢            
(3星)	 当年真非常喜欢张世那对，还有那首《梦醒十分》实在是感人。1999.TV            
(4星)	 8分。            
(3星)	 胡兵和瞿颖的合作。            
(4星)	 胡兵有四十了吧？现在在干嘛！我宁愿相信他被包养了，也不想甘心他是同志~            
(2星)	 胡兵胡兵            
(3星)	 小学初中？            
(3星)	 小时候看的            
(NA)	 wow遥想当年=A=            
(3星)	 当时很爱追啊。。哈哈            
(3星)	 瞿颖+胡兵             
(5星)	 也算小时候的回忆了            
(5星)	 小时候爱死了            
(NA)	 巴赫启蒙            
(NA)	 歌蛮好听的- -            
(4星)	 小时候可耐看了            
(NA)	 记得后半部分有一段两人在桥上你追我赶，那假的            
(2星)	 我姐管胡兵叫“个呲脸”，哈哈哈哈哈哈哈哈！            
(NA)	 哎呀 想当年追这部电视剧的时候哇            
(3星)	 少女的我还是很喜欢的            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 我对上海的第一个印象就是从这部电视剧来的            
(NA)	 挺好看的啊            
(3星)	 重溫的感覺真微妙啊，那首插曲：夢醒時分            
(4星)	 当年觉得瞿颖就应该和胡兵在一起...            
(5星)	 现在还是觉得胡兵很帅啊，            
(4星)	 国产偶像剧启蒙            
(3星)	 挺喜欢张世演电视剧的            
(NA)	 只记得玉兰花样子的上海卫视台标了。以及构筑了我对上海的初步印象            
(3星)	 哇！            
(4星)	 其实我挺喜欢这片... 胡兵和瞿颖看着真挺配的...            
(5星)	 當年很喜歡看.第一次聽到&lt;夢醒時分&gt;             
(5星)	 巴赫  小步舞曲             
(3星)	 水瓶男+巨蟹女            
(NA)	 好像看过            
(4星)	 挺脑残啊，不过当时的我就那欣赏水平            
(4星)	 小时候- -            
(2星)	 亮点只有一个，主题曲            
(4星)	 印象中中国拍的偶像片            
(NA)	 它害得我当年觉得复旦是个很容易考的学校            
(NA)	 我确定我看过这剧 但说实话还真记不起来演什么了 ~ 囧            
(3星)	 很老很老的片子~            
(NA)	 小学真的看了很多电视剧...只记住了扬州大片大片的油菜花田            
(NA)	 多年后我知道了唱着梦醒时分的女生叫张本渝            
(3星)	 坏女人演的很好。俩高个主角挺般配。            
(5星)	 当年看老好多遍啊~            
(3星)	 瞿颖好丑            
(4星)	 曾经很喜欢的。觉得整部剧就是白色的。现在胡兵和瞿颖都变成恶男恶女了。。。            
(5星)	 对广告公司白领生活的最初设想            
(5星)	 好看的呢~            
(NA)	 这个 看过的看过的            
(1星)	 垃圾            
(3星)	 真傻            
(NA)	 原来那个是张本渝            
(NA)	 还是为许诺哭过的，这样的偶像剧之后又在上海拍了若干部，却没心情再看了。            
(4星)	 很多年以前，寄托了无数幻想的一部剧。现在看来，真的好白痴- -。            
(4星)	 当时就觉得胡兵和瞿颖很配            
(4星)	 当时很喜欢，知道男主角是GAY后不喜欢了            
(NA)	 一瞬间巴赫就风靡了。            
(5星)	 真的还满好看的            
(4星)	 哇~            
(5星)	 大爱的片子            
(3星)	 小孩啊。不懂事啊。            
(NA)	 竟然真的看过。            
(NA)	 小学时看的            
(3星)	 特喜欢张世啊..天生演喜剧的料！            
(4星)	 令人怀念的一部片子。            
(3星)	 诚实地说，我当时很爱看            
(4星)	 何苦还要整出一个狗尾续貂般的续集？            
(3星)	 那时候觉得人好看是吧            
(3星)	 乃真是儿时的回忆了，大概小学3年级看的吧            
(3星)	 小学的暑假~~~~怀念那时~~~            
(5星)	 大陆拍的最好看的偶像剧            
(2星)	 湖美丽和张世怎么老出现在同一部剧里？有暧昧？            
(5星)	 不错！！！            
(NA)	 光记得应该有某某和某某明星全然忘记了剧情.实在是个境界.            
(4星)	 zinsser            
(NA)	 印象不深            
(5星)	 美好的生活            
(4星)	 雖然是很久以前看的 但還記得夢醒時分的感動            
(2星)	 只是喜欢小步舞曲。大叔的偶像剧……            
(4星)	 难得我看国产剧~            
(NA)	 瞿颖 用勺子跟胡兵挖的火龙果,我就以为火龙果多好吃,我日,白盐白味的            
(4星)	 挺搞笑的            
(NA)	 狗屁一样的故事            
(NA)	 当年爱死这剧了            
(4星)	 当年课下几分钟也会跟童鞋讨论的片子！            
(NA)	 终于知道男女猪脚为嘛不在一起了            
(NA)	 确实好看，对张世扮演的“田国荣”印象太深，好戏之人！2000年之前中国内地的都市青春时尚剧拍摄得比现在好太多，起码很自然。2000年之后受炫富做作的《流星花园》影响质量就一落千里了，看现在湖南卫视那些鬼玩意真想摔桌啊            
(3星)	 梦醒时分            
(5星)	 那时候多爱这部片子啊 那时候还没有流星花园~            
(3星)	 胡兵 瞿颖 那个时候就觉得很配啊！现在觉得胡兵真的可以是个gay            
(4星)	 张世太逗了            
(4星)	 小时候看看还是不错的            
(4星)	 大陆偶像剧始祖？            
(4星)	 是不还有一个叫真情告别？            
(3星)	 美丽当年还很MAN，张世这么早就出现在内地了            
(3星)	 歌              
(5星)	 更好的一部，但是对我的审美观影响很深            
(4星)	 小时候啊！！！青葱少年啊            
(1星)	 好像记得有船戏            
(NA)	 曾经在我心中的经典            
(4星)	 这偶像剧真不错。你俩怎么就不接着好上呢……            
(5星)	 从这个开始一直很喜欢张世            
(4星)	 原来我们都有过这样的幻想~            
(5星)	 那时我多么诚挚滴希望胡兵和瞿颖可以在一起。。            
(3星)	 。。。。。。。            
(NA)	 原来日剧最辉煌的时候我都在看国产剧呢            
(3星)	 印象中应该看过!            
(NA)	 胡兵瞿颖都是曾经的大爱啊            
(3星)	 曾经是人人羡慕的一对，现在呢            
(3星)	 内时候就是因为这个 我鼻子被室友打出血了= = 记一辈子！OTZ            
(3星)	 那时候我觉得瞿颖应该和胡兵在一起            
(4星)	 以往的记忆            
(2星)	 不是很喜欢，但十年前的偶像剧都比现在有追求！            
(3星)	 竟然并没有那么恶心！            
(2星)	 我那时真的在闹片荒吧            
(3星)	 小时候看的- -            
(NA)	 想起陈淑桦的内首歌            
(3星)	 就是因为这。我大学专业毅然选择了广告。。            
(NA)	 许诺啊            
(3星)	 我喜欢你。我也是。            
(NA)	 虽然已经基本忘记了主要剧情，但对于青葱岁月里的那些电视剧，总有点小迷恋。            
(NA)	 这个我也看过！！！！            
(4星)	 张本渝            
(3星)	 都是小时候的记忆啊。            
(NA)	 张世在哪？            
(2星)	 哎，胡兵真是一朵奇葩            
(4星)	 偶就是从这部电视剧开始喜欢上火龙果的 OTL 话说官配神马的现在看来果然就是那浮云啊浮云 TAT            
(4星)	 初二那年。很喜欢。            
(4星)	 那个时候胡美丽还没有那么妖娆            
(3星)	 小时候啊小时候            
(4星)	 当年和妈妈一起看的            
(3星)	 真情告白            
(4星)	 诶哟 小时候可爱看了！！~   觉得他们特时尚，结局一起结婚老浪漫了。            
(4星)	 当时很羡慕他们来的            
(4星)	 好东西。            
(3星)	 这要追溯到。。。小学时候            
(3星)	 好吧  = = 这部我也看过。。。            
(3星)	 因为这部片子，我买了胡兵的《真本色》和瞿颖的《孔雀》            
(4星)	 胡兵就这里面帅，后来的都是什么东西。张世很喜欢。            
(4星)	 小學時代看的。未必說這部片子有多精彩，只是這部片子讓我開始瞭解一家叫麥肯•光明的廣告公司。嗯，它對我來說終究有某種層度上的意義。            
(2星)	 偶当年竟然看得津津有味，呃。。。。。            
(NA)	 都是陪老妈看的，哇咔咔~            
(NA)	 张世满有劲额            
(5星)	 当年多爱这片子啊....            
(NA)	 勾起回忆了。。。            
(3星)	 忘了情节了，不过很喜欢瞿颖啊            
(4星)	 当年我还小，觉得好看~            
(3星)	 那时和老妈天天看。。。            
(NA)	 记得那时的梦醒时分            
(NA)	 当年觉得他俩真般配啊            
(3星)	 记得当年妈妈居然喜欢看，而且也说胡兵这么高，帅，早知道当时拼命打篮球，长高点了            
(4星)	 我只记得我看过了。。。印象中还不错，细节全忘了            
(4星)	 来来来来来色厉。            
(3星)	 后来出现一个女人好美来的            
(NA)	 以前偷偷摸摸地看觉得真好看。。他们一接吻我就心跳加快，坐立难安——好害怕爸爸突然下班回来! &gt;_&lt;            
(2星)	 里头有个LESLIE            
(4星)	 应该算是比较早的时候偶像剧.有印象.            
(4星)	 最喜欢赵黛玲了。            
(5星)	 突然回忆起这部片来。。于是很天煞地看了一天浪费掉一天的时间。。然后更加天煞地突然发现。原来我诸多对爱情的想法貌似就是当时年级小在这部片里面形成的。。哎            
(3星)	 那时候真喜欢胡兵啊             
(3星)	 就是有个美大叔            
(3星)	 那个时候，徐州电视台老播这个。。。想起来那个时候精神食粮真的匮乏呀。。。            
(4星)	 青春啊~            
(3星)	 我好像喜欢瞿颖在里面最后穿的毛衣  还有高跟鞋的比喻至今有印象            
(NA)	 小时候好喜欢            
(3星)	 多小的时候啊。            
(3星)	 当时觉得许诺很不错~心目中的白领女子咯？            
(3星)	 当时完全是冲着多才麻豆瞿颖看的            
(5星)	 张世演的田国荣与阿玲抢麦克，最终两人合唱《梦醒时分》，从此，有他们俩出现的时刻，便会有这首歌伴随！            
(NA)	 、。。。            
(4星)	 好久好久之前看的。永远也忘不了手链出现的瞬间。巴赫的小步舞曲。            
(3星)	 影响不深啦~            
(4星)	 真久远~            
(4星)	 哦··胡兵跟张世住一个屋，后来张世跟女二上床了··当时看着还挺不好意思的··胡兵当年是帅哥，现在都成gay了··            
(3星)	 算是比较早的偶像剧吧            
(3星)	 貌似很小的时候也看过…那个时侯觉得蛮好看的，这两人还蛮配的，不过现在他们都老了挫了…我也不再幼稚天真了……            
(3星)	 看这电视剧认识了火龙果  爱上了梦醒时分            
(3星)	 回忆中的电视剧了            
(4星)	 其实我喜欢张世            
(4星)	 不错...            
(3星)	 20            
(3星)	 梦醒时分 就是在这里学的            
(3星)	 太久了 那时也太小了 都不记得内容了 只记得胡兵和瞿颖对手戏             
(3星)	 我还记得最后那个钻戒，我还记得梦醒时分。            
(3星)	 当年很爱片头曲..            
(4星)	 就记得许诺这个名字了。            
(NA)	 小时候就因为里面的小步舞曲            
(3星)	 胡兵，瞿颖，两人都那样高，大概拍戏时模特只能和模特配。            
