http://movie.douban.com/subject/2305198/	缘来一家人
(4星)	 最好年华时候的李若彤周迅郝蕾，曾经觉得很帅很帅的胡兵陈龙。主题曲很好听。            
(3星)	 很喜欢 李若彤            
(1星)	 真看过= =羞愧            
(3星)	 原来有郝蕾？            
(NA)	 高中看的,俺实在太迷小龙女了~~~~~            
(NA)	 期盼过大的必然失落            
(5星)	 高中时我看此剧，然后我发现：电视剧里的陈龙青春年少，胸肌发达，我好喜欢！            
(3星)	 貌似看过            
(4星)	 记得当时很爱看            
(4星)	 我记得之后就再也没看过上海的电视剧了。没工夫了-=。=            
(4星)	 其实当年看这个还觉得挺好看的啊。。喜欢里面的林志豪。。            
(NA)	 补遗               
(3星)	 算是对于真情告白的后遗症            
(4星)	 觉得周迅那时候好清纯            
(4星)	 主题曲有爱~            
(3星)	 奴家也不喜欢短发的李若彤。。。也不喜欢剧中她大大咧咧男孩子气的性格。话说奴B完全不记得里面有周迅。。            
(NA)	 我猜当年周迅大概是太穷了才会拍这个吧... 怎么还有郝蕾?            
(2星)	 我记得有周迅            
(4星)	 当时正值青春期的小戎很爱的片子，看过很多遍重播的。当时很喜欢林志豪和郝蕾。那时的周迅定位不对，演的乖乖女说~            
(4星)	 年少使我们都曾梦想快些长大，好整日整夜不用回家……我喜欢莫春生！            
(4星)	 早期的偶像剧的演员不单单是靠颜吃饭，大部分还是有演技滴。青葱时代的周公子和郝蕾，还有李若彤刘孜，颜的质量很高啊（请直接忽视男猪脚）！            
(NA)	 陈龙~~~            
(3星)	 因为这部电视剧 记住了一个单词 rib            
(5星)	 真怀念啊，            
(4星)	 内地偶像剧启蒙            
(3星)	 小时候很爱的一部剧            
(3星)	 居然有周迅……            
(4星)	 爸爸妈妈看到是我喜欢的迅和彤，就租了碟回家一起看的。            
(NA)	 年少时我们都曾梦想快些长大 啊整日整夜不用回家            
(5星)	 看得那个着魔啊！            
(3星)	 记得确实看过 可是讲什么忘记了            
(NA)	 就那么回事，亏了有那么多明星，还是不咋地。            
(3星)	 郝蕾？！周迅？！怎么都不记得？            
(NA)	 当年最爱的电视剧            
(NA)	 对这部的印象特别深，乌哇乌哇，郝蕾。            
(4星)	 不知怎地，始终记得里面一句台词：建筑是凝固的音乐；音乐是流动的建筑——有点道理，也有点装逼，哈哈            
(4星)	 上初中第一次在荧幕上见周迅，之后开始了对某位女同学漫漫三年多的暗恋，而兄长看此剧的焦点集中在李若彤            
(NA)	 当年放暑假的时候看的，“乌云金边”这个印象太深刻了。            
(3星)	 那时候李若彤还挺红的            
(4星)	 中学时的暑假看得，当时短发穿着扯布做的老太太睡衣还平胸，一天天的怀着少女梦，花痴似的爱着田国荣！也因此大爱《梦醒时分》！！现在想想真是恍如隔世啊！！这真是一个悲伤的故事。。。            
(4星)	 很爱这个剧            
(3星)	 因为此片，度过少年时代一个心情温暖的冬季            
(4星)	 记得胡兵是个乐天开朗的傻大个，记得李若彤很不标准的普通话，记得周迅那时很傻很天真，记得郝蕾和陈龙吃着吃着冰欺凌不小心吻上。。。这是我小时候最爱的内地偶像剧之一！            
(NA)	 合拍片里不错的            
(3星)	 小时候看的= =            
(4星)	 看一遍爱一遍~挺温情的~（陈龙有一阵老演别扭小子 =u=&#34;）            
(5星)	 初中时期的最爱。主题曲记忆犹新：“年少时我们都曾梦想快些长大”，“不用偷偷摸摸的谈恋爱啊，不用再问大人讨零用钱花”；“有一天回头想想离家的这些年呐，哪有一天不在想家。想念唠唠叨叨的爸爸妈妈是否已经变成了满头白发，真让我牵挂。”            
(3星)	 陈龙怎么就消失了现在            
(3星)	 我就记得有李若肜了            
(3星)	 周迅那会儿很青涩            
(3星)	 好多年过去了            
(NA)	 突然记起某个闷热的夏天某弱智儿就在喝凉茶看烂剧            
(4星)	 初中時代看的。錯以為那就是設計人的生活。還記得裡頭的驚豔之作&#34;R.I.B&#34;&amp;&#34;家&#34;。真的學了設計之後，才發現，電視劇人生完全就是扯淡。。。            
(NA)	 没什么印象了。但是因为那部电视剧爱上了陈龙！            
(5星)	 小学时候的片子……            
(NA)	 高中有电视机后，有印象的首部电视剧。妈妈也喜欢。最喜欢周迅，嘟着嘴可爱任性着，真可爱            
(3星)	 20            
(4星)	 纯粹只萌周迅和坏男二的戏份            
(3星)	 哎呦喂。这个复古了。原来老哼唱那首歌。            
(3星)	 小时候常看            
(4星)	 貌似我喜欢里面的陈龙 还有李若彤很美 里面有关手表的那段很有印象            
(3星)	 帮周迅好的那个男人很灵的！陈龙很灵的！            
(3星)	 为啥对周迅的印象最深呢？            
(4星)	 原来有郝蕾啊……对啊就是那个阿九            
(2星)	 我那时候看李若彤            
(3星)	 貌似也看过的么，都是老早的事了……            
(5星)	 都是明星，还是早期的国产电视剧好看            
(2星)	 李若彤还是小龙女形象好看            
(NA)	 很时称            
(3星)	 寻亲记...            
(NA)	 噢儿时记忆            
(5星)	 那个时候周迅刚刚出道~我一直都很喜欢李若彤~~            
(5星)	 小朋友 小叮当            
(NA)	 有李若彤真的嗓子 比周迅恐怖            
(4星)	 呵，歌不错！            
(3星)	 罗居然只用了2秒就想起了这部剧的名字=。= 当时觉得帅到掉渣的陈龙啊~做梦梦到都高兴的不行不行的...            
(NA)	 小时候看的，那时候觉得李若彤真是美若天仙。            
(4星)	 小时候看的             
(3星)	 看到后来无限无语。。。没看结局。。。。。            
(4星)	 算是看周迅的第一部片子吧？            
(4星)	 那时候周迅还不红            
(3星)	 小时候的片了            
(NA)	 李若彤很美。            
(3星)	 呵呵呵，我記得小時候看過，當時好羡慕胡兵他們住的房子..~            
(4星)	None
(4星)	 隐隐约约记得是很不错的~偶尔电视上加到于是总是惦记着！            
(4星)	 那时候刚看完神雕不久，看这个，觉得李若彤短发也好美哇            
(3星)	 这片子也不错啊             
(3星)	 阿尔卡特手机都是            
(5星)	 谁说大陆拍不出好电视            
(NA)	 当年就是看这部电视开始喜欢周迅的,那样她还没出名呢            
(3星)	 只记得弟弟长得很帅。不过 有周迅的说？是不是送牛奶的那个啊？            
(4星)	 我记得挺好看的，都是挺不错的演员            
(3星)	 姐当年就因为你丫一句&#39;建筑是凝固的音乐&#39;就屁颠儿屁颠儿跑来学房地产了.            
(3星)	 N年前看的这部剧，古装版的李若彤跟现代版的相差太远，特别是戏中这种短发男仔头，完全颠覆了过往小龙女的形象            
(5星)	 怀旧一下~            
(4星)	 全是回忆。             
(3星)	 为了看李若彤            
(2星)	 完全是冲着李若彤看的            
(3星)	 想当年            
(4星)	 主题曲还会哼哼～～　哈哈            
(3星)	 。            
(4星)	 好看！！            
(4星)	 小时候的回忆            
(5星)	 想不起剧情了，但是记得多好看的            
(NA)	 啊呀，短发的李若彤~也是很复古的时装剧，哈哈~            
(5星)	 一部让我对上海，厂房旧房子，建筑行业都非常有爱的剧            
(3星)	 依旧是上海系列。李若彤、周迅、陈龙是我喜欢的原因            
(4星)	 小時候傻什麽都喜歡            
(NA)	 夜以黑夜以黑            
(4星)	 看过的头几部好电视剧。            
(5星)	 long long ago            
(3星)	 囧囧的。。。小龙女的现代剧 还有周迅的陶陶。。。            
(4星)	 同样是童年回忆，因为它才认识周迅，胡兵~            
(4星)	 小时候很喜欢的一部剧            
(5星)	 小学每天晚上看一集再去睡觉~喜欢李若彤！觉得搞建筑的男性黑有魅力~            
(3星)	 已经忘了。。。。            
(4星)	 很爱莫春生。            
(3星)	 小时候看的这剧  在当时来说也算是时尚气息很足的一部剧了             
(3星)	 还有周迅？？雪..一点印象都没了...            
(5星)	 那时候真喜欢周迅啊，现在还记得主题曲怎么唱            
(3星)	 看了这剧，我才承认李若彤是美的~            
(2星)	 稍有印象            
(NA)	 oh yeah!我喜欢这个主题曲！哈哈            
(NA)	 这个也真的蛮好看。            
(3星)	 看过，看没看完就不记得了。只是有句台词印象很深：胡说，没有人比我更喜欢她了。            
(4星)	 小時候看的電視啦 還蠻好看的            
(3星)	 喜欢歌儿            
(3星)	 完全不记得剧情了= =             
(3星)	 周迅 郝蕾            
(5星)	 那时都好年轻啊            
(4星)	 很怀念的……            
(NA)	 初一看的，歌也好听，里头周迅这个“小表妹”招人喜欢得很            
(5星)	 喜欢的第一部连续剧。            
(3星)	 神仙姐姐短发也好看            
(3星)	 虽然只记得片尾曲了 但是真的没想到还能找到这部电视 周围就没人给我说过他们知道            
(5星)	 这部剧带给我美好的回忆。初中时偷偷看的，录过主题歌，为结局掉泪。            
(3星)	 那个小眼神。            
(3星)	 那时候在国产偶像剧中觉得还可以            
(3星)	 就记得李若彤家的钥匙是在信箱里~            
(3星)	 只記得身高落差好像有點大            
(4星)	 我地娘啊 我都忘了我看过这个电视剧了              
(1星)	 记得当时是为了《真情告白》看的。            
(4星)	 当时觉得陈龙还挺帅的，现在也不见了……里边有周迅？！！！完全没印象……            
(NA)	 包括喜欢陈龙．            
(3星)	 那时候周迅都算新演员哦。rib就是排骨。。。            
(3星)	 亲眼目睹了拍摄,第一次觉得电视剧离自己那么近那么近.            
(3星)	 完全不记得剧情了！            
(NA)	 好好看。。。            
(5星)	 低调的喜欢            
(2星)	 这个说的啥啊？            
(3星)	 那可是我看偶像剧的年代，当时只有上海的，没有台湾日本韩国的，等到有流星雨的时候哥已经把偶像剧戒了            
(3星)	 泡沫剧            
(3星)	 因为这部电视剧狂爱建筑学            
(NA)	 看不多            
(3星)	 都已经忘记情节了，只记得那时很喜欢李若彤            
(NA)	 忘了剧情            
