http://movie.douban.com/subject/4189360/	隔离七日情 隔離七日情
(2星)	 馬浚偉真是賤逼一個啊！！！！！！！！            
(5星)	 爆好看！我好中意戴少男啊！此人一出场，我就要笑破肚皮了。            
(5星)	 易早安，未到最后一刻都不知道你是怎样的人。            
(5星)	 啊我觉得是TVB最近难得一见的好剧。。。=w=            
(NA)	 很聪明的一部剧 每个人演自己的故事 因为7日隔离很多故事又全部串在了一起 搞笑的负责搞笑 浪漫的负责浪漫 讲道理的负责讲道理 没有一个人多余的人 铺垫也好 演员选的也好 马浚伟帅到翻了 超中意calvin和christy的中间段感觉            
(4星)	 最初为阿bo，TVB的巡礼真的不能信，主演又大换血了，意外收获是越来越看好马浚伟。            
(4星)	 马仔好帅，妮妮美到爆，bosco好帅，剧情好搞笑            
(4星)	 看了之后有点喜欢马浚伟了喂            
(4星)	 小成本的精彩不错！什么是好编剧！厉害！            
(3星)	 啊哈哈哈哈哈！那个小朋友的妆画得好好！！            
(4星)	 男人不坏女人不爱？            
(NA)	 第一集真有大宅推理的排場            
(4星)	 也像這樣把我拉去隔離吧！            
(NA)	 很好的格局，所有故事发生在同一个空间--一个高级酒店里；可惜填了一堆烂棉花。            
(3星)	 又出现绝症。。看到绝症就减一颗星 = =            
(5星)	 七天看遍人生百态 可惜人生虽精彩 却也没有这样执着的爱情存在            
(4星)	 吾错~哈哈。。喜欢马浚伟  郭羡妮~            
(4星)	 郭羡妮老了            
(4星)	 从巡礼到开播一直觉得是烂片 结果很好笑啊！！！！原来那个很有名的鬼娃娃装出自这里啊  最爱这种龙凤斗的戏码            
(4星)	 小空间，大故事，挺好看的。            
(NA)	 family time            
(4星)	 神经质港片 哈哈            
(4星)	 很多时候，你不了解的事情，会在某些特殊时期教会你很多。短短七日，很佩服编剧能想出这么多情节，亲情爱情友情金钱事业一切一切，净在这短短七日。马仔的这部应该比较出彩了吧，小BO纯粹打酱油的。哈哈，还不错            
(4星)	 赵展龙没有和唐晶在一起，我再也不相信爱情了...            
(5星)	 最后几集要不要这么虐啊混蛋！！！            
(3星)	 喜劇            
(3星)	 2.5             
(NA)	 开头挺烂的 16集发现看错易早安了，19集又发现其实没看错 ，黄宗泽真的很帅啊  还有戴少男不错呦  虽然郭羡妮还是很美但看的出比郭谖时候老好多。。            
(4星)	 3+ 在一个空间放置众多线索，编剧可真用心啊。但中后段有点无力。邓健泓的角色太喜欢了            
(3星)	 马仔 马仔 噢噢噢噢 ，我永远不老的马仔             
(4星)	 结尾的舞也很欢乐啊            
(5星)	 推荐之！！！            
(2星)	 我已经无聊到要翻旧剧来看了… 既然专门拣了一部水剧 就要接受皆大欢喜的结局套路 不能说拍得有失水准 但却是挺水的。七天的剧情背景 硬生生的塞下了20集的烂棉絮。你以为自己是《灌篮高手》啊! 几秒钟的慢镜头就是一集。但喜欢三八又可爱的戴少男和欧阳嘉嘉 算是添彩不少了。            
(3星)	 前几集真的很惊喜很吸引，后面就开始拖沓了，毕竟七天的事要拍那么多集，结局又很仓促很狗血。不如拍个短短的单元剧更好。ps：小马哥真的残了T.T            
(4星)	 hasta la vista            
(5星)	 哇靠终于又找到好看的TVB新剧了!!!黄宗泽好帅!!!╮(╯▽╰)╭            
(4星)	 虽然有抄袭之嫌，也有些冗长，但整个创意还算可以。算近期能看的无线剧。            
(3星)	 我真的很怀恋那种传统的温情剧啊。。            
(4星)	 看这个才觉得马浚伟很帅。            
(4星)	 还是稍稍遗憾~calvin不在还好christy有了don~            
(3星)	 3.5，虽然演员大换血，但是大主题没变。算是出好看的大杂烩。            
(NA)	 我觉得前面气场很强大啊不过后面越看越没意思！！！！还是想有时间再看一遍！！！邓健泓好可爱！！            
(4星)	 &lt;19 完结&gt;台庆月之后播出的剧集中已经算很好看的一部了。主线很有意思，每一条副线拎出来又都是一个个很精彩的小故事。            
(3星)	 小成本TVB 听着声就看完了 喜欢邓健泓            
(3星)	 烂尾            
(2星)	 好无聊。。            
(4星)	 我是為了馬浚偉黃宗澤看的            
(4星)	 陪伴我那些蹉跎时光。            
(3星)	 题材和切入点很好，问题是多主线什么的混乱，节奏根本就控制不好，线与线之间的关系太疏离，然后结局过于坑爹了，为了团圆让魂魄回来吗那是orz            
(4星)	 视角独特，不过一早就猜到结局。。            
(5星)	 剧情很精彩，tvb难得的好剧！            
(4星)	 矮油最后一场舞真是太跳脱了吧。            
(4星)	 基本是病怏怏地躺在床上看的，不过倒是蛮精彩的，反正故事编得挺有意思的，拍得挺闹腾的，皆大欢喜的结局也让人有继续下去的动力。            
(2星)	 要知道TVB的编剧现在有多烂，请看这部剧，平日还能稍稍回避的问题，在此剧集中暴露！            
(4星)	 港剧里算不错了            
(3星)	 郭马都老了            
(4星)	 近段时间比较好的TVB了~            
(4星)	 好看好看，在如此生死关头，竟然还要拼死了看剧。。。            
(4星)	 很好            
(4星)	 还不错            
(3星)	 不知道为什么，我看到最后郭羡妮抱着宝宝的时候，心里一阵酸楚            
(4星)	 怪盗基德吗。            
(3星)	 2.26-3.6 在被家门荣光虐的间隙来看下这个~怎么觉得马浚伟和邓健泓有点像？剧情还可以,但配角不是很心水,又无意中被剧透,所以中间很多集没有看得很专心~又见脑肿瘤,可TVB你不是很能么,为啥这次不救救Calvin~还很讨厌最后把那个“为人民服务”配给黄宗泽,不喜欢那个女的~            
(3星)	 3+ 框架好情节烂 麻烦下次给黄宗泽配个够漂亮的女配行不行啊！            
(4星)	 让人看了就想看下去的剧就是好剧，但是结尾太怂！！！！邓健泓越来越可爱了，也越来越演技派了。            
(4星)	 TVB难得一见好剧            
(4星)	 我觉得还挺好看的            
(4星)	 模仿龙凤斗太多了啦！            
(3星)	 N久没看港剧了，还不错啊            
(NA)	 情节挺紧凑，马浚伟好帅！            
(4星)	 为什么最近港剧结束都要来个全体人员的歌舞呢！！！结局很感人。            
(4星)	 hasta la vista             
(3星)	 亮点是戴少男和嘉嘉，a货超模也不错，但是马浚伟啊。。实在是。。。不适合这样的角色，还有剧情是硬伤            
(4星)	 原来马浚伟可以那么帅！            
(4星)	 马仔，从《鹿鼎记》里的康熙，到这里Calvin，赞！话说你哪里像一个40岁的人！！            
(4星)	 这样的剧情说不上为什么吸引我，但就是觉得很不错。            
