http://movie.douban.com/subject/2286181/	十万吨情缘
(4星)	 滕丽名最清爽的扮相。            
(5星)	 在鼻甲偏曲肥大、鼻中隔偏曲肥大和鼻窦炎的亲切关怀下它陪我度过了手术后病房里那段孤寂无聊的日子，这几乎是每天我仅有的期待。            
(2星)	 张可颐不入我眼啊            
(5星)	 喜欢张可颐那股劲儿~            
(4星)	 YAMA            
(4星)	 风车山一幕很美.            
(3星)	 张可颐确确实实看着喜欢。内容还真没印象了。            
(3星)	 开始添加TVB...            
(3星)	 只记得LA的风车山。            
(4星)	 很好。。很浪漫            
(2星)	 看过没印象了            
(5星)	 记得那个时候临近中考，每天很晚回来还偷偷的看个十几分钟。自此就喜欢张可颐了。            
(3星)	 虐心            
(2星)	 太一般了            
(4星)	 很多年不看港剧。突然看到张可颐的名字，就回想起来当年的这部是最爱。            
(3星)	 张可颐和滕丽名还行啊            
(3星)	 风车、风花、和一个俗套的故事            
(3星)	 年少回忆。            
(3星)	 呵呵，又是过去的记忆。            
(4星)	 很喜欢里面的滕丽名！不喜欢女主角            
(3星)	 已经没什么印象了             
(4星)	 我唯一花了200多元买的正版VCD呀！            
(3星)	 挺搞的            
(4星)	 浪漫故事.忽略最後五集...            
(5星)	 最爱！邮轮，纸花，风车山，大海。还有张家辉~            
(4星)	 我想学折纸花！！            
(5星)	 喜欢，喜欢。            
(NA)	 因为有张可颐.我一直很都喜欢她.觉得很有气质不失可爱.但现在她好像有引退之感.            
(NA)	 风车山            
(4星)	 久远到我都不记得剧情了。。。            
(NA)	 又一爱张家辉            
(5星)	 超爱            
(NA)	 蛮好看的……            
(NA)	 以前张可颐还蛮好看的。。            
(4星)	 这么多年了，还是很中意张可颐。            
(4星)	 好久好久之前看过的片子，好怀念啊~            
(3星)	 张家辉哟~~            
(4星)	 黑旋風&amp;白飯魚，很好看啊！            
(3星)	 张可颐也挺有气场            
(4星)	 只是喜欢那朵太阳花            
(5星)	 張家輝×張可頤的經典。中盤劇情好虐喲。滕麗名在我心中維持了很久的壞女人形象&gt; &lt;            
(4星)	 挺好玩滴～            
(4星)	 前面挺好的~可惜后面过分纠结了一点            
(4星)	 从那个时候知道了风车山和纸鹤的故事            
(5星)	 主题曲真是好听~            
(3星)	 就那么回事吧            
(3星)	 没仔细看            
(4星)	 欢喜冤家,有些桥段很好看很好看,有段时间很喜欢张可颐            
(5星)	 张可颐好靓女还有那个风车的故事            
(3星)	 前半部本来可以评四星，但是后半部分实在是不像是一个导演拍出来的作为一部纯爱剧，到后来众人竟然被一个满口胡言乱语的骗子骗的团团转，实在是无聊至极            
(4星)	 张家辉万岁！            
(3星)	 貌似是油轮。            
(5星)	 DIN是滕滕很漂亮的扮相之一，喜欢那种默默的喜欢，不用说出了，放在心里面就好……            
(5星)	 很浪漫            
(4星)	 张可颐还是很有喜感的            
(3星)	 这个还蛮搞笑的            
(5星)	 欢喜冤家永远是最可爱的情侣组合，峰回路转的剧情还是比较吸引当时的我，不过，如今的张家辉已经贵为香港影帝了。。。            
(NA)	 最喜欢的港剧            
(4星)	 很TVB额电视剧。。。            
(3星)	 于是对折纸有兴趣了            
(5星)	 很浪漫！张家辉当时说如果这个剧收视破纪录的话就娶关咏娥，于是，真的说到做到了1            
(3星)	 也可能看了几集~~            
(5星)	 亲爱            
(3星)	 没有想象中好看。            
(3星)	 大船很好            
(3星)	 20            
(3星)	 我只是喜欢张可颐而已.            
(NA)	 我正恋着你。            
(NA)	 看的时候很喜欢            
(NA)	 十万吨情缘            
(3星)	 船上的浪漫……好想搭一次邮轮……            
(2星)	 这个不太好看            
(3星)	 张可颐比金枝玉孽里好看交乖~            
(NA)	 爱情喜剧             
(NA)	 没看完，改天再补，只依稀记得二小姐那时特别特别的瘦，和张家辉欢喜冤家啊            
(4星)	 兜一圈又回来的感觉很好、、、还有那美轮美奂的风车、、            
(5星)	 虽然内容假到爆，但是为了美貌的张小姐、正太样的张叔叔和la的美景，还是五星！            
(5星)	 很感谢，让我在船上遇到你；很感激，让我再在船上遇到你。离开陆地，人心或许会开阔无垠。很喜欢，这种自由却又有依靠的感觉。看了不只一次，情节很普通，但就是很喜欢，没有为什么。            
(5星)	 这也是经典之一~~            
(3星)	 看这本剧的时候还是小学，要升初中的暑假…那时追的很凶的，现在想起来原来女主角姐姐是张可颐，那时还特地学她配无框眼镜戴呢，真傻！            
(4星)	 邮轮上的爱情故事            
(5星)	 至爱既一部！            
(5星)	 看了几次的剧，非常喜欢，无论情节还是各个演员，许多插曲都很好听，特意跑去学怎么折那纸花            
(5星)	 真心好睇！我系讲真既！            
(NA)	 高中以前跟着翡翠看了好多TVB，不过大多剧情都记不清了            
(5星)	 好看好看！            
(NA)	 觉得不咋地。            
(4星)	 超正统tvb爱情喜剧！！白饭鱼~            
(4星)	 挺感人的张家辉走路弓背很帅            
(5星)	 小时候关于塔罗牌最深的记忆（主题曲我还记得肿么唱~）——————————————————————————手贱前后的分割线好吧我手贱又看了一遍。。女主角粗鲁又不可理喻，反而女配很值得去爱啊。。！（小时候身为主角控的我哎。。）五星留给以前的欢乐   果然回忆是经不起翻新的诶。            
(4星)	 很迷可颐时找来看的，剧情那个折磨人啊，但还是值得一看的~            
(4星)	 这个很好看啊 怎么评分那么低            
(4星)	 经典。            
(4星)	 结尾兜兜转转太刻意了，16集结束就完美了！            
(5星)	 TVB的经典爱情喜剧。喜欢白饭鱼和黑旋风这样的爱情。            
(5星)	 主题曲我都仲识得唱……            
(3星)	 比较没印象的剧情。。。。            
(5星)	 这部让我喜欢上张可颐            
(3星)	 張家輝實在没有主角氣質            
(5星)	 我最爱的一部电视剧            
(4星)	 以前非常喜欢的风车山~            
(NA)	 感動的稀裡嘩啦。            
(4星)	 看过一点点，喜欢那个太阳花。            
(4星)	 感觉还行，配上好听的插曲，加上张家辉和可颐，还有那些可爱的配角，很轻松的剧，唯一不满的是后面把Yama写的太蠢了点，看得很窝火。很喜欢里面浪漫的情节，羡慕啊~~~            
(4星)	 前些年看的，还不错的，一开始在邮轮上的故事。            
(4星)	 只记得i will be the one 和张可颐漂亮的无可救药            
(4星)	 我至今对里面的插曲都有印象。            
(3星)	 这剧就是纠结了半天            
(NA)	 i will be the one ronn chick,第一次知道虐心            
(5星)	 很不错。            
(5星)	 when i fall in love with you...            
(4星)	 风车，张可颐，张家辉。            
(NA)	 互相不爽的两人最后相聚在风车树还是海边来着，总之很浪漫            
(5星)	 大爱大爱大爱！！！！！！！！！！！！！！！            
(5星)	 好喜欢            
(3星)	 小时候还蛮喜欢看            
(5星)	 心目中港剧前三，没有原因，就是喜欢            
(NA)	 相当喜欢！！！张家辉+张可颐            
(3星)	 很轻松的片            
(5星)	 刚刚再翻这部剧，经典的TVB爱情剧，现在已经拍不出来了。            
(NA)	 港剧看的真不少= =！            
(3星)	 爱情题材里面算比较有新意            
(4星)	 好看            
(2星)	 我的英文名就是从这个剧来的            
(3星)	 N年前看的。            
(3星)	 这部戏里的滕丽名最靓！！！            
(2星)	 本来喜欢张可颐的 看此剧后不喜欢了            
(4星)	 记得当时很喜欢这部剧。。感觉很好看            
(4星)	 蛮好看的，张二小姐这部戏里挺讨喜，张家辉那时候多年轻啊            
(4星)	 应该是很好的。不记得了            
(5星)	 爱情真的不能用时间来衡量            
(4星)	 那个谁！            
(4星)	 记得很好看            
(5星)	 我实在是喜欢滕丽名呀，虽然她专门演女配。。但是女配的故事有时候比女主还打动我。。            
(4星)	 后几集比较郁闷和拖拉，女主让人不太能理解而且烂尾了。总体蛮喜欢看的，很浪漫的剧情。。。为了可颐看的剧结果大爱张家辉^o^ 让我想起Anego，为了赤西仁看剧，而恋上凉子JJ...               
(4星)	 男二太坏了！            
(4星)	 good！            
(NA)	 还记得里面一句话，兜兜转转，最后发现还是你最好！            
(NA)	 哇那时候好喜欢看 看了几遍-.-            
(4星)	 肥皂启蒙剧            
(NA)	 看这剧时还未爱上可颐呢 其实Yama不讨喜啊- - 有几个眼镜扮相我也不喜欢。。尤其后期和棠哥演的那个极品骗子纠纠结结真是看得人郁闷死了。。不过这个爱情故事蛮特别的 风车山的传说~浪漫得很~~张家辉很帅~滕滕的角色喜欢得很。。哎。。作为一个乙醚说这剧除了女主都蛮喜欢是不是太大逆不道了= =            
(4星)	 小学时老港剧的回忆啊            
(3星)	 还行。            
(3星)	 只歌老灵的。。。纯粹看张可颐。。。            
(3星)	 记得里面有折太阳花 我也学了            
