http://movie.douban.com/subject/3021640/	西游记 西遊記
(4星)	 Yo，打妖精，使乜惊啊？            
(1星)	 垃圾。            
(5星)	 同样是最爱,实在太好笑            
(4星)	 猪八戒的千年情劫太搞了            
(4星)	 张卫健的猴子和黎耀祥的猪不错。。。            
(4星)	 八戒最出彩.            
(4星)	 这部其实很好看，江华活生生一个唐僧。黎耀祥相当出彩，张卫健这里面也没那么夸张。我最念念不忘的，是蜘蛛精那段。            
(5星)	 我最喜歡的版本，沒有之一。            
(3星)	 不想吐槽。。。。。。            
(3星)	 我觉得这是被张卫健的玩心鼓捣出来的吧，果断偏无厘头，花果山千年劫什么的还蛮玩得开的。            
(5星)	 这个超级好看~~            
(4星)	 童年回忆啊~印象最深是许秋怡饰演红孩儿            
(3星)	 年少回忆。            
(5星)	 哈哈            
(4星)	 很好看，猪八戒黎耀翔千年媳妇熬成婆。            
(5星)	 小时候看笑得东倒西歪啊            
(2星)	 瞎扯            
(5星)	 张卫健 江华             
(2星)	 这个版本太扯淡了            
(5星)	 喜欢张卫健            
(2星)	 其实觉得张卫健的戏大多能看得下去 但是这部实在输了点            
(1星)	 张卫健版孙悟空很难看            
(2星)	 麻痹            
(4星)	 同样还好            
(3星)	 現在想想這個組合。居然是賤人江華同劉醒非凡哥的配搭。黎耀祥麥長青當年你們應該聯手把唐僧給滅了！！            
(3星)	 重播过好多次啦            
(4星)	 真是张卫健啊？好多年都记得这片子。拍得挺好的            
(3星)	 想当年……            
(5星)	 幼儿园时候看的？小学时候看的？            
(4星)	 所有神仙妖怪都好无厘头            
(5星)	 最喜欢他啊。。。            
(4星)	 花果山水帘洞美猴王齐天大圣孙悟空呐！            
(5星)	 很喜欢很喜欢~~张卫健演的孙猴子超有型~~猪八戒超贱，也是亮点~~还有陈豪演的二郎神好帅~~            
(2星)	 真难受！！！            
(NA)	 很多年之前的记忆            
(3星)	 这只猴子肥了点            
(3星)	 just so so             
(4星)	 anuo～那誰·我還記得里面的順口溜～            
(NA)	 【1996】            
(3星)	 这个还行啦QAQ            
(3星)	 很老的一部。回忆            
(4星)	 张卫健是童年回忆            
(4星)	 张卫健面子挺大。。。            
(2星)	 啊咧还有一个？            
(NA)	 我曾经超爱黎耀祥--；            
(2星)	 个人中意第二部多滴            
(4星)	 黎耀祥很不错            
(5星)	 这个经典。那时是吃饭时间播出的，结果我老是看得忘了吃饭被妈妈骂。那句&#34;多情自古空余恨，直叫猪生死相许&#34;，就是从这个剧流传出来的......呵呵，这个剧还有好多经典台词的。            
(3星)	 我舍長喜番江華=3=            
(3星)	 已经记不清了  打发时间可以的 还是老版的最好！新版的什么都要跟爱情扯上关系 囧            
(3星)	 黎耀祥 你这个时候只能演猪八戒。。。屈才了！            
(3星)	 居然还不错            
(4星)	 96年。。。小学时看了好多港剧= =            
(3星)	 港版西游也能看            
(4星)	 原来是96年拍的，张卫健演得活灵活现！陈浩民比不上！            
(3星)	 搞不懂当年怎么那么喜欢张卫健！~            
(4星)	 小时候真的觉得很好看            
