http://movie.douban.com/subject/2930383/	凤舞香罗 鳳舞香羅
(3星)	 江华！！！！            
(3星)	 看完全是因为江华，黎姿，唐文龙，没耐心看完全是因为陈豪，向海岚和吴美衍            
(3星)	 只要兩個人有一方得重病就怕拖累另一方 只要跟主子久了就自我膨脹到要謀權 TVB編劇你可不可以去死啊            
(3星)	 只不过因为江华            
(NA)	 怪异得很            
(3星)	 以前租碟子看的，哈哈，说真的，不好看~ 但是，演员都喜欢~~~            
(3星)	 失望            
(3星)	 前面还好，编剧在后面怎么想的？            
(3星)	 旗袍！旗袍！            
(3星)	 没看完 剧情亮点不多            
(4星)	 拍得不错，好久不见江华了            
(3星)	 江华            
(4星)	 因为那时候好迷江华~~！            
(3星)	 一群情感怪人            
(2星)	 看到哪我也忘了，快进都没耐心了，弃            
(NA)	 也能看看了,没亮点,看完想不起来什么了            
(4星)	 我喜欢里面吴美珩唱歌表演，很多陈慧娴的歌，不过没完整版本啊。可惜了。            
(3星)	 吴美衍长了一张良家妇女的脸还扮风情万种，也太怪异了一点吧...            
(NA)	 没看完~不过看不下去了            
(3星)	 宝翠珑~~我要做格格!!!!哇咔咔            
(3星)	 情节，人物关系很曲折，但是是在没有耐心看完整，太冗了            
(3星)	 最爱里面的江华            
(4星)	 真的很希望向海岚跟江华在一起。。。            
(3星)	 很粉江华 但这部剧印象非常不深刻            
(3星)	 剧情一般，可以说，唯一闪耀的是江华陈豪的角色千好万好，可惜江华的荣昊东太出彩，本身的气质就非常适合演绎亦正亦邪的人物，一颦一笑，谈笑间天下间尽在掌握，因为太清醒，所以放手，因为不舍的，所以执着比起他的感情戏，我更爱他黑帮老大纵横江湖得洒脱犀利，有手段有心计有魄力向海岚的角色            
(3星)	 觉得江华好帅哦            
(3星)	 向海岚很适合演三十年代的            
(3星)	 tvb时代的魏俊杰真是亦庄亦邪            
(4星)	 荣少，江华            
(3星)	 边写论文边把它给看完了，结尾不知道是谁进来了，反正一开始还行，后面就开始狗血了            
(NA)	 当时和妈妈一起看的，向海岚的脸实在让我纠结不已。            
(3星)	 晕死，向海岚这样的还能让男人爱的死去活来啊~黎姿死掉了，杯催~            
(3星)	 印象模糊。            
(NA)	 向海岚穿旗袍蛮漂亮的            
(4星)	 第一集就斗争非常激烈 吸引着狂追下去 可最后发现 给自己没留下什么 不如03年春节同时看的《似水年华》            
(4星)	 推荐完全只是因为我花痴江华了……~~            
(3星)	 好像看过个大结局的样子？            
(4星)	 剧情不错的~~~            
(4星)	 为神马分那么低，江华明明那么帅。。。            
(4星)	 黎姿！！陈豪！！            
(3星)	 略拖沓了点 不过年代戏的戏码还是对我口味滴。。。江华怎么可以这么有腔调。。。荣昊东明明最后改变这么多，宝翠珑还这么纠结真心让人郁闷。。。向海岚其实是有那个年代的气质滴。。。            
(5星)	 看下去 很棒 江华帅气的没话说            
(2星)	 更一般            
(NA)	 来看旗袍的。            
(4星)	 跳着看完的，因为只喜欢看黑帮的事态发展，不喜欢里面的感情戏，如果非要挑一段我喜欢的感情，那就是阿泰对荣少的感情了~            
(2星)	 看过，忘了，就记得陈豪最后疯了！~            
(3星)	 服装很美~~            
(NA)	 对向在黎之前不满。            
(3星)	 可惜了这个挺好听的名字。            
(2星)	 吴美衍和向海岚··············哪里美了？            
(3星)	 江华有魅力。            
(2星)	 这种剧我也看过啊。            
(4星)	 本来这个剧整体的大环境不错，人物背景性格的设置也很到位。。前面半部分还有看头，人物的命运还牵动我心，但是后面到了高潮反而跌下去了，晋铿的病真是古怪到不适合这部剧。。。            
(3星)	 萧公子已经仙逝了，TVB在没有这么有旧时情怀的编剧了。都说电影是演员皮肤好坏的放大镜，但就算只是电视，演技也是高下立见的            
(2星)	 结局太狗血            
(NA)	 最近看江华的戏有点多。。厄。。如此有气质的男人。。            
(3星)	 吴小姐又是华丽丽的配角，话说每次向海岚演女主都怎么看怎么别扭。            
(2星)	 男女主角+后半段剧情=杯具  吐血            
(3星)	 就那样呢            
(3星)	 原来《齐天大圣》里面的唐僧可以这么有型的……            
(3星)	 旗袍，长衫，居然还有六合彩            
(3星)	 看到向海岚我想呕            
(3星)	 24            
(3星)	 劇情太拖沓。黎姿作民國打扮非常美，相形之下《東方之珠》里的佘詩曼簡直不能看。陳豪一演中規中矩的角色就魅力盡失。            
(3星)	 树敌不如化友。            
(NA)	 除了姿姿，还喜欢江华和陈豪            
