http://movie.douban.com/subject/6389525/	钱多多嫁人记
(NA)	 李小冉和朴海镇完全像海尔兄弟一样。            
(NA)	 快把那个棒子拖出去斩了！            
(1星)	 超级大烂片啊 编剧是吃屎的么 没有一个角色正常的 没有一件事情合理的             
(NA)	 新一代面瘫男------朴海镇            
(2星)	 我只想知道那个念旁白的是谁，他每次一说话，我就浑身起鸡皮疙瘩。            
(1星)	 芒果盛产雷人片，这次毁了李小冉。具体请看第一集，钱多多被抢包，棒子帮助她抢回了包，纵使这个棒子多么不吸引你，也纵使今天的确就是大年三十。你也不该放下好端端的一个要求给你电话的男人而去吧？活该你剩女。我不能成全一个把事业婚姻和爱情放在不对等关系上的女人拥有完美人生。棒子的化妆师烂。            
(2星)	 最近电视上老是这类网络小言改编的不接地气的玛丽苏似的东西，女主角都受过良好教育、容貌中上、年纪20大几、经济独立、事业有成，就是精神上似乎还不够自立，一脑门子幻想天上掉下个高富帅，就为鞍前马后地伺候自己这个女王。ps话说生活秀是跨国集团公司？跨国集团公司的茶水间摆满香飘飘？            
(3星)	 我想说，这部片子里面的演员。。除了李小冉之外，演得怎么都那么用力啊。。。太夸张了            
(2星)	 不咋滴。肿么朴海镇那么像姚晨的前夫凌潇肃，丑了。            
(2星)	 大龄女青年的一场春梦~            
(1星)	 故事的矛盾没有高潮，各种事情纠结来纠结去，都纠结在原地不动，观众的忍耐是有限度的。央八有点标准好伐？            
(NA)	 最喜欢看烂片了            
(1星)	 脑残片            
(1星)	 一星送给朴海镇。本来还想一星送给李小冉的。但是那个东北虎妞把哪颗星给生吞活剥了。            
(5星)	 看了两集，有接着看下去的希望。            
(1星)	 李小冉 年轻的韩国男星，看了一集就看不下去了。。。            
(4星)	 还可以哈，顺应剩女而生的。            
(3星)	 我妈推荐的！ 太不容易了，那虐的啊~            
(3星)	 我无聊==            
(2星)	 哎~~内地电视剧就不能有所突破么？尤其是都市题材的。。。我真服了。不是为了李小冉朴海镇我才懒得看            
(1星)	 韩剧在中国。。。            
(2星)	 老掉牙的网络流行语，过度的消费剩女话题，白瞎了李小冉和朴海镇两个好演员。            
(3星)	 当脑残粉真是太累了。。冉爷你能不能演点靠谱的嘛。。。            
(3星)	 剧情神马的真是弱爆了，好歹衣饰还是不错的，能勉强看上几集。            
(2星)	 当年的安琪啊！李小冉！经过鄢颇事件之后，她成熟了，但是熟女的她并不好看。钱多多的发型和身量，都让曾经梦破碎了。网上人气小说改编的剧集不少，选演员的确非常重要，类似大龄剩女的角色小宋佳等人也都尝试过，问题是真正要把握的感觉，可能还应该多参考一下《非诚勿扰》，与时俱进一下才好。            
(3星)	 李小冉和朴海镇完全像海尔兄弟一样。            
(NA)	 71500            
(3星)	 一个个都围绕着道听途说转悠，脑子都进了水似的。            
(3星)	 太不尊重原著了，改得面目全非了            
(3星)	 噗 我还是对朴海镇心动了~~            
(2星)	 我怎么那么讨厌那些个家长啊！！我围脖里说的：好好一本都市言情职场小说改成的电视剧真让人抓狂！从两个人的纠结变成三家人斗争，使之彻底成为了经典的国产的老太太裹脚布式的电视剧！每集40分钟，30分钟三家长辈掐架，8分钟男女主角安抚各自家人，剩下2分钟就是旁白！            
(3星)	 中央八套每晚5集联播            
(4星)	 像钱多多同志学习&gt;&lt;            
(2星)	 这个配音吓死我了。男主本来好好地又削什么脸啊。靠            
(3星)	 看完预告一部片子就完了，二星，多一星给李小冉            
(2星)	 原来这是两个钱多多嫁人记 ╮(╯_╰)╭            
(2星)	 总觉得心理学老师是农民刚进城模样。剧情太扯了,看在结局不错份上加一星。            
(2星)	 没劲 钱多多像老年赵雅芝            
(3星)	 真没认出来是李小冉，你的大胸呢！没诚意。||其实就是为了谈一场你爸你妈你姨你姑你舅大伯都同意的恋爱。||开甲壳虫的女主选择了开路虎的男主，抛弃了开迈腾的男二。||最后一场戏拍的春节，结果路边的落叶乔木都是绿色的呢。||男主一副死鱼眼。。。||我还是觉得马文儿更适合多多。。。            
(3星)	 春假在家陪我妈看 - -  DLTV每日播放 男主还是个棒子 整个就是惊天雷 最后一集所有黑心肠的都被光速洗白了 每个人都有一个Happy Ending 囧            
(3星)	 寝室同学看的，我听的。            
(NA)	 叶倩云这个演员真心演技差！！！！！！！！！！！！            
(2星)	 没常识……            
(NA)	 有负星么             
(NA)	None
(3星)	 演员挺好看，但是，把原著改成这样。。。各种斗心斗角。。。受不了。。            
(3星)	 狗血...演依依的女孩挺好看。            
(1星)	 真是好无聊。。。            
(3星)	 里面中年妇女的发型和伊丽莎白的做作演出掉了一星╯▂╰            
(2星)	 神那~ 李小冉居然演这种小言情~ 各种公主病各种恶婆婆~~放在海报最前面的李小冉明明就是一个配角嘛~~~而现实是，这两个人永远不可能在一起，没有理由，没戏！怎么折腾都一样！没戏！！            
(3星)	 朴海镇演的好假的说            
(NA)	 扫过，且男主角还是韩国人……            
(1星)	 无亮点             
(2星)	 看了一集就知道结局的典型，特别是此类搅浆糊编剧，勇气十足逻辑全无            
(1星)	 一群疯子扯JB淡            
(2星)	 这是有多纠结才能连续35集都在争吵。            
(3星)	 比刘涛版好看些。。。。。            
(3星)	 实在是受不了拖沓的剧情了~果断快进了~还是更想看话剧版！            
(NA)	 好想因为朴海镇和李小冉而给星……            
(3星)	 老妈刚看完的，男二女二各种贱，各种激发我的暴力倾向，然后一直不明白为什么要找个连英文都不会说的韩国男主╮(╯_╰)╭            
(2星)	 都什么年代了，还有同居不同床的情节。。。就算是韩国人来演，也是乡村爱情sb片~~~            
(1星)	 看到第八集，受不了这种反复纠结了……            
(2星)	 看到第24集实在看不下去了。第1集还有些亮点。一句话：假、大、空。过时的韩剧模式，践踏了我的眼睛。            
(4星)	 一星给帅帅的男主角，你要不要长这么帅啊，漫画里出来的一样；一星给孙艺洲，真高兴在《爱情公寓》以外的剧里看到他；一星给姐弟恋，我是真想也有这个勇气；再一星给张俪，这个美女有发展。            
(NA)	 演戲已經爛到非得用旁白來表達意思麼            
(3星)	 看看乐了就算了，真有人做梦么？            
(NA)	 结尾总是大满贯啊，大团圆啊，大彻大悟的感化啊，狗血的不敢看。            
(2星)	 里面几个妈麻烦制造者型，几个爸明义理解型，强烈谴责编剧作者啊！长长的35集，用不用搞得老奶奶的裹脚布似的又臭又长啊            
(4星)	 好吧。我爸爸一边看电视剧一边觉得钱多多活脱脱就在他眼前，那就是本人我！他看得深有感触、我看觉得狗血而不真实。哪里会有许飞啊、小草莓啊这样的迷恋剩女呢。都是在做梦吧！到我这一步，已经只剩下自恋可以有了！            
(2星)	 除了内个谁 就是嘴巴有一个角总是翘起那个难看的让人不舒服之外 都挺养眼的 特别是李小冉 短发比长发吉祥多了 奥 还有叶明申那个前妻            
(2星)	 看开头就不想看了， 为什么要弄一个棒子来演 Cao            
(2星)	None
(3星)	 好几年前看的书~~~居然男主找了个韩国人，好怪~！不过看习惯了觉得还成。。。喜欢李小冉~~~真是小白领+姐弟恋圣经~！            
(3星)	 制作还是不够精细~很多硬伤~连我这个粗枝大叶的人都能发现很明显的逻辑性错误~~不过剧情还算可以follow~还有就是一对比才知道~中国男人真的没有棒子男的那个范儿啊~气质啊气质~一大半充着男主角去的~表拍我~            
(4星)	 好看，喜欢高宝宝和黄小蕾            
