http://movie.douban.com/subject/2153592/	欲望都市  第五季 Sex and the City Season 5
(5星)	 喜欢Carrie的新发型            
(4星)	 这季稍显无神无气。SJP生孩子去了，只有八集            
(5星)	 口语，我就拿它练了！！            
(NA)	 导演，不要脸，拿这种片子凑数            
(5星)	 最喜欢的一季～            
(4星)	 女校日子裏就靠這個消磨了            
(NA)	 女人，和一座城市的恋爱。            
(4星)	 这个season的海报最好看但是剧集最敷衍            
(NA)	 这季的海报特别的美.            
(5星)	 美剧 Sex the and City HBO 电视剧 美国             
(5星)	 经典            
(4星)	 除了太短，剧本质量开始下降            
(5星)	 都不肯settle down的女人们~            
(5星)	 第五季            
(4星)	 Settle for butterflies.            
(3星)	 没有男人 只有温情             
(4星)	 facts i would definitely teach my children            
(3星)	 第5季怎么这么短。            
(5星)	 终于完成了..我也长大了..            
(4星)	 上映日期: 2002-07-21囧 我2008年底才看的            
(4星)	 Sarah Jessica Parker             
(NA)	 我爱Samantha, 虽然不够美丽，却十分自信和有魅力，她是我想成为的，Miranda比较符合我的情况，可我是要自卑许多。Carrie小女人啊，大家最爱啊，Charlotte，虽然有一切优点，但我不感冒。            
(5星)	 大一．            
(5星)	 Favourite            
(5星)	 比第四季还好。四个人都开始成长了。            
(5星)	 爱上Carrie            
(5星)	 我喜欢死了            
(NA)	 我真的只是为了看衣服才去的，我对那个马脸女猪脚已经受够了！！！太作了，不过衣服真好看.........而且miranda很可爱~~            
(5星)	 她们不是刚上大学的不知天高地厚的女青年，她们是为自己而活的职业女性，在高级餐厅谈论性爱，在酒吧和陌生男子可以ONS的女人，换作是你，你会让她们单纯么?             
(4星)	 特别喜欢第三集            
(NA)	 渐渐的看几句字幕再自己听几句。            
(4星)	 小打小闹的一季            
(3星)	 喜欢这季的造型，Ch和那个秃头的剧情也挺好玩的。            
(5星)	 我很喜欢矮冬瓜的光头HARRY啊。等他出场好久了。QUTE            
(5星)	 由于moon river那集太美好让我一直没有看这季的愿望&gt;&lt;于是躺在床上闲得无聊就这么看完了！马脸姐之前那张封面直接让我穿越到M的SEX！！！！蛮无聊的一季啊！！！Sasa跟Richard就那么分手了蛮可惜。不过要是一直在一起两个人得累死。最登对未必最搭&gt;&lt;            
(5星)	 真短            
(NA)	 只有8集是不对的            
(3星)	 非常一般。            
(4星)	 这一季战线拖得好长啊~~            
(4星)	 超喜欢最后一集，Carrie发飙了！well done!            
(5星)	 最后一次哭的时候都出鼻血了。很爱。这个结局都可以不看第六季了            
(5星)	 why gambling?            
(5星)	 温情很多。更像在讲故事。感情和想法的脉络也更加清晰。Smantha对Richard的真心，Amanda的母性，Scharlotte的秃头多毛有趣犹太男哈利之真爱降临，Carrie在兜兜转转中也有所收获。Burger有趣啊，Mr.BIG也没有前几季中那么混蛋。            
(5星)	 改变我人生的四个女人            
(4星)	 一个到尾声的过渡吧，C剪了短发，要开始新的生活了。            
(3星)	 不喜欢这集的CARRIE，难道是缺男人的原因么。。            
(5星)	 快成我的心灵鸡汤了。真的好多都很有感触。也学到了好多。            
(4星)	 我最爱萨曼莎的洒脱            
(5星)	 当看到samantha 跟理查分手，我更爱她了。。女人的典范！！            
(4星)	 这季是来过度的乜            
(3星)	 只有8集，有点陷入了平庸，Carrie变得有点不可理喻            
(4星)	 人不可貌相,野兽也可以很sexy            
(NA)	 四五季印象都不深            
(5星)	 越到后面越好看。原来figo也这么认为~欣慰~            
(5星)	 真是没话说了 看了好多遍还是最好看             
(3星)	 编剧换人了吗？它究竟在想什么？这季是全面温情大撤退吗？            
(5星)	 时尚的女人们            
(4星)	 eventually, after all those shallow thoughts in the previous seasons, season 5 getting better.             
(4星)	 太短了。C开始追寻产生爱的原因。 也许我们会爱上从来没有喜欢过的类型，也许这就是爱的化学反应。            
(5星)	 爱爱爱            
(NA)	 可是我最喜欢这一季            
(4星)	 “如果相隔多年，再度与汝相逢，如何问候？以沉默以眼泪。”不不不，以倾诉以微笑            
(5星)	 纽约城市形象宣传片…            
(3星)	 这季的造型特漂亮，剧情就不太行了。            
(4星)	 这一季怎么特别短，只有8集。。。             
(5星)	 太短了。。。            
(4星)	 好看又窝心            
