http://movie.douban.com/subject/6127365/	单身毒妈  第七季 Weeds Season 7
(4星)	 seriously?!!确定这个是剧终不是季终？！不能接受！这个剧七季andy和nancy都没有滚一次被单！好歹上一次床再被爆头好嘛！            
(4星)	 模棱两可的结局略显无力，枪声过后，希望一个新的开始。            
(4星)	 短促            
(5星)	 狗改不了吃屎啊。小儿子有继承大统的潜力，还好是儿子，要女儿估计都站街了            
(5星)	 整个现在变成了流氓剧……一句台词里有三个f*ck！            
(4星)	 这个结尾就是为了结束而结束的？            
(4星)	 最后一集也太仓促了吧！！！            
(3星)	 这季怎么那么乱            
(NA)	 主创把毒妈编成了一个只想着贩毒和犯罪，谁对自己有利就让谁上，对谁都没什么真感情，没什么责任感的，没什么人性光辉的角色。还是Breaking Bad里的毒爸完胜。这剧除了第一季，其他都不咋样了。            
(4星)	 真心讨厌Nancy 一直不在状况！！！真替她着急！！！            
(4星)	 又看完了，T.T  最后那一枪就是为了再吊人一年胃口啊，太坏了！            
(4星)	 越看越没意思            
(2星)	 越来越糟了            
(3星)	 无风无浪无惊无喜无重点无爆点的一季……            
(4星)	 这就大结局了 ？！            
(3星)	 不行相信这是最终季！！！神马结局啊！！！            
(3星)	 毒妈你打了太多的Botox，这一季里前面好多集表情完全丧失啊！Season Finale是打算加入Entourage行列竞争最蹩脚结局啊！            
(5星)	 不知道还有第八季没，可以就此结束了吧~！！            
(4星)	 整体比较凌乱，但是中间好多致敬的意味。Doug是我最喜欢的角色，老妈肉毒素真是打多了，何必呢。一家神经病，最后一枪太吊胃口了，据说有第八季，挺好~            
(4星)	 一口气看完了7季.里面很多桥段很有趣.不得不说女主得到了上帝的眷顾.脸蛋身材一级棒,总能遇到多金帅哥不说,卖大麻也能卖的风声水起.            
(NA)	 辣妈开始不美了。。。但是我还是爱着Andy！            
(4星)	 已有下降之趋势，但始终无法割舍。            
(4星)	 期待更新            
(5星)	 我还苦兮兮的每天等第十四集&gt;_&lt;居然这季又end了！            
(5星)	 我的下巴没有一次托住过            
(4星)	 Shane真冷血……            
(5星)	 册那，嗲            
(4星)	 结局好无语啊。。。            
(4星)	 下一季还怎么演啊。            
(5星)	 老子要第八季啊！Nancy怎么能挂掉！            
(4星)	 毒妈老了，质量严重滑坡的一季。            
(4星)	 So It&#39;s the end？            
(5星)	 最后一季么 T T            
(5星)	 第八季！            
(5星)	 终于追完了 坐等第八季            
(3星)	 nancy你个自私鬼！            
(4星)	 哎 ···如果这就是结局            
(3星)	 这一季真一般。。            
(5星)	 全剧终了吧  今天一天看完一季 睡觉 4个小时后起床去玩 ＝ ＝            
(4星)	 my shane!!!!! you can&#39;t betray nancy!!!            
(3星)	 结局太仓促，希望Nancy没有死            
(NA)	 MUA MUA MUA TO THEM ALL            
(3星)	 结局太草率，而且这季没亮点            
(4星)	 这一季没有之前给力  以前的那些配角演的多么好啊  这一季配角反而莫名其妙  但是第八集超级好看的！第118季            
(4星)	 please make a season 8. dont fucking end like this            
(4星)	 明年给个完美大结局吧            
(NA)	 这个美艳的主妇要落幕了么？            
(3星)	 怀念前几季大爆点的季终~~shane的闷锤啥的~~~这季弱掉了~~~            
(1星)	 这一季真是烂的可以            
(NA)	 令人失望，最后一集太仓促，唯有结尾的一枪能引起些许期待。            
(3星)	 这就结了吧，，，，，            
(4星)	 莫名其妙就剧终了            
(4星)	 说shane继承了聪明而salis继承了相貌 前者赞同至于salis那美国村哥的气质真心欣赏不来而且真心有够蠢的            
(4星)	 …………就这么大结局了？            
(4星)	 又来这一套，Nancy到底死了没有？如果下一季没有被showtime续的话，这就算是最后一季了，感谢七年的陪伴。            
(3星)	 这季火爆度差点            
(3星)	 说不看了不看了还是又看了一季⋯⋯            
(5星)	 NANCY真漂亮真漂亮真漂亮真漂亮真漂亮            
(4星)	 不知是不够给力了还是我疲倦了，觉得这季没以前好了。最后一幕还是很吸引人啊。。            
(4星)	 last season?            
(NA)	 这个剧真是让我觉得：长得美又不介意走捷径的女人是打不败的，你可以毁灭她，但就是打不败她 lol            
