http://movie.douban.com/subject/1456579/	海绵宝宝 SpongeBob SquarePants
(5星)	 我准备好了！我准备好了！！我准备好了！！！            
(5星)	 雖然我看的是央視播的配音版，不過真的很贊XD.我愛海綿寶寶！            
(5星)	 只恨没有十颗星让我评！            
(5星)	 我承认曾经对海绵宝宝的造型有偏见，在看过几集之后，俺义无反顾地相信海绵宝宝绝对是比傻逼羊牛逼数百倍的东东。            
(5星)	 是誰住在深海的大鳳梨里。            
(NA)	 我~~准备好啦~~你~~~准备好了吗~~~            
(NA)	 洗碗擦儿方裤衩儿            
(5星)	 你知道你欠我一个海绵宝宝的气球么？            
(5星)	 海绵宝宝和松鼠宇航员，脑残海星，螃蟹老板，吹笛墨鱼在比基尼市一同渡过的美好时光..船长、船长，独眼的船长阿。            
(5星)	 和我一样的神经质            
(5星)	 我爱海绵宝宝            
(5星)	 是谁住在海底的大菠萝里~海绵宝宝！            
(NA)	 侄女被我骗的终于不看西游记和天线宝宝了……            
(5星)	 最爱的动画片啊~~            
(5星)	 其实中文配音比原版更有味            
(5星)	 章鱼哥~~            
(5星)	 ........太好玩了^            
(3星)	 lol            
(5星)	 addy            
(3星)	 太吵            
(5星)	 就是爱看！            
(5星)	 http://v.youku.com/v_show/id_XMTQ4NTkxOTY=.html这集太有爱了~~~~            
(5星)	 看到小海绵就会很开心！            
(NA)	 这个这么血腥恐怖……能给小孩子看么……            
(5星)	 從沒停止重複。愛海綿寶寶的善良以及它周圍的一切。            
(5星)	 刚刚第一次看，太可爱了            
(5星)	 大爱。            
(3星)	 因为某人。。我拥有好多关于海绵宝宝的故事            
(4星)	 啊哈哈哈哈哈哈哈，每次不开心，看到这货就乐不可支~            
(5星)	 记得大三那年有一阵子看着魔了。。。。这三个2货。。。            
(4星)	 备忘Mark。            
(NA)	 配音太强大了 ””\\(￣ー￣) (￣ー￣)//””[鼓掌]  海绵宝宝每天都好嗨呀            
(5星)	 为什麽我这么喜欢国语版配音 0 0            
(5星)	 搞基？            
(4星)	 每天两集 弱智身心            
(4星)	 还是很可爱的~~~我也想吃蟹黄堡啊~            
(4星)	 每集都很充实            
(5星)	 超级13点无厘头            
(4星)	 你准备好了吗，章鱼哥~            
(5星)	 真诚，友好，大条，爱朋友，继鼹鼠的故事之后，又一部好动画。            
(NA)	 -。-               
(5星)	 最邪的动画片儿~            
(5星)	 我爱上《海绵宝宝》了.....            
(4星)	 汉语配音的相当不错。有那个童真的味道。            
