http://movie.douban.com/subject/2342557/	红苹果乐园
(1星)	 我纯粹是为了打那颗一星.....            
(2星)	 每个人都有不堪回首的往事            
(1星)	 我靠我看过的囧剧真够多啊            
(1星)	 群众演员们对着这么一群人假装发花痴是多么不容易的事儿啊             
(1星)	 剧情简介 · · · · · · 　　一个充满神秘色彩、令人向往的红苹果之家  hahhhhh            
(2星)	 纯装逼耍帅犯傻缺的电视剧，加一星给黄圣依当初的惊艳~~            
(2星)	 很无聊啦，但是我确实看过...5个弱智+1个丑女...            
(1星)	 丑死人的女主角。            
(2星)	 完全模仿F4……当年……还算成功- -！！就是有点囧啊            
(2星)	 印象最深的是：萧晴腿那么粗也敢跳芭蕾？            
(1星)	 再创国剧新低            
(1星)	 特别时尚            
(1星)	 当年我是当成惊悚片在看的~            
(2星)	 在我还是个中二少年的时候 看了第一集，无语凝咽~~这种片子拍给谁看的啊？╮(￣▽￣&#34;)╭            
(NA)	 当年我身边喜欢这个的人好多 我看了一集就看不下去 后来终于明白错的不是我是世界！！！！            
(1星)	 一群SB            
(2星)	 好可怕            
(1星)	 同是年幼无知犯的错误            
(3星)	 宽容一下吧，国产剧真的有点粗糙演员也不怎么有演技。但是主题歌很好听。            
(NA)	 这个太恶心了。山寨。            
(2星)	 好囧的剧。那时的黄圣依很亮眼啊~            
(1星)	 看在回忆的份上，还是给一颗星吧            
(3星)	 当时还很迷的说~            
(1星)	 哎哎哎            
(NA)	 ！！！            
(3星)	 上海的            
(1星)	 ……            
(3星)	 据说COPY的？            
(1星)	 那时候一看男主甩自己的长毛就坚信自己一直短发look是明智的选择好嘛！！！            
(1星)	 ....................            
(1星)	 我擦，现在想起这部电视剧感觉是如此的山寨和脑残啊，估计就是凭着这部认识了黄圣依，敢问这个F5组合都跑哪去了？你们混得还好么？            
(4星)	 这个女的长得像郑爽，但是要丑些。            
(1星)	 一星是因为我哥说女主角像我，妈的，我摔！            
(3星)	 = =            
(5星)	 啊哈哈哈哈哈哈哈哈雪柳丝内个女的            
(3星)	 初中时候同学们一起看的电视剧。            
(NA)	 好多年前看的，读小学？真久远了~            
(3星)	 漂亮宝贝萧晴            
(NA)	 啊！瞎了我的狗眼！            
(1星)	 呕吐            
(2星)	 過。            
(2星)	 女主长的好像我初中同学            
(NA)	 我就是这么无聊的标电视剧了 = =            
(1星)	 神马玩意儿。。            
(1星)	 能再烂一点吗            
(NA)	 我讨厌内个初中同学TOT.你推荐我看了好多好多的囧剧...这个剧的演员们真的不知道啥叫演戏啊TOT......            
(NA)	 真是他媽的            
(1星)	 雷坏了            
(2星)	 当年我还是在这堆挫男中苦苦选出个能入眼的            
(2星)	 张继是我的梦魇            
(5星)	 真心喜欢            
(2星)	 当时为毛会去看啊我想不通= =            
(3星)	 硫酸雨让我记起这档子事 啊 我果然是个自虐的人            
(NA)	 补遗             
(2星)	 其实真的很烂.            
(1星)	 那时候都无法理解为什么有这么傻的电视剧。最雷的就是他们觉得自己很帅。五雷轰顶很适合他们五个。            
(1星)	 太油菜了啊            
(3星)	 现在看来实在是有够粗糙造作的 真不知原先是如何和老妈两人津津有味地看下来的。            
(1星)	 这是传说中的偶像剧?            
(2星)	 恶俗的偶像剧。            
(3星)	 初中看的            
(1星)	 想不到当年我也看这种超级垃圾的电视剧            
(1星)	 汗            
(NA)	 我姐一定要拉着我看。。看我小时候多聪明。。从来看不上这些脑残剧。。【够了】            
(1星)	 多傻逼呀，我曾经看过一集……            
(1星)	 SB            
(2星)	 演技都好假 看看黄圣依的眼睛            
(1星)	 我能打0星么？            
(2星)	 囧            
(4星)	 初中那懵懂的岁月            
(1星)	 卧槽想笑了啊！            
(3星)	 虽然觉得很烂但当时还是不厌其烦的有播必看            
(NA)	 我看了这部片子好久！！！！！！！            
