http://movie.douban.com/subject/2363854/	卫斯理传奇
(4星)	 小学时候在凤凰卫视看的            
(4星)	 个人觉得是卫斯理最好看的一个版本            
(4星)	 最喜欢的一个版本。。。            
(4星)	 影子和镜屋都很可怕。。。            
(5星)	 童年 那时候觉得超好看的一部卫斯理            
(5星)	 这个版本非常赞 陶大宇演的很出色 而且故事选的也好 记得下课铃还没响就开始焦急的盼望着回家 就为了每天一集 折磨……里面的故事吓的我当时硬是不敢放学一个人上下楼梯 哈哈哈哈            
(4星)	 童年啊！            
(4星)	 童年的尖叫系列             
(5星)	 郑惠玉和陶大宇的绝配啊，我的卫斯理情结~            
(4星)	 “事情不是你想象那样的。”“我警告你不要乱来哦。”“发生这种事情大家都不想的。”重看一遍，才发现之所以不觉得突兀是因为演员讲话的调调都是一致的。            
(5星)	 好看            
(5星)	 启蒙啊            
(5星)	 很吓人……            
(5星)	 凤凰卫视~/            
(4星)	 终于看完了，从06年开始。            
(4星)	 旧居残像            
(5星)	 这是我记忆中曾经最喜欢的悬疑片~            
(4星)	 童年的回忆啊~            
(4星)	 勾起高中的记忆，不过拍得是不错虽然后面有点乱，虎头蛇尾            
(2星)	
(4星)	 还有这片儿。。。当年凤凰卫视都放了些什么片儿啊！还有什么寻找土拨鼠的隐形人。。。马小玲什么的。。。            
(4星)	 小时候很爱看..后来问别人怎么都没人知道...囧            
(NA)	 =3=小时候凤凰卫视播过断断续续看的，今儿补完了一下。倪匡先生携卫斯理系列毒害了我的读无可读的童年，让我对“科幻”的认识停留在“幻想”的阶段，很多年之后初读《三体》还有障碍。            
(5星)	 卫斯理和白素！美好的小学时代！！            
(4星)	 小时候的印象了，觉得还不错，但是不敢再看一遍了            
(4星)	 現在看估計看不下去了 小學的時候超迷 每天不看完不肯沖涼睡覺 被媽咪狂催            
(5星)	 主题曲也不错            
(4星)	 比其他版本靠谱~~~            
(5星)	 只记得 当年 迷得我神魂颠倒            
(3星)	 陶大宇挺适合演卫斯理，但这部的卫斯理根本就是丧门星￢_￢            
(4星)	 好看！~            
(3星)	 凤凰卫视，陶大宇版。            
(4星)	 有几个故事很好的            
(NA)	 小时侯好想看            
(4星)	 好看！！！跟罗嘉良那版都很好看！！！            
(4星)	 算是我看过的电视剧版本中较好的了            
(3星)	 初中都献给了卫斯理.            
(3星)	 大宇哥你的头发。。。            
(4星)	 周初明周初明周初明喜欢喜欢喜欢（不知道是不是因为成长了，觉得最不可信的感情就是卫斯理和白素这对，寒......）            
(4星)	 只要是卫斯理的电视剧不管是什么都很精彩            
(4星)	 新加坡版本有点儿不适应，不过卫斯理的故事我都支持            
(5星)	 小时候用卫星电视看的.....            
(5星)	 小学时候每天放学都冲回家看的电视剧            
(5星)	 小时候觉得超好看啊            
(5星)	 小时候看了吓得不敢一个人洗澡……            
(5星)	 小时候在凤凰台看了不少好看的电视剧。            
(5星)	 喜欢白素            
(4星)	 陶大宇跟刑侦没啥区别，不喜欢疯疯癫癫的林湘萍，李南星帅爆了            
(5星)	 我觉得这部连续剧是目前为止唯一一部把背景放在现代的剧集，而且故事情节安排得当、引人入胜，虽然改动较大，但是把好几部小说的精彩之处都融合起来。喜欢陶大宇、郑惠玉的卫斯理和白素            
(NA)	 坑爹的是我看过····谁让电视台老爱在吃饭的黄金时段播出呢~            
(5星)	 卡司蛮喜欢的            
(3星)	 童年的回忆，陶大宇还是很不错的            
(3星)	 这俩人就是我心目中的卫斯理和白素啊。            
(NA)	 又是凤凰卫视，很吓人。后来美术老师还讲了一节课这个小说，很流行            
(5星)	 那时还小，会被《大厦》和《影子》吓到。喜欢郑惠玉扮演的白素。后来才知道这是新加坡拍的。李南星那么眼熟，更小的时候看过他演的《霹雳红唇》，就觉得他像我表哥。想想小时候电视上放了不少新加坡剧嘛            
(5星)	 卫斯理就是我进入科幻世界的引导者~~            
(NA)	 不够精细            
(5星)	 最好看的卫斯理剧，郑惠玉的气质无可比拟，陶大宇一演刑侦剧就型到爆&gt;&lt;            
(4星)	 相当不错的版本，白素长得很干净            
(4星)	 再次重温 已经没有当时 又想看又害怕的感觉了            
(4星)	 小时候被《大厦》吓得半死，每次坐电梯都会担心。            
(4星)	 卫斯理系列最好的银幕演绎 故事忠于原著 而且有我最喜欢的《大厦》            
(5星)	 这版最好看            
(5星)	 俺的初二情结啊            
(5星)	 正在继续看            
(4星)	 值得一看  是卫斯理题材里拍得比较出彩的            
(5星)	 我记得那时很小的时候看的..还是租碟子看的..我还记得碟子的第一个故事叫..影子...读小学老师总和我们讲卫斯理的故事..其实蛮恐怖的..像什么鹦鹉螺..蓝血人什么的..            
(5星)	 以前看過，現在還想重溫            
(5星)	 终于在过年的时候一口气看完30集，感觉依旧。关于爱情，关于智慧，关于未知的一切……想象力是个美好的东西，喜欢里面的女主角白素的扮演者郑惠玉，还有陶大宇。我心中的完美女人和男人。            
(2星)	 不喜欢新加坡片            
(4星)	 中国科幻就应该有自己的文化背景            
(4星)	 小时候看凤凰卫视            
(4星)	 记忆最深刻的是那个不饿不冷的停滞在某一时刻的第四空间~            
(3星)	 也是 小时候看的 凤凰卫视            
(4星)	 竟然看过            
(4星)	 刚带劲了            
(5星)	 喜欢这类型的            
(5星)	 这剧非常不错....至少在我来说,是所有卫斯理里最接近原著的一个....我比较喜欢...            
(5星)	 原来是98年的了啊,我还是零几年看的,蛮好看的.喜欢李南星.话说新加坡演员的演技都很不错的,郑惠玉还是那么酷.            
(NA)	 最好看的卫斯理            
(5星)	 我最爱的白素啊~~~            
(4星)	 真是觉得好恐怖、            
(4星)	 虽然有些感觉不完整，被切了一样，但后面还是越来越吸引，就是连续性、质感上、还有故事的整体驾驭上做的不如一些优质港剧，不过有陶大宇，是我看它的一大理由。            
(4星)	 細個果陣好中意睇，最記得《影子》超恐怖~            
(5星)	 小时候看过诶            
(NA)	 卫斯理，曾经好中意，中意倪匡写的小说，所以都会看卫斯理故事拍成的电影，陶大宇这部，有些地方不遵从原著，觉得有点别扭            
(5星)	 很不错            
(4星)	 新加坡就这么几个人吗            
(5星)	 很经典，每次都有新的历险~            
(5星)	 在这里我认识卫斯理.很回忆~!!            
(NA)	 小时候在凤凰卫视看过，那个时候可是风靡整个小学，现在挖出来再看一遍，印象中罗嘉良那部没这部好看            
(3星)	 因为不是很喜欢陶大宇和郑惠玉，故事的选择和改编也不得我心意。。。            
(5星)	 小时候凤凰卫视的回忆            
(4星)	 个人认为拍的最为成功的卫斯理电视剧  小惊悚   就是女主角太丑了             
(5星)	 非常好看！！小时侯看的了现在找不到了似乎！            
(3星)	 暂时放弃            
(4星)	 目前最好的 卫斯理~版本白素很酷！            
(NA)	 开启我的卫斯理魂～            
(NA)	 我记的我追了良久就不想看了= =            
(5星)	 记得当时特喜欢他的无敌先锋~后来看这个的时候特别的有感觉~            
