http://movie.douban.com/subject/2279912/	美味情缘
(5星)	 值得一提，本來林峯的角色是陳奕迅演的... 這個三角戀，可想而知會有多精彩！檔期問題？！我才不信呢！肯定是怕尷尬吧！！            
(5星)	 就是爱这种类型的···· 好吃外加开心型            
(5星)	 很喜欢的一部剧，温情淳朴，还有美食美女——当然，我说的是陈慧珊。            
(5星)	 我记得是我2001高三那年十一假日央视一套放的，我和同学都觉得好看！陈慧珊表演很棒。            
(4星)	 第一次知道林峰，挖，真的很靓仔哦~~杨千桦也很靓呢，好看好看~~~||08年7月，当暑假片又回味了一遍，觉得很温馨，亲情让人感动，爱情让人心动，很励志的片子，台词也很有笑点。吴启华真的挺帅的，在这部剧里。o(∩_∩)o...            
(4星)	 我就看过那么一点点港剧            
(3星)	 那时一直念叨的就是林峰。瞬间觉得挺喜欢的。            
(5星)	 以前超级喜欢吴启华有他的片我都会看！！            
(5星)	 厨师控~~~~~~            
(4星)	 看过很久了。            
(5星)	 溫暖            
(5星)	 蓝天白云海滩美食，里面的人都好可爱，至今都觉得林峰与杨千桦是绝配。            
(5星)	 就是爱看做菜的。            
(3星)	 开始添加TVB...            
(3星)	 如今我可以說，我看過了。。            
(4星)	 千fa            
(5星)	 哈哈 千桦同少爷            
(4星)	 那时的他们年轻可爱            
(4星)	 美味情缘            
(3星)	 有我fafa            
(3星)	 欢喜的港剧。            
(5星)	 小學時全班必追之戯,好懷舊.            
(5星)	 很好看，喜欢上陈慧珊。居然还有林峰和杨千嬅。            
(5星)	 夏天了            
(4星)	 把握当下            
(3星)	 林峰的小试牛刀，不，小试虾头            
(4星)	 又一部關於美食的。。。林峰的角色本來是eason演，嗯。。。想象一下，裏面有阿徐和fa耶~            
(5星)	 吴同学简直是俺的梦中情人。。            
(NA)	 所谓童年...=w=            
(4星)	 哎呀，这种港剧最合我口味            
(NA)	 可以说是灰常好的浪漫小品啊，斯文又有点小拽的吴启华和高挑气质女陈慧珊之间的美食纠葛……香港拍这样的片子真是驾轻就熟，非典时期校电视台放的。            
(NA)	 小时最爱            
(4星)	 我就记得鲜怎么做了            
(3星)	 一个好的厨师，不仅是要做出美味的菜肴，还要传递出自身的感情。PS：后半部有点牵强，有点硬扯。            
(4星)	 最喜欢看没有坏人的电视了            
(4星)	 哎，2001年的林峰多可爱多帅气多自然。。尼玛现在越来越做作，脸越来越怪，感觉越来越娘炮。。            
(5星)	 人名都是好吃的            
(5星)	 原來美味情緣只需一個吻            
(4星)	 記得林峰~叫蝦頭            
(4星)	 还是更喜欢以前看的港剧 清清爽爽 简简单单 那时真是爱这片子啊            
(NA)	 妙手后吴启华就走稳这路线了            
(4星)	 马友 苏眉 花枝 当年觉得这三个名字神奇到不行            
(4星)	 我喜欢男女主角！            
(NA)	 滕丽名！            
(4星)	 才知道 原来虾头一角本应由陈胖子担当。            
(4星)	 我爸唯一称赞过的港剧啊            
(4星)	 好中意陈慧珊哇~~其实这里面马德钟也很帅~            
(5星)	 好喜欢，当年还特意买了碟来看第N遍。            
(3星)	 就是为了看那惊鸿几瞥的海鲜...解馋用的.            
(3星)	 吴启华的演技不是一般个雷人            
(4星)	 当年青涩的千嬅啊            
(4星)	 陈慧珊的fans。。。            
(5星)	 那个时代的松糕鞋！            
(5星)	 刚出道的林峰太帅啦。。。。            
(4星)	 CCTV国庆放的,FLORA时期            
(4星)	 看得好饿            
(4星)	 那些人名起得真应景啊            
(5星)	 如果情感糖果一般吸引。这部片里被马德钟迷到了！真是超级好男人啊～～            
(4星)	 陈慧珊的戏都不难看 少爷那时候真的不太出彩            
(NA)	 林峰刚出道，我觉得很丑            
(5星)	 温情、谐趣            
(5星)	 那年夏天，在千桦的歌声中~遇见那个黑炭头            
(4星)	 难得看到这样阳光温馨的片子，林峰很可爱...            
(4星)	 千FA在里面很可爱            
(NA)	 第一次看到林峰已经7年了.从当初到现在都是那么帅.当然里面的美味真的很诱人.从中学会永不放弃.            
(3星)	 为了林峰重温～            
(4星)	 哭的            
(4星)	 滕丽名和马德钟这对COUPLE很有爱；当年，林峯还么有削骨，还是个活泼健康的仔。。。。            
(NA)	 【2001-06-04】            
(4星)	 cctv也演过的吧！对不对！花枝啊~~~ 我貌似有句什么 把你方圆多少米内的女人都打跑的 台词就是在这部里面学的啊！            
(4星)	 记得这部是在朝廷台看的。很喜欢杨千嬅和林峰这对~很轻松            
(5星)	 篇幅不长，情节也不狗血，超合我意~何况还有吴启华！！            
(4星)	 那么多年了我还记得情节呢。。。            
(3星)	 人名都是能吃的oqo            
(5星)	 喜欢这部电视剧的感觉。   周宝甜，那时候你和虾头是多么的衬！看不出造作，精的冒灵气。以后再相遇便成了不折不扣的姐弟恋。            
(5星)	 3日飙完。            
(5星)	 最爱的剧之一！            
(4星)	 南丫岛.            
(NA)	 杨千嬅那时候真是青涩可爱啊，美食的部分有趣。            
(4星)	 虾头和宝甜超可爱.~~            
(3星)	 记忆中的虾头和千FA。            
(3星)	 印象不深            
(NA)	 小学必追港剧            
(3星)	 还是小学2,3年级的时候就看的吧。真怀念            
(3星)	 为了陈慧珊和吴启华...            
(3星)	 2011年2月24日0:50:10            
(4星)	 小时候没看完的 现在终于看完了 好感慨啊            
(3星)	 那时候看陈慧珊的电视剧真多啊！吴启华万年都那个样子。马德钟从来都不喜欢。这里面有滕丽名和林峰？林峰是现在的少爷么？当年还只配做绿叶啊！            
(4星)	 黑虾头            
(3星)	 很小时候看的，还记得那道鱼和羊加在一起是“鲜”的菜！            
(5星)	 所谓港女。            
(3星)	 喜欢男3和女3，不过也有人说林峰是男1·            
(5星)	 印象中CCAV1播的第一部TVB，很喜欢            
(4星)	 好像央视也播过             
(5星)	 太多爱的人~阳光剧            
(4星)	 我好爱！            
(4星)	 当时迷杨千嬅，虽不是主演，依稀记得片尾曲是她唱的。            
(2星)	 评论同我的打分：较差。真不愧是压箱底的作品。            
(4星)	 我曾经好喜欢这部片。：）            
(4星)	 杨千嬅的歌儿很好听            
(4星)	 自此一直很萌人叫Jason            
(4星)	 青春无敌的林峰啊。            
(4星)	 林峰还是少年青涩时呢，杨千嬅也很少女啊，剧中的人的名字都是能吃的东西……            
(5星)	 温馨            
(4星)	 第一次在cctv1看到港剧            
(4星)	 哪年过年看的，蛮喜欢joyce这个名字的，主题曲也好听。            
(NA)	 生命里脚步悠闲。            
(NA)	 当年超级喜欢            
(5星)	 温暖的记忆            
(NA)	 当年看了这部电视剧就喜欢吴启华了，更爱陈慧珊了。重温了一遍，却发现马友很墨迹....            
(4星)	 江上游  那时的林峰真是青涩的好可爱吖！            
(4星)	 因为林峰            
(4星)	 喜欢~~~~~~~~            
(4星)	 不记得说什么了            
(5星)	 马友~            
(3星)	 手欠啊手欠  大半夜看得我饿死了！！！            
(5星)	 初中时一集一集地听下来，现在补上画面        爱因为回忆            
(5星)	 看过好多遍的剧,喜欢..........            
(4星)	 看过最多遍的港剧，喜欢杨千嬅在里面的样子            
(5星)	 看过好多遍的。。。上汤龙虾、眉开眼笑。。。好多菜名我都还记得            
(5星)	 很温暖，喜欢杨千桦那一对！超有爱！初中回忆            
(4星)	 酷酷的吴启华，温柔的陈慧珊，青春活泼的林峰，还是怀念那时候的TVBBTW，苏眉的悲哀在于当她转身原来爱情早就不在原地            
(4星)	 就记得 鲜 是味道是最绝的搭配了```            
(4星)	 很喜欢陈慧姗~            
(5星)	 陈慧珊+吴启华+杨千嬅+杨千嬅的歌。            
(5星)	 最爱看虾头和Candy在一起 千嬅为数不多的剧 也是最后一次在港剧中看得eason嫂身影             
(NA)	 很表看那个阿咪，觉得很超讨厌！            
(3星)	 美味情缘            
(3星)	 没有蔡少芬的吴启华……我适应了好久……            
(3星)	 片尾很好听            
(4星)	 第一次见到林峰 好黑啊            
(5星)	 最喜欢的一部TVB，清新可人。当时的他们，都是那么新鲜美好啊。            
(4星)	 有空，记得常回岛上看            
(3星)	 那时的林峰真的好黑.            
(5星)	 很轻松，简单的生活            
(4星)	 很喜欢很喜欢……不过我觉得没有演完！            
(4星)	 林峰啊！            
(3星)	 初中时候看的。还行。林峰刚出道不久            
(4星)	 对这种美食类的有偏好            
(4星)	 林峰的第一部主角戏哟，还记得fa在里面是个一心想唱歌的妹纸            
(4星)	 那个时候的杨千嬅跟林峰真好看啊。            
(3星)	 好看 歌曲也好听 这部戏喜欢上了杨千嬅            
(5星)	 重温经典~            
(3星)	 印象最深是“眉开眼笑”。600大洋的苏眉的教训啊……            
(3星)	 这大概是吴启华最胖的一部戏吧            
(5星)	 没想到林峰的第一部电视剧 就演得这么好 fa真是人见人爱 阿徐的戏份太少了~            
(5星)	 超级好看的。            
(NA)	 这是我喜欢千嬅的开始。。。            
(5星)	 曾经在CCTV看了一集普通话版的，一直念念不忘，那时候还对粤语一窍不通。谁知道后来居然下了全套粤语版的来看，人生真是奇妙呀！            
(4星)	 还不错 看第一遍的时候还不知道杨千嬅是谁            
(4星)	 关于这部，真的有很多回忆。。。当时为了看这部片子逃学了~现在再看也没什么好看的·            
(4星)	 算个浪漫温情喜剧            
(3星)	 已经不记得情节了...安徽卫视放的...            
(5星)	 林峰特帅~~            
(3星)	 记得是在中央台看的            
(5星)	 吴启华            
(3星)	 这个还算不错的了            
(5星)	 FLORA在裡面叫做JOYCE..可見多重要..            
(4星)	 好看            
(4星)	 当时很喜欢看滴            
(4星)	 无敌可爱的虾头!            
(4星)	 很美好 很干净            
(NA)	 看得不全。            
(5星)	 很喜林峰和杨千嬅            
(3星)	 2001            
(NA)	 与海鲜美味相联的人情世故。姐姐推荐我看的。            
(4星)	 好难受好难受好难受            
(NA)	 也是很喜欢 看完天天都想去吃海鲜            
(5星)	 梦想的生活            
(4星)	 突然想起了阿Sue和她的暴食症            
(4星)	 吴启华、陈慧珊、林峰……满意的组合，都是我欣赏的TVB艺人。此剧超赞！            
(NA)	 亲情戏            
(5星)	 N年前看的一部电视剧，觉得还是挺不错的，比较有人情味            
(4星)	 好吃~            
(3星)	 貌似看过~            
(4星)	 林峰，杨千嬅这对太太太可爱拉            
(4星)	 杨千嬅那首歌很好听的，里面最喜欢她了            
(5星)	 高中还是初中看的 这种做菜的我一看就有食欲 是讲海鲜的吧            
(5星)	 有我们家FAFA哟~            
(5星)	 有些新鲜的角色定位和搭对，忧郁的吴启华和忧郁的滕丽名，如果他们在一起就好了            
(5星)	 第一次喜欢林峰的片子！！还有杨姑婆小姐。            
(NA)	 让我重温再重温吧！            
(NA)	 杨千嬅开始走红的年代            
(4星)	 陈慧珊 吴启华完美的搭档 初识林峰 杨千嬅真是好 歌为什么我就是爱听呢？            
(4星)	 马德钟好惨……            
(NA)	 爱情，是一点点积累而成……            
(4星)	 林峰好帅诶～            
(5星)	 非常喜欢！            
(NA)	 。            
(NA)	 认识峰的第一部电视剧……记得那时他脸好大            
(3星)	 初见老林的剧，虾头多阳光啊，踩着溜溜车在南丫岛~~            
(3星)	 也是经典了~那时黑的林峰，就如同白的古天乐~正太的莱昂纳多            
(3星)	 林峰那个时候多好啊，现在娘炮了            
(NA)	 以前看过，和老妈都超喜欢，昨天拿来重温，感觉香港还是那个时候好            
(3星)	 那年黑黑的林峰还没有变成虾饺脸            
(4星)	 【好無聊的開始馬克看過的TBB】矮油小蝦頭~            
(3星)	 TVB二线艺员            
(2星)	 追星时看的            
(5星)	 小时候看的港剧。比现在的港剧好看多了            
(3星)	 我竟然为了去南丫岛吃海鲜而看了一部粤语。。我真是太认真了。。。            
(4星)	 充满回忆的剧集            
(5星)	 10年之后总算把这部老片完整看完，对的时间，对的地点，对的人，就是命中注定            
(3星)	 当年的林峰和杨千嬅真嫩            
(4星)	 第一次看到林峰和杨千嬅的合作，剧中超搞笑。            
