http://movie.douban.com/subject/2357370/	一屋两家三姓人
(4星)	 神配的一对!            
(5星)	 棒~            
(4星)	 很好看咧..            
(NA)	 第三集的配乐居然用到surfing//咸丰年代            
(3星)	 还好            
(5星)	 温暖的剧集……            
(NA)	 以前超爱马德钟的。            
(3星)	 感觉好像还可以！            
(4星)	 都算是港剧启蒙系列            
(4星)	 好溫馨            
(3星)	 蛮温馨的~            
(NA)	 一屋两家三姓人            
(3星)	 温情！好想有个好似马德钟甘正既爸爸！            
(3星)	 【好無聊的開始馬克看過的TBB】            
(3星)	 很warm的一部家庭剧，回味经典。            
(NA)	 很溫馨，很溫馨。我好愛這一家子。            
(4星)	 温馨！宣萱跟马德钟好搭！整家人也好有爱！            
(4星)	 大大小小的演员都喜欢            
(5星)	 不错            
(4星)	 很温馨            
(4星)	 好多回忆好多爱啊！T^T            
(3星)	 一般般            
(4星)	 仁义礼智信~真的好喜欢家里一堆孩纸的感觉，吵吵闹闹又很温馨o(≧v≦)o            
(4星)	 萱~~~~            
(3星)	  家庭剧不好看            
(4星)	 温馨小品。喜欢宣萱，马德钟的角色可真好男人。            
(NA)	 寒假在家买碟看的。还行吧。主要是因为宣萱演的。            
(3星)	 其中不乏一些好的教育子女的观点！            
(3星)	 温馨是温馨  确实也有点无聊 为了宣萱追完的            
(3星)	 仁义礼智信真可爱            
(5星)	 重温了初中时的成长感动。            
(NA)	 很温馨的小品电视剧            
(2星)	 挺无聊            
(3星)	 身高最高CP又来了            
(NA)	 不错喔！很温馨            
(4星)	 好男人人人都爱，合家欢剧也忒省钱了。            
(4星)	 温亲片            
(3星)	 马德钟开始走上男主角的位了~            
(4星)	 马德钟的小男人            
(NA)	 挺温馨~            
(3星)	 然后突然发觉宣萱开始有点要走LISA姐路线了 不拍重戏 一年签一部的样子 留给新人更多空间的同时 自己也在不断的调整 和 马德钟再次合作 更是做了家长 还是个女强人 呵             
(NA)	 感动的呀 当年看的            
(3星)	 纯属看宣萱            
(3星)	 实在想不通 马德钟的姐姐和姐夫咋生了怎么大一堆孩子……            
(3星)	 看过没看全，萱迷，有机会还看            
(4星)	 宣萱 　主要是亲情吧            
(4星)	 因为两个主角才看的。。里面的小孩蛮可爱的            
(3星)	 男主自己为家庭付出但是为什么要强迫别人和他一样呢            
