http://movie.douban.com/subject/1395471/	实习医生格蕾 Grey's Anatomy
(2星)	 女主角真让人烦的要命。开始几集觉得还行，越看越觉得演技之烂简直令人心生厌恶，几个实习医生就她演得最糟糕，整个一装模作样矫揉造作，有的没的就一副DRAMA QUEEN表情。到后面多角XX恋的剧情更是看得人想吐，琼瑶大娘真是在全世界电视剧都有市场。            
(2星)	 完全看不来，除了YANG还让人喜欢以外，GREY这种又纠结又墨迹的性格也太太太缺乏一个女主角应有的光彩了吧！个么长的就更不用说了            
(5星)	 想要更混乱的男女关系么？来西雅图Grace医院吧！               
(3星)	 越拍越狗血的剧集之一，建议只看前三季            
(4星)	 看到S04筋疲力尽实在看不下去了。我还是中意插科打诨多过这种家长里短。谁要管你们这些长得又不是很好看的人最后到底和谁在一起啊……            
(NA)	 我听力和口语变好了！！            
(5星)	 ABC的套路，但是我很买账            
(4星)	 美国的琼瑶剧            
(4星)	 慢慢补美剧看吧……这片子我还以为很医务，结果很言情，我喜欢house多多了。这片子最棒的是它里面的音乐。            
(4星)	 讨厌格雷，其他人都喜欢~            
(3星)	 Grey&#39;s Anatomy是一本医学教科书的名字            
(5星)	 極度好看的電視劇！！            
(5星)	 买回移动硬盘干的第一件事就是把grey给补看掉了（还真堕落）。。。大家的口味是很正确的！            
(3星)	 为什么选了一个长的又难看性格又不怎么样的人当主角呢            
(5星)	 看了两集就超级想要上班 想要那种忙碌的感觉            
(2星)	 怎么都说好看？！一集都看不进去at all !!            
(4星)	 據說,演員簽到S7了...但願只是據說...- -b            
(5星)	 喜欢！！！！！！！！！每个人！！！！！！            
(5星)	 喜欢！            
(5星)	 我是C&amp;B控。            
(4星)	 慢慢來慢慢來。。。但是不可以說第一季9集第二季就27了！三倍啊親！            
(5星)	 喜欢看这种专业性强的美剧~~感人            
(NA)	 看了两集            
(4星)	 启蒙剧。。。追到现在。。            
(5星)	 little little sunshine.h            
(4星)	 结尾真狗血            
(5星)	 什么六点了。。。。连着看了9集一分钟没停。。。。。            
(3星)	 是整個還没有展開的原因吧，和其他醫療體裁相比較没有什麼特别之處。            
(3星)	 配乐还行，喜欢burke，主角没一个喜欢的            
(3星)	 搞啊搞，搞到一起            
(NA)	 假期从第一季到第四季，争取能够看完            
(4星)	 S6E24 http://www.verycd.com/topics/2771070/            
(4星)	 cosy in the rocket.            
(5星)	 很棒，很喜欢年轻人的生活~~            
(NA)	 延续了美剧一贯的短小紧凑，美国精神，自我而自由……BTW,音乐不错。            
(5星)	 医生是一种极其特殊的职业/而外科医生立见生死的手术方式更是把这种伦理心理困境发展到极致。音乐、节奏都控制的很好，不同于《白色巨塔》的精致、复杂的权钱人际，《实习医生格蕾》更注重病患和医者之间的互动，以及医生间的友情爱情竞争合作，宛如friends。从手术刀中拿出夹眉剪的片头很好。            
(4星)	 Yang and Burke,Mr. &amp; Mrs. aggressive .俺从来都爱彪悍的男女。            
(5星)	 喜欢。            
(5星)	 真充实。。。Meredith的眼睛好迷人~~~~            
(3星)	 美剧也琼瑶            
(4星)	 Grey&#39;s Anatomy             
(4星)	 一直没机缘看，这次终于下载了第一季，果然如得奖所言的精彩好看，很有意思。美国外科医生念完书还要7年实习，中国的医生呢？人多为患的国家才有资格把人命当儿戏。发狂的继续着迷中。            
(3星)	 S1+S2 enough            
(3星)	 起早贪黑地跟，总算刑满释放了             
(NA)	 我觉得是friens之后我最念念不忘的好剧了！            
(5星)	 超級推薦!!!!!!!!!!!            
(5星)	 203 204 217 311 414            
(5星)	 Miranda Bailey is a good doctor            
(4星)	 外科医生也是人看完了之后 基本上对医生的形象改观甚大另片头的拼贴甚喜欢            
(4星)	 开始烂尾工程            
(3星)	 我一直怀疑美国人民如此热爱此剧是因为他们没看过琼瑶……            
(4星)	 瓊瑤劇            
(5星)	 寻觅第六季            
(5星)	 劇情越來越荒謬。。。最爱的只有一个George            
(5星)	 属于我超爱的美剧            
(3星)	 没看完。            
(5星)	 其实是好片 但看到林永健就无法控制的笑场 追不下去            
(4星)	 矮油 怎么人家主任医生都能谈恋爱 在中国的话全部结婚有孩子了             
(4星)	 感谢此片让我从此不敢去医院了            
(NA)	 互搞            
(3星)	 我讨厌女主            
(5星)	 无字幕很憋屈            
(5星)	 一直以来都想当医生。            
(4星)	 还算是有点思考余地，格雷真是第N眼美女哇            
(4星)	 适合这个夏天            
(5星)	 Shep!            
(5星)	 还不错             
(4星)	 女主好像serena...以及 她是里面最没个性的一张脸了..            
(3星)	 第一季就看出做作的苗头来了。好在妞们还是正点的。            
(5星)	 很喜欢央视的配音。有磁性~            
(3星)	 shep挺帅的，model医生很真善美            
(5星)	 差点错过这么棒的电视剧了！thx vendredi~            
(5星)	 听到名字就有学医的冲动            
(5星)	 小时候和我妈一起看过，不过就一小段-_-现在开始重开头追            
(4星)	 她嘴角很好看            
(4星)	 一夜没睡觉，看了9集            
(5星)	 第一次对医院有了亲切感，配乐做得好~            
(4星)	 美剧乱睡的情节啊 。。。            
(3星)	 第一季阿 凑合吧            
(5星)	 喜欢Christina,Izzie和Bailey            
(5星)	 个人认为 这部是最棒的            
