http://movie.douban.com/subject/2347271/	萧十一郎
(4星)	 当时萧十一郎就是我理想中的男人形象……            
(4星)	 我曾经的最美回忆，记得当时初二，迷得不行，青春真美好，岁月多残酷啊            
(4星)	 我又怀旧了~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~当做生命里，最美滴，转弯！！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 特技甚是诡异            
(2星)	 吴奇隆穿戏服不像大侠，像摩托仔            
(1星)	 全方位囧 从演员到戏服到特技到台词            
(2星)	 冲着朱茵……不过，这片儿仍然囧爆，尤其那一群男生们身着的薄纱            
(3星)	 为啥当时迷的七荤八素？呃 不过也成就一对恋人 不错            
(3星)	 马雅舒就是和吴奇隆在这里结缘的么？            
(3星)	 化妆师你也太省了            
(NA)	 恩，就是这个时候爱上四哥的。还有亲爱的李倩。            
(3星)	 片尾曲《转弯》~~            
(3星)	 朱茵有老态。            
(3星)	 冲着朱茵竟然又重看了一遍 剧情都很扯 不过几个人物都很不错 萧十一郎和沈碧君每次老为对方挡剑 还是蛮有爱的...            
(4星)	 吴奇隆真是个大帅锅啊            
(4星)	 只是觉得朱茵漂亮，别无其他。            
(3星)	 一般般了。            
(4星)	 小时候超喜欢吴奇隆好嘛~还有朱茵大美眉~            
(3星)	 最初因为听了广播剧才看的电视剧             
(3星)	 真纳闷儿，为什么小时电视重播什么烂片我都看            
(3星)	 喔 风四娘！！            
(3星)	 萧十一郎的造型到现在还是不能理解。            
(4星)	 挺虐的，就喜欢虐的。。。。            
(3星)	 这部里朱茵嘴唇怪怪的，跟中毒了一样            
(4星)	 一方一再的怀疑试探 一方不计回报的付出 孰轻孰重该如何抉择一目了然            
(4星)	 当年看的津津有味。            
(4星)	 初中时的精神寄托之一，那时的吴奇隆真是尽所能及的帅            
(3星)	 当年的萧十一郎是心目中最喜爱的形象~连城璧临死前对沈璧君说“至少你曾经【试】过爱我”也在年幼时感动了好久~哎            
(4星)	 连城璧绝对是苦逼处女座的            
(NA)	 苦逼北京台不让演完 哈哈            
(4星)	 当年除了绝代双骄就是这个了。哈哈            
(4星)	 当时还不大认演员，就是觉得那女的不错，绕来绕去的武侠不好看            
(2星)	 相當的囧            
(NA)	 补遗             
(3星)	 。。            
(2星)	 我总觉得这剧恶心==            
(4星)	 吴奇隆 朱茵 于波 马娅舒            
(3星)	 初中的时候很爱看。            
(NA)	 三流古装剧的海报怎么都长这副德行            
(1星)	 万恶的造型，万恶的合拍片            
(NA)	 感觉回到初中了= = 我好炫酷= =            
(5星)	 男的俊女的美~            
(3星)	 连城壁比萧十一郎帅有没有            
(4星)	 朱茵是真美啊~            
(4星)	 继续改啊改。。编剧有CN情结吗非要这样？人家本来是婚外情的！算了。。仙子你好黑啊仙子。。            
(NA)	 十一郎～～～我每次就在宿舍这么跟着软软地喊………………            
(4星)	 越来越讨厌主角这种生物。。            
(4星)	 别扭腹黑受好萌            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 =。=很帅嘛            
(3星)	 这个时候开始已经不喜欢朱茵了。            
(3星)	 最近还又看了几集呢~~            
(4星)	 我怎么还没忘掉这部烂俗的电视剧呢~~哇哇，好看            
(5星)	 真是超级好的片子，比古龙那个脑残强多啦            
(1星)	 大便            
(NA)	 丑，真丑，我怎么会看过？            
(4星)	 我当年被迷倒了……            
(2星)	 连城壁，又一个让人心痛的角色            
(NA)	 忘了            
(4星)	 为什么古龙小说的编剧都那么囧呢。。。            
(5星)	 从初中开始很变态的看了十几遍。。。            
(3星)	 也算可以看啦.            
(4星)	 结局的特技很雷            
(3星)	 年少回忆。            
(1星)	 没法比            
(4星)	 变态的连城璧 其实也蛮可怜 永远做人家爱情的陪衬            
(4星)	 背景音乐还是很好听的，也算是对原著改编的很彻底但还不错的片子吧            
(3星)	 说实话，我喜欢董晓燕            
(5星)	 初中的大爱= =            
(3星)	 朱茵这么多年还是那么漂亮可是这么多年演技也还是这样            
(NA)	 哈哈 小时候 小时候            
(NA)	 吴奇隆演的太帅了~~T.T            
(NA)	  此时的朱茵已经沦落了            
(3星)	 诡异的特效            
(3星)	 damals habe ich es sehr gerne~~            
(3星)	 吴奇隆帅            
(2星)	 額。。沒怎麽看~不太喜歡~            
(NA)	 喜欢吴奇隆～            
(3星)	 电视剧            
(3星)	 演員陣容很不DJ            
(3星)	 朱茵美啊。            
(3星)	 风四娘好可爱啊啊啊啊。关键是，有人说我那脑袋长得和她挺像的。小吴同学还是挺有眼光，戏里没和马娅舒结成婚戏外倒是结了。            
(3星)	 看到第五集 没时间看下去了            
(3星)	 吴奇隆当年帅的一塌糊涂，朱茵也是绝对的玉女，制服诱惑什么的，zenzen不知道╮(￣▽￣&#34;)╭             
(4星)	 虽然制作有点儿寨，但是演员演得很好，当时很爱看~影响最深最深的是，朱茵撞到了吴奇隆和其他女人在一起（被诬陷，好老套），可是朱茵居然一反所有电视剧的情节！！！没有误会，还戳穿了那个坏女人！！！注意是所有电视剧！！！当时还小，没看过太多电视剧，但是也觉得极其惊艳了~觉得这女人不简单啊            
(3星)	 男的帅女的靓，还能更赏心悦目么？            
(3星)	 2002            
(3星)	 啊……原来还有朱茵啊。。只记得马雅舒了。。想了半天连城瑾咋这么熟悉，原来是……            
(3星)	 朱茵真的跟个仙女似的。            
(NA)	 朱茵挺好看的，576还是演这类活泼跳脱的角色发挥丰满。另外后半部分那个特效做的真是一看就笑场，原作的恐怖气氛完全归零，只想笑……            
(5星)	 我从这部爱上吴奇隆呦呦呦。            
(5星)	 是这个让我爱上吴奇隆的好么！！！！！然后变成现在这样的脑残粉！！！！！！            
(4星)	 想当年我多爱你演滴萧十一郎哇~            
(NA)	 就是这部剧。。。让吴奇隆栽在马雅舒脚下            
(4星)	 魅力十一郎            
(4星)	 ╮(╯▽╰)╭             
(5星)	 记得小时候，和老妹在家里偷偷看~~~~~~~~~~            
(5星)	 天呐            
(3星)	 我爱朱茵~            
(5星)	 我看的都是些什么玩意。。。。。            
(4星)	 以前真的好喜欢这部剧            
(4星)	 当年多爱风四娘啊！！！            
(4星)	 当初我很喜欢看的 嘿嘿 还专门去找了这本古龙的小说来看~~             
(NA)	 好久以前看过的了。朱茵好美~~            
(5星)	 割鹿刀站逍遥侯?            
(4星)	 我那个时候多么的迷萧十一郎和沈璧君啊，后来发现和原著差得太多了……            
(4星)	 还挺好看的。。。我跟我爸一起看的。。。            
(3星)	 还是片尾曲。。。            
(5星)	 那时候吴奇隆好帅，朱茵好美！我的回忆回忆，不解释            
(4星)	 当年我觉得这片子好好看啊。。每天都等在电视机前的说。。。            
(2星)	 吴奇隆里面太丑了            
(3星)	 结尾太残酷。            
(NA)	 朱茵好美            
(NA)	 消失(*￣︶￣)y 郎            
(5星)	 萧十一郎是我觉得最好的一部古龙小说，感觉这电视剧改编的比原著好，片头曲完全唱出了我看小说时的心情            
(4星)	 小时候超喜欢！            
(3星)	 我是为朱茵来的            
(5星)	 哎呀当年看得心痛欲绝            
(NA)	 朱茵怎样都美            
(3星)	 hahah~~我统一打个3算了            
(4星)	 喜欢朱茵，喜欢萧十一郎。            
(5星)	 我真的很喜欢。            
(4星)	 武汉四台还是武汉二台每晚三集联播 于是我一整晚就守着电视看            
