http://movie.douban.com/subject/2253591/	格格要出嫁
(1星)	 一个格格红起来 千万个格格赶上去            
(NA)	 其实不难看，只是剧本有点不太连贯，有时候剧情有点偏幼稚。几个男主角颇有男人味哦！几个女的装扮也不错。有模仿“还珠格格”的嫌疑。女主角也是大眼睛笑容甜，但就是没有赵薇那么深入人心，大概是表情不够变化多样，少了那份古灵精怪吧！ -- 2008-12-15            
(3星)	 那个时候觉得倪睿思好美啊。。。            
(2星)	 小学时代。            
(2星)	 我怎么就看了这么多乱七八糟的电视剧            
(1星)	 有半颗星吗？            
(3星)	 当时觉得很好看呐~一直替倪睿思惋惜，当年的青歌赛冠军的说……            
(2星)	 那女主角还唱歌来不是……            
(2星)	 我看过的烂片怎么这么多            
(4星)	 倪睿思那样很可爱,后来走得路线完全不适合她.            
(3星)	 在流行租VCD的时代，我看过很多国产电视剧……            
(NA)	 豆瓣怎么算出我小时候看过这玩意            
(3星)	 话说倪睿思真的还不错的，可惜后来不见到了。            
(1星)	 大雷片 我弱智的童年看都觉得雷 = =  内演顺治的也太丑的……            
(NA)	 补遗               
(3星)	 这么多年了，我还是忍不住要吐槽，倪睿思一直都是丑到爆啊            
(NA)	 倪睿思挺好玩儿的~~噗            
(NA)	 诶我去了！            
(3星)	 当年我是多喜欢她呀            
(1星)	 倪睿思怎麼不去死            
(1星)	 拍这片的人，脑残吧            
(2星)	 我现在想的是 历史真的是这样吗            
(NA)	 忘了            
(1星)	 极其脑残的电视剧            
(1星)	 《留爱给最想爱的人》还是挺好听的，其他的一无是处。            
(3星)	 前几年看的/            
(3星)	 奔着格格去的。            
(3星)	 今天怀旧了哈哈哈哈            
(3星)	 这姑娘其实蛮可爱的~~            
(4星)	 打开层层锁心的门，一层一种可能            
(1星)	 二逼啊            
(NA)	 金蝉格格？            
(3星)	 倪睿思好可惜，一直没红了，唱歌唱得多好啊。            
(NA)	 算是重温了大半部分。小金蟾部分才喜欢。            
(3星)	 主角们演完就失踪了吗。。。            
(4星)	 怎么说呢 这部剧是小学时喜欢的男生租碟给我看的~要记住呢~            
(NA)	 奶奶还在的时候一起看的这都多少年了            
(NA)	 片尾曲好听。。            
