http://movie.douban.com/subject/2279817/	都是天使惹的祸
(4星)	 曾经风靡一时的李小璐代表作，比现在的神马狗屁偶像剧靠谱多了。            
(4星)	 以前觉得好看，我觉得你们评分太不公道了啊，这个片子小时候看过的，谁敢说不爱看，现在装什么深沉？装什么有文化？给几吧一个星！！服了！！            
(NA)	 前几天在电视上又看到这个电视剧 发现李小璐真的就很适合这样的角色            
(3星)	 这个……我小时候超爱……            
(4星)	 我当初分不清李小璐和周迅            
(4星)	 当时风靡全班的电视剧            
(5星)	 我曾深爱过任泉            
(3星)	 李小璐当初很可爱。            
(3星)	 觉得任泉真帅啊那时候            
(1星)	 当时很多人跟我说周迅演的，昏～            
(3星)	 现在K歌还会去唱 那么骄傲            
(4星)	 李小璐鬼灵精怪。            
(3星)	 以前还是挺喜欢李小璐的啊            
(2星)	 李小璐长的好象周迅 冲着她才多看两眼 其实挺无聊一国产剧            
(3星)	 小学            
(3星)	 六年级            
(NA)	 陈山楂蛋糕。            
(4星)	 初中时看~            
(NA)	 哎，我当年看过这个的。            
(3星)	 李小璐成名作            
(4星)	 loli时代的我还是很爱其主题曲的－－||            
(4星)	 仅仅纪念。            
(4星)	 &gt; &lt;当时觉得可美了李小璐清纯死啦            
(5星)	 喜欢那时的李小璐。            
(4星)	 我表示我迷过一阵这个的。            
(4星)	 认识到李小璐的真可爱            
(4星)	 偶像剧初起范本==            
(3星)	 第一次知道佟大为，喜欢那时候的佟大为，够轻松调皮，不像现在，总被人当偶像看，搞得很装。            
(NA)	 贼搞。就是那时候我慧眼发现了佟大为，怎么样？火了吧。嘿，那我就不喜欢他了。            
(5星)	 中学时特喜欢的电视剧            
(3星)	 去军训落掉了最后一集！            
(5星)	 真的很喜欢这个电视剧！！林小如虽然很傻，但是天真善良，我觉得很像我！            
(3星)	 那时候张延挺淑女的啊~~            
(4星)	 小时候很喜欢看，我妈觉得任泉好帅，我总觉得他扁扁的很奇怪            
(NA)	 补遗（当时就觉，这是一吻定情的终极版么？）            
(3星)	 李小璐傻×            
(1星)	 李小璐好看的，怎么就去演了个中度脑残呢？            
(4星)	 小时候好喜欢看            
(3星)	 李小璐我还是狠喜欢的            
(NA)	 初中。            
(4星)	 还满爱李的            
(4星)	 那时很爱看            
(3星)	 冒傻气～            
(4星)	 千禧年 好怀念            
(4星)	 小时候看过一遍又一遍            
(3星)	 这应该算是那时候的偶像剧了吧            
(NA)	 当年还分不清李小璐周迅谁是谁            
(4星)	 认识的李小璐            
(2星)	 不评价            
(5星)	 哈哈哈哈            
(3星)	 初一暑假 无数遍重播= =            
(NA)	 =_____=            
(NA)	 没什么可说的了            
(3星)	 任泉长得很好看。            
(5星)	 也是小学看的，那时候超迷任泉。李小璐。            
(5星)	 小学全班都看的            
(3星)	 还有点分不清李小璐和周迅的时候看的。只觉得任泉还有点帅。            
(NA)	 哇..想当年.....            
(4星)	 就是这部戏，开始有点喜欢李小璐吧。            
(4星)	 哈哈哈童年的回忆            
(3星)	 李小璐乖得很！            
(NA)	 汗。。。。仿版一吻定情号称            
(5星)	 小时候HI喜欢            
(3星)	 曾经俺也对着任泉流过口水。咔咔            
(NA)	 auv            
(4星)	 童年必追。。。            
(2星)	 看过一点，对任泉无感。            
(3星)	 我说郭涛怎么那么眼熟呢···            
(NA)	 。。。。            
(3星)	 年轻的时候看的            
(2星)	 能不能别老是播？            
(4星)	 老了..            
(4星)	 青葱            
(4星)	 呃……            
(NA)	 佟大为只出现了几集，可是印象还蛮深的            
(1星)	 抄抄抄、            
(5星)	 当初因为这个认识李小璐 很喜欢~            
(5星)	 恩。。通过这部剧认识了金海心。。。那首经典的《那么骄傲》陪我度过了美好的小学时光   ^^            
(2星)	 妈呀……这玩意……多少年前的哇            
(3星)	 唯一的印象只剩下了主题曲            
(3星)	 那时很喜欢李小璐            
(3星)	 就是看到李小路挺漂亮的，才会看这部电视剧            
(NA)	 我萌上了小璐            
(4星)	 嗯.现在记得的是故事情节,导演,男女主角,还有那首主题曲&lt;那么骄傲&gt;. 任泉的连续剧看过的屈指可数的几部之一.            
(3星)	 小时候不懂事居然也看得很起劲的。。            
(3星)	 虽说还行，不过也断断续续的看了好几遍            
(5星)	 李小璐很漂亮，佟大为挺憨的，任泉神经兮兮很好玩，而且是一个很朝气的医科大学毕业生，很符合我对大学生的某些想象。            
(4星)	 李小璐好可爱。            
