http://movie.douban.com/subject/5975317/	钱多多嫁人记
(3星)	 暂时也就给三颗星吧，不知道制片商和导演在想什么，竟然找刘涛当女主角。            
(4星)	 很不错，冲着刘涛也值得一看            
(4星)	 今天庆功宴。。还要粉丝互动神马的...果断拒绝了交给别人。。我都怎么看其实。。前4集某河都在打酱油啊。今天记者会上刘涛好美T T            
(2星)	 因为刘涛和陈楚河对比李小冉和韩男，多给一星，但是看了书之后看剧的人，真心接受不了这两个版本的许飞，好端端个御姐，麻烦你配个能表现出心智成熟外貌年轻帅气的弟弟，行不？！！！            
(3星)	 每集太短了，开头结尾曲都比剧情长            
(4星)	 其实还是《大女当嫁》更现实，钱多多很幸运有学弟喜欢啊            
(NA)	 女一号二号够漂亮。男一号不给力啊。            
(3星)	 我比某君厚道。。不能说很差吧 和某些剧相比。。。            
(3星)	 刘涛还蛮好看的 剧里的陈楚河看的我脑残模式全开= =+。。啊哈哈哈哈哈~剧情神马的蛮俗套的啦 而且BUG很多一_一去个田子坊就是去外地出差了么一_一一个头发上集是弯的 下集就变直的了 ORZ..然后一集的时间很短 这个我喜欢一_一            
(NA)	 哈哈哈这个剧也太逗了~！！题材是有多火啊~！！！我也说呢明明记得之前不是播过钱多多了吗？？居然真是一年拍了两个版本~！！不过明显李小冉更符合钱多多在我心中的样子~~~            
(4星)	 拍摄手法我很喜欢，演员都不错！剧情一般。            
(3星)	 搜狐非拿这个当连续剧播，一集13分钟，看了22集，真得瑟~不过戏中都是俊男美女，很养眼~哈哈            
(2星)	 短小精悍~吐糟片又一神作。。            
(4星)	 我觉得很好啊，简单、轻松！几个演员也很帅靓！            
(3星)	  陈楚河 怎麼這麼忍心都不指點劉濤的穿著啊!!!土死啊啊啊啊啊啊!            
(3星)	 不知道在说些什么，不是很好看            
(4星)	 刘涛最美的一次扮相            
(1星)	 差。            
(4星)	 这个依依也太好运了。不过也不会珍惜            
(3星)	 只是冲着刘涛去看的~            
(3星)	 作为闲情之物来看待是值得推崇的，超短的电视剧情很符合快餐时代，问题是人家故事也讲清楚了啊~！            
(5星)	 还差七集，好短。追她的男的并不太搓就是末有感脚。剩女可以姐弟恋嘛，为某同学祈祷。你谈姐姐时候脸都羞涩了。            
(4星)	 网络门户剧，很快餐~冲着孙艺洲，他在话剧里演许飞，没想到电视剧里至是小配角~~不过还是很有前途的~一直也挺喜欢刘涛~给人感觉很舒服，只是演职场女性，她似乎显得不是很老练成熟，有待改善~逻辑混乱。。。剪辑很差，台词前后不应。。。            
(3星)	 虽然故事简单，演员演技也一般，但是看了也不觉得浪费时间，比正在热播的那部看五分钟就想吐槽的电视剧实在有品味一些，其中女人的疑心和男人的无所谓这对冤家也表现得很深刻。            
(2星)	 看到20集就没资源了。            
(2星)	 捂眼~不过刘涛一直很漂亮啊。            
(4星)	 拍的还不错            
(3星)	 这片有陈楚河吗？            
(3星)	 原来这就叫门户网络电视啊，从电视剧情节看原著应该很适合排成电视剧的题材故事，原著也许不会去看但白领剧看着就吸引人~可惜网络剧有种没拍尽细节的感觉，网络电视每集十五分也钟只能上故事梗概了吧。。。难得男主女主颜都是我喜欢的哈哈，男二女二性格啊戏份啊也不错~挺新鲜的。。群众演员很坑爹。            
(4星)	 冲刘涛去的 美~~            
(3星)	 我挺喜欢刘涛的            
(2星)	 网络剧，能指望质量么。。。            
(NA)	 很喜欢听许飞喊“多多”~            
(3星)	 一个早上看完全部、、、            
(3星)	 为了牛振生和蒋依依 我给三星            
(1星)	 无数次看见那个钱多多的干妹妹叫赵圆圆的真心装嫩啊~脸上的妆那叫一个浓啊！不嘟嘴行吗亲？不表情夸张行嘛亲？化淡妆行吗亲？请借鉴你的实际年龄行吗亲？什么鬼介绍说对话睿智！我只觉得装啊。。。冲着朴海镇才给一星，但是噢巴你别毁了啊！            
(4星)	 挺好的啊，帅哥美女，十分钟一集，看起来不累~原来那个女的就是张馨予啊。。。            
(3星)	 还行...            
(4星)	 比起电视剧版的不知道要好多少            
(3星)	 那个叶明申的每次出场都笑死我了。            
(2星)	 看了开头几集就看不下去，刘涛没有职业女性的范儿，那声音绝对减分。至于故事情节，就不多说了。无力吐槽            
(2星)	 没看全， 新的出来了才想起看过这个。            
(3星)	 不管广告，看起比电视版好些            
(4星)	 装你妈的比啊 本局不至于不及格吧 本剧比那芒果剧强多了吧            
(2星)	 忒生硬了……            
(3星)	 真心不习惯刘涛演现代剧啊            
(3星)	 节奏太快的童话故事。陈楚河真的蛮帅的，符合小说中男主角的形象            
(4星)	 解闷还是可以的，翻拍剧神马的，原著真是毁了            
(NA)	 总是不能期望小说改编的电视剧。。。            
(3星)	 男女主演的说实话还是不错的，但是制作的有点次，还有就是最后那个男的也太那啥了吧。。            
(3星)	 一颗星给剧~两颗星给陈楚河~            
(4星)	 这长度我真心喜欢，比动漫还过瘾啊，喝杯水的功夫还没等坐下一集就完了，比又臭又长的倾世皇妃和千山暮雪好太多了啊            
(3星)	 一下午就看完了。。。            
(4星)	 其实还不错啦！每一集很简短，可能是希望这样不同于一般的姐弟恋。故事是美好的，现实是残酷的            
(2星)	 哎，我还是期待李小冉的吧            
(3星)	 快餐电视剧，解解闷吧~            
