http://movie.douban.com/subject/2995180/	名扬花鼓
(5星)	 虽然是多年前的一部剧了,但现在重看怎么这么的有感觉呢?!花鼓笑起来很漂亮.陈坤伤心游离的眼神很帅..陈志朋还是那么丑=.=这与角色无关!            
(4星)	  当年很爱看现在不行了             
(3星)	 这个电视剧央视一套曾经重播了三四遍，我看着恶心。            
(3星)	 剧情很老套不过为了陈坤撑下来了            
(2星)	 真的很无聊。。。            
(NA)	 我还真是什么都看过啊。            
(NA)	 补遗                  
(4星)	 CCTV8老放的            
(4星)	 当时就觉得坤哥好帅啊&gt;&lt;            
(3星)	 当年也不爱看，只是觉得画面很干净，陈坤好娘，曾宝仪耳朵真大            
(3星)	 还不错            
(4星)	 我是觉得挺好看的。陈坤！            
(4星)	 哈哈，其实很早看过的~！            
(NA)	 看过很多遍，一直很喜欢。            
(3星)	 我到底看过多少乱七八糟的电视剧。。。            
(3星)	 囧            
(4星)	 我很喜欢啊！            
(NA)	 我是最曾宝仪吸引的             
(NA)	 当初我觉得陈志朋在里面很帅            
(3星)	 小时候看过的古装剧原来这么多啊 T T。            
(4星)	 多一星纯属给坤哥TAT            
(NA)	 当年也没能看下去的烂剧……不喜女主，陈坤倒是不错。            
(4星)	 小时候好喜欢看啊= =            
(3星)	 家人喜欢看            
(3星)	 曾宝仪看起来也挺可爱的            
(2星)	 怪傻的。            
(1星)	 都是花瓶            
(3星)	 陈坤从金粉世家出来，直接拍了这个....2流经典，你不说，我还真想不起来了            
(5星)	 小学时莫名其妙的最爱，看了电视台还特意租碟来看……            
(NA)	 =  =金燕西你不适合画这个眉毛            
(3星)	 第一次听到花鼓戏就是这个...            
(3星)	 放假在家刚好又看了一遍= =            
(3星)	 第一次看曾宝仪的电视剧            
(3星)	 陈坤虽那样的销魂，却也抵不住阿宝同志造型的雷人。            
(3星)	 看戏的戏路还蛮广的~~            
(NA)	 在那个资源严重匮乏没神马选择的年代，我还是被看了。            
(2星)	 我爹拿名扬花鼓做过手机铃声- -            
(2星)	 曾宝仪真漂亮。            
(3星)	 帅哥不错，就是造型比较雷人。            
(4星)	 坤哥的颜~不解释            
(3星)	 就记得陈坤那两条眉毛了……黑浓黑浓的……不过真心觉得陈坤帅！这种白衣剑客加凉鞋的造型都没把他毁了            
(2星)	 里面那个造型啊....            
(3星)	 额，尔泰演坏人，额，我忘了结局了            
(5星)	 小时候看的，好喜欢            
(3星)	 ………我勒个去，这种烂剧我都看过……等等，原来那个让我坚持下来的男主就是坤哥么，等等原来从那个时候开始我就是坤哥脑残粉了么（自重            
(5星)	 发鼓～～～～～～～～～            
(NA)	 噗 对哦 我以前还看过这个。。。            
(3星)	 突然想到那时候就很迷坤姐了            
(4星)	 其实比现在的雷剧好多了，至少剧情节奏不算拖沓            
(3星)	 麻痹，我容易么            
(NA)	 没什么印象了            
(3星)	 卧槽突然发现还有这部剧。。。            
(NA)	 有情人终成眷属、            
(3星)	 我才发现小时候看过如此多古装剧            
(4星)	 名扬            
(3星)	 我去，再看女主好雷……其實當年我就覺得她挺雷的了……            
(5星)	 还记得那首歌。            
(4星)	 喜欢陈坤曾宝仪戏里那对活宝            
(2星)	 造型太丑了！！            
(3星)	 当初有爱看诶- -||            
(2星)	 陈坤在里面还是很可爱的             
(NA)	 跟箫十一郎给我的感觉一样，古装恐怖片            
(2星)	 雷死俺了。这居然是我看过的第1000部。            
(2星)	 还珠格格红了后 出来多少山寨小燕子？            
(1星)	 这个服装扮相和各种烂演技......真不想说了            
(5星)	 从N年前到现在看了三遍了。。。陈坤古装超级英俊哪。。。             
(5星)	 那是觉得好好看的。。            
(5星)	 当年的噱头真的好高。。            
(4星)	 这部剧是大爱~ 以前电视里总放，但是不怎么红~            
(NA)	 我小时候。超喜欢。而且这个里面曾宝仪衣服也很多。很可爱。。。要不要重温啊。纠结。。我怕看到年轻的陈坤会花痴。。最近花痴。禁止啊。            
(3星)	 我喜欢的人就是你这个样，和你共同渡过的日子里，一切一切我完全相信你            
(4星)	 当时迷得很啊……            
(2星)	 这部真烂片啊。。。陈坤真是亏了。。。            
(4星)	 挺好看的古装武侠片啊。带感            
(3星)	 CCTV8老播的，所以看过不止一遍。名扬跟花鼓蛮好玩的，不过我妈一直说曾宝仪长得跟她爹一样丑。其实还好啦，哈哈。我喜欢片尾曲~            
(4星)	 给四星吧 给四星吧 里面有我的回忆啊            
(3星)	 左手鼓，右手锣。~            
(4星)	 我就是特别喜欢啊~            
(4星)	 读初中天天找各种理由看这            
(NA)	 少女时喜欢的            
(3星)	 这片子有那么烂？            
(1星)	 那凉鞋！            
