http://movie.douban.com/subject/1830590/	康熙王朝
(NA)	 极其搞笑的一点就是，里面的孝庄皇后经常说“我孝庄……”。她死前就知道她的死后的封号？            
(5星)	 斯琴高娃和陈道明绝对可以用戏骨来形容            
(1星)	 看完，真想喊“满人万岁~满人万岁”真的，导演您真让这个鞑子民族伟岸了            
(3星)	 当初还觉得蛮好看。现在完全鄙视。康熙小儿再活500年？那我们现在还都是螨清的奴才！            
(5星)	 从此爱上陈道明。            
(5星)	 和现在那些乱七八糟的片子比，这部戏严谨的作风实在难得。            
(NA)	 太多的外国电影里面中国人的形象就是辫子奴才的样子广颠局的满乙们拍的辫子戏让我中华呕吐不已            
(NA)	 朕劝你们一句，都把自己的心肺肠子翻出来，晒一晒，洗一洗，拾掇拾掇！崇祯皇帝朱由检，吊死在煤山上才几年哪？忘了！那棵老歪脖子树还站在皇宫后边，天天的盯着你们呢！              
(NA)	 立场，立场有问题啊……            
(4星)	 陈道明的表演非常精彩。电视剧让我不得不想到余秋雨《一个王朝的背影》，皆让人感慨唏嘘。            
(1星)	 糠稀大辫子            
(1星)	 还再活500年真是恬不知耻            
(NA)	 看过3遍了            
(4星)	 啊，陳道明。            
(NA)	 和爸爸一起每天坐等这个剧，很幸福            
(5星)	 看了不下十遍，每次都有更多的理解，每次都会痛哭流涕。。。            
(4星)	 喜欢索额图的声音 喜欢李楠的表演 特别喜欢那句话：马桶比天下干净            
(5星)	 很好看的历史片            
(3星)	 讨厌辫子戏            
(4星)	 就是错误百出……            
(4星)	 大清的心头之患不在外面，而是在朝廷……咱们这烂一点，大清国就烂一片。你们要是全烂了，大清国各地就会揭竿而起，让咱们死无葬身之地呀！想想吧，崇祯皇帝朱由俭，吊死在煤山上才几年呢，忘啦？！那棵老歪脖子树还站在皇宫后边，天天地盯着你们呐！正大光明这四个字，说说容易，身体力行又何其难呐！            
(3星)	 永遠媚俗的陳佳林..            
(2星)	 应该改名叫“主旋律细说康熙”            
(NA)	 配音、音乐很好。            
(5星)	 极火的王朝剧            
(2星)	 我一直觉得很乱，时间跨度长的必然结果吗            
(4星)	 可以            
(5星)	 被祖母拉着看的，关于历史应该多了解些。            
(5星)	 王            
(3星)	 话剧化的台词儿，不喜欢泯灭人性的部分，对于康熙对待妃子的态度，到现在也没能完全理解。。            
(5星)	 斯琴高娃演太后总是很好看            
(4星)	 少年康熙是我的梦中情人            
