http://movie.douban.com/subject/4043849/	幸福的完美
(NA)	 姥姥说，这连续剧告诉现在的姑娘们怎么都死缠烂打心意的对象。黄奕张了一张杯具的脸。            
(4星)	 挺好看的 那个年代单纯的美好 只是黄奕同学的声音好怪伐哦            
(NA)	 陪妈妈看....            
(3星)	 虎头蛇尾，从结婚到离婚只用三集草草交待......过分            
(3星)	 其实只把第一集快进了这算不算看过？            
(3星)	 观于北京台            
(3星)	 黄奕年轻了~哈妹变成熟了~            
(2星)	 印小天本身就不够帅，演起来又特用力就更显得丑，唉~~还以为黄奕最后会跟于小伟走到一起呢，结果还是跟印小天。。。            
(3星)	 陪老妈看的……略狗血了= =            
(3星)	 爱情中身体的背叛也是不能容忍的。            
(5星)	 评论的人这么少？实在是喜欢李静的恬静啊            
(NA)	 绿衣蓝裤可真够难看的            
(4星)	 我居然能看这样老套的电视剧！！！！！！！！！！            
(4星)	 很不错的电视剧            
(5星)	 挺纯挺感动一玩意            
(3星)	 演得真不怎么样。。。            
(2星)	 幸福像花儿一样的跟风之作，看了一半，实在“没时间”看下去了，不如看看有兴趣的片子吧。            
(5星)	 军礼题材的韩剧。。。。            
(4星)	 很不错很不错            
(NA)	 看了之后我才明白 幸福的真谛幸福其实就在身边  也许你现在没有发现和发觉幸福就在心里面  一份真挚的回忆和记忆幸福就是平淡  平平淡淡才是真~            
(5星)	 又一次，在别人的故事里，流着自己的泪。。。为什么相爱的人在一起那么难？我心目中纯粹的爱.            
(4星)	 很纯很纯 可能只有那个年代才会有的感情吧            
(NA)	 很喜欢里面的音乐            
(NA)	 单纯的美好，让我想起小的时候．            
