http://movie.douban.com/subject/2154862/	少年英雄方世玉
(5星)	 看過很多遍，就特喜欢张卫健。            
(4星)	 当初张卫健同学的电视都挺好看的，一个模式的多了就腻了            
(5星)	 满经典的。            
(4星)	 最近电视台又在深夜重播。原来这么经典的一部戏我以前也没有标注过。很喜欢凌小小和世玉，可惜这部戏里的感情戏很少，就算有也是小打小闹，没能满足我的需要，哈哈。洪熙官和咏春也很好，虽然李婷宜我不是很喜欢。恬妞超级可爱，这部戏我最喜欢方世玉和他老妈和他女朋友。还是原来的电视剧好看，有剧情            
(3星)	 杀时间还可。            
(5星)	 好看！！小小阿我的小小，甜姐太帅气了            
(4星)	 原来小时候看过的。            
(5星)	 小时候看过，喜欢得不得了。应该是在铜陵电视台一套看的。            
(3星)	 这个咏春我一直记得            
(4星)	 没什么印象了，但是应该是不错的。            
(3星)	 喜欢方妈苗翠花~~            
(2星)	 装B            
(4星)	 老港片。            
(5星)	 还想再看~            
(5星)	 =  = 小时候一心想嫁给张卫健！！！！！！！！！！！！！            
(5星)	 张卫健拍的片子中最喜欢的一个。从虚竹开始喜欢樊少皇，什么时候还能出好看的片子啊？            
(NA)	 小学.            
(3星)	 还可以，我们的寒暑假要开始被张某人给毁掉了。            
(3星)	 TVB             
(3星)	 还不错            
(3星)	 我不是很喜欢张卫健 觉得他有点过头了 但是这部里面的李小环让我印象很深刻 不知道为啥            
(4星)	 结尾很莫名的            
(4星)	 好久没看拉            
(4星)	 最喜欢看得张卫健的电视。            
(4星)	 哇            
(4星)	 很有意思吧。            
(NA)	 感慨啊，小时候很喜欢的。难得添个电视剧的条目，这不算刷条目吧…            
(3星)	 那经典的片头曲啊            
(3星)	 哦~            
(5星)	 张卫健啊张卫健你是我年少的神啊            
(4星)	 花姐 德哥≡ω≡            
(NA)	 天啊……我看过好多电视剧，哈哈哈哈！            
(4星)	 小时候喜欢的不得了，何美钿真漂亮            
(5星)	 吖你也在            
(4星)	 里面的歌比较好听            
(NA)	 婷婷这个是你喜欢的吧            
(3星)	 张卫健你很缺钱麽？            
(5星)	 大爱方世玉            
(3星)	 雷人的结局            
(5星)	 张卫健的电视部部叫好            
(4星)	 结局满荒唐。。。还是前面好看            
(5星)	 呀呀呀！！！            
(3星)	 喜欢苗翠花            
(3星)	 花姐，呵呵呵……            
(2星)	 李小环，伍咏春            
(3星)	 张卫健永远那个调调            
(4星)	 我发现我还是蛮喜欢张卫健的。            
(NA)	  张卫健             
(4星)	 真的不是一般的好看~            
(4星)	 看了好几遍，还是蛮喜欢的~            
(4星)	 张卫健东山再起。            
(NA)	 电视大联播么...看过这个的某只默默飘过            
(5星)	 花姐演得好。            
(NA)	 那些快乐让我哈哈大笑的过往            
(3星)	 额，那个，我这剧里面最喜欢的是傻到爆的洪熙官..            
(4星)	 反正那个时候是很喜欢看的            
(5星)	 關鍵詞也是小時候，也是我邊看邊寫作業的東西 當年好愛小小啊            
(4星)	 小时候最喜欢看张光头的快意恩仇。            
(4星)	 我那会儿暗恋张卫健很久很久啊            
(4星)	None
(2星)	 不喜欢张卫健的表演方式，恬妞真是有美丽又可爱～            
(5星)	 神马？编剧是十三！！！！！！对这部电视剧的回忆还是满美好的，所以加到五颗星吧哦也~            
(4星)	 喜欢            
(NA)	 原来是陈十三            
(NA)	 主演三个写错了俩。主题曲很耐听。            
(4星)	 小时后每年暑假都有张卫健的            
(3星)	 曾迷恋张卫健很长很长一段时间！            
(4星)	 小时候很喜欢的哇            
(4星)	 就看这个喜欢张卫健的。其实也不是很好看，算是一段记忆吧。            
