http://movie.douban.com/subject/2287754/	龙堂
(5星)	 想说 我对这部电视剧真的很有爱!!我喜欢里面家庭的气氛,喜欢四合院,喜欢里面不同的人,喜欢过年,喜欢冬天,喜欢大家穿着厚厚的衣服说话的时候会吐出白气.至今想起都是暖暖的,很喜欢张丰毅这样的男人!!!            
(4星)	 居然是廖一梅写的……小学看的了，香港回归的应景之作。看头不少。再跟现在的电视剧比比就不得不感叹：人心不古啊～            
(4星)	 好看            
(3星)	 很早以前看过的...忘了差不多了...阵容现在来看真是豪华啊...喜欢那个时候的徐静蕾...            
(3星)	 陈小春的歌很好听，当年老徐还很清纯，那对双胞胎很帅，双胞胎的妈妈是不是比莉姐演的？蛮像的 - -            
(3星)	 一部结合了粤语英语台语普通话和哑语的剧集，我怎能不看            
(4星)	 吴家丽很够味。            
(3星)	 回憶喲            
(4星)	 不明白这阵容咋没红……            
(3星)	 编剧竟然是廖一梅 囧……            
(NA)	 maggie Q a 。。。            
(4星)	 那个时候还是很萌徐静蕾，很喜欢陈小春唱的主题曲，小时候还是很喜欢的，山东影视台看得。编剧竟然是廖一梅            
(5星)	 喜欢             
(4星)	 听广播听到人情味这首歌，突然想起来这部剧，小时候和我妈看了多少遍，最喜欢的角色是maggieQ的那个哈，现在看来这部剧卡司很强大的说            
(4星)	 maggie QQQQQ            
(4星)	 熟悉的人情味 贴心的人情味            
(4星)	 那时候我还蛮待见老徐的Maggie Q啊 那时候那嫩多清纯人情味人情味            
(4星)	 陈小春打入内地早期            
(NA)	 我特想知道徐静蕾内武术没用替身吧 真像嫩么回事儿啊            
(NA)	 当年觉得很好看啊~            
(NA)	 电视剧            
(5星)	 中午吃饭的时候,翡翠台,小学.哈哈.            
(3星)	 就记得双胞胎兄弟蛮可爱的            
(4星)	 那一年，老徐的美惊得我忘记了呼吸；这一年，黄立行的嘴唇代替了徐老师的皱纹成为焦点            
(NA)	 廖一梅编剧。。。            
(4星)	 历历在目            
(5星)	 当年最爱的电视剧            
(4星)	 熟悉的人情味贴心的人情味飘香在冬季……            
(4星)	   多年前看的，多好的氛围，多温馨的画面，多和谐的演员啊。挺还念的。            
(NA)	 那个时候就喜欢徐静蕾了……            
(4星)	 当你最无助的时候，亲人永远是最值得依赖的人！            
(5星)	 童年回忆！！！！！！剧情很感人！！！            
(4星)	 欸呀，我终于在记忆中寻回到了这个名字。其实当初的剧情都不记得洒了。。。只是很记得maggie q的漂亮，双胞胎的可爱，以及陈小春的那首《人情味》～～。            
(NA)	 这个组合实在太诡异了            
(NA)	 我倒 我想起Maggie Q演谁了 就是那个引起兄弟反目的小MM 啧啧啧 那时候多纯的一小姑娘            
(4星)	 幼年记忆这东西！            
(2星)	 这么多明星还是杯具了 群像戏不容易掌控？？？或 剧本太弱智！！！            
(4星)	 那时候看明星可真多啊，编剧居然是廖一梅。。。。            
(3星)	 果然是Maggie Q啊,真是嫩....            
(4星)	 陈小春啊  &gt; &lt; 1998            
(NA)	 正所谓大牌云集。            
(4星)	 11年前的电视剧到现在还是印象深刻～            
(5星)	 好温馨。            
(4星)	 偶尔会想起这个片子，感觉挺不错的。            
(5星)	 多年前的经典            
(4星)	 当年的徐静蕾呀……            
(3星)	 回忆            
