http://movie.douban.com/subject/2190921/	梅花三弄之水云间
(3星)	 梅花三弄里最不喜欢的一部，感觉那个梅若鸿就是个神经病。            
(3星)	 梅花三弄，久远的记忆。也是难得和母辈兴趣的交集之一。            
(NA)	 马景涛怒吼            
(2星)	 马景涛大神。            
(5星)	 惊涛哥的咆哮！！！！！！！！            
(5星)	 年代戏~            
(4星)	 梅花三弄看了很多遍呢，，            
(5星)	 小学时跟外婆、小姨一起看的，温馨！我当时觉得这第三部不如前两部好。马景涛同志的咆哮我也受不了。            
(4星)	 小时候不怎么待见陈红 长大了才发现她好看            
(5星)	 为了教主            
(2星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(5星)	 杭州。。。            
(3星)	 陈德容小惊艳了1小下 最美还是陈红            
(4星)	 好吧，我也曾经喜欢琼瑶            
(3星)	 冲马景涛的咆哮应该打四星~            
(4星)	 不错。            
(3星)	 三部曲之三            
(3星)	 现在想想，那是第一次知道纹身吧，真性感。            
(NA)	 第一次见凯歌太太，还是多惊艳的嘛。            
(3星)	 我就记得是画画的，说实话我真是不喜欢马景涛            
(3星)	 真能吼            
(3星)	 竟然有陈红            
(2星)	 琼瑶阿姨传世名作三部曲里面最不喜欢的一部。            
(3星)	 咆哮教主            
(NA)	 最诗情画意的。            
(NA)	 看过开头，教主画画什么的            
(3星)	 一边收拾新居一边瞄着，每个人都很咆哮有没有~✿            
(NA)	 景涛兄！！！！！！！！！！！替我咆哮吧！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 ！！！！！！！！！！！！！！            
(NA)	 补遗                  
(3星)	 琼瑶阿姨是个毒 ...            
(3星)	 其实和梅花烙很混乱 - -            
(3星)	 什么时候美女都被人叫老了老了，其实也是一件够残酷的事情~            
(4星)	 三弄之一，喜剧收场。            
(NA)	 陈德容的陈德容            
(NA)	 谁没看过            
(2星)	 梅若鸿肢体语言感觉有那么点“神经”，呵呵。            
(NA)	 囧 不做星级评论...            
(4星)	 梅花三弄里面记得这部是比较好看的            
(3星)	 話說這劇中真有我同學來的            
(NA)	 马景涛你太吵了！！！            
(3星)	 犹记小桥初见面，柳丝正长，桃花争艳～            
(2星)	 梅花三弄里最差的一部，不过演员都比较养眼，尤其陈红的汪子旋            
(3星)	 又见景涛            
(2星)	 我的娘啊，居然看过这么多琼瑶的打发时间            
(3星)	 我真的很讨厌马景涛大叔。。。            
(NA)	 所谓童年...=w=            
(NA)	 童年记忆            
(3星)	 在杭州拍的，陈红在里面还是很美的            
(NA)	 啧啧啧            
(3星)	 教主！！！！！！！！！！海报噗哈哈哈哈！！！！！！！！！！！！！！！！            
(5星)	 不是讽刺，我是认真的。我真的好爱看这个，我喜欢马景涛！            
(NA)	 小学时候还能看一点琼瑶剧，有点像复习下教主咆哮的样子            
(3星)	 教主！！！！！！！！！！！！！！！            
(3星)	 小时候看过好多琼瑶剧。            
(NA)	 教主你好。。            
(3星)	 梅花三弄中这一部最差。。。            
(3星)	 。。            
(4星)	 看这部电视剧的时候，我还不会写字，在小本上歪歪扭扭地画出这几个字，老妈至今说到这事还激动不已……            
(4星)	 回不去的童年            
(3星)	 当时就已经震惊于马景涛的咆哮……            
(3星)	 我是忍耐着看完的- -结局已忘....            
(2星)	 最烂的一弄.. 聒噪到极点。            
(4星)	 还有陈红阿姨？？？            
(NA)	 电视台            
(NA)	 这个就没任何印象了，除了剧名。            
