http://movie.douban.com/subject/4217513/	就想赖着你 就想賴著你
(5星)	 我只好说。我偏偏很吃言承旭这套。            
(5星)	 五星全给言承旭            
(3星)	 一边骂着剧情很脑残，一边我欢乐的看完了.....            
(NA)	 感觉张勋杰比较适合这个造型·······            
(5星)	 我爱言承旭~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~            
(4星)	 第一次覺得言承旭好可愛!            
(4星)	 纠结的翘起的短发！很可爱的电视剧            
(NA)	 呵呵。第一次觉得ELLA演技还不错。            
(NA)	 看完了。。。累得我。女主可不可以再假一点。。吐血了。            
(5星)	 看完喜欢上言承旭了有没有！温柔到泪流满面了~。我爱男猪脚，我爱男猪脚！            
(5星)	 言的演技提高好多看到友邻说这部戏看的时候让人觉得幸福的确啦            
(NA)	 张勋杰很帅- -            
(NA)	 看看还蛮欢乐的~（怎么婚纱场面没了？）            
(NA)	 其实不动脑子的时候看蛮好的 心情特别high            
(4星)	 言师弟说：爱你哟            
(5星)	 ella演技没突破，不过言承旭真的好帅！！！            
(3星)	 其实演Ella姐姐的那位还是蛮可爱的~            
(4星)	 J同学不错啦            
(5星)	 很好 很轻松            
(1星)	 实在受够ELLA卖萌了！            
(4星)	 想要感情充斥的时候奋力看台湾偶像剧啊，绝对可以让你傻姑一般忽而哭又忽而笑。            
(NA)	 言承旭真恶心  说话声音跟便秘似的  恶心死啦            
(1星)	 10年后的言承旭            
(4星)	 考试之前我总会迷上某部片子，这次是这部 哎。。。全部的星星都给言承旭！！！！！！！            
(5星)	 让我好好的笑了好几天！            
(3星)	 为啥我就喜欢这种灰姑娘的故事，好吧，虽然很白痴，但是言承旭真的很帅诶            
(NA)	 言承旭真的不錯 囧            
(5星)	 唉```不得不说这是我看过最好的台湾言情剧``滥情却不恶心。夸张却不做作。不用动脑子的看和笑。轻松的。甜甜的。足够可爱，足够丰富和真挚的表情打动了我            
(3星)	 原来我喜欢言承旭已经这么久了，他也老了。            
(4星)	 言承旭雖然不是我的菜,但女人看到都會心動的!!!拜託編劇結局不要這麼爛,虎頭蛇尾,多加重Ella跟言承旭之間的互動戲啦!!!還有朵朵跟果果兩姐妹超好笑的言承旭讓我改觀,給你四顆星推薦!!!哈哈            
(4星)	 帅啊~~~            
(3星)	 分数都是给小小彬的好吗。。。ELLA的演技真的让我想去撞墙。。            
(3星)	 我是来看张勋杰和言承旭的，ELLA是炮灰哦亲~！             
(4星)	 言承旭好可爱！！！！            
(4星)	 N年没看偶像剧，在寂寞的深夜奉献给言承旭了……            
(4星)	 很搞笑            
(4星)	 挺逗            
(3星)	 还行。打发打发时间~            
(5星)	 言承旭帅。。。。。。。。。。。。。。。。。            
(NA)	 我是有多无聊，才会看这个剧。            
(5星)	 不管别人怎么说我就是觉得超级好看啦。对于好久没有被台湾偶像剧吸引的我来说可以算作是奇迹了。一直被韩剧日剧迷住心窍偶尔看看国产也不错啦。28集原本对于我来说也是个艰巨的任务啦。不过因为太好看我花两天时间就搞定了。所以不说什么强烈推荐。只是结局进度太快了。我本来想要看到他们集体婚礼嘛            
(3星)	 言承旭真的费心在演这部戏            
(3星)	 逃离不了台剧的拖沓~             
(4星)	 ella 挺好笑的，但是。。。言承旭很傻~~            
(4星)	 台湾刚播，要追完得好几个月。土豆有盗版，更新到28集，肯定会影响台湾收视率了。流星花园时不喜欢言承旭，感觉就像愣头青，看完这个，喜欢上了。ELLA的嗓音太难听，扮相也不好看。不像韩国，有尹恩惠和朴信惠MM，中性巨帅气，女装也超美。超烦丁卉凡，齐可中。杨朵这个姐姐好可爱。            
(3星)	 断断续续的看完，ella整个好幼稚，言承旭越来越帅越来越温柔了~迷人ㄟ！！三分都是言承旭的！！我也好幼稚！！            
(NA)	 上哪找项大哥这样可爱的男人啊。切~~            
(4星)	 结尾真的好烂哦，不过好好笑！哈哈哈哈            
(3星)	 对言陌承旭好感倍增啊...虽然编剧脑残            
(5星)	 怎么看的那么开心呢 言承旭好帅气。。            
(4星)	 剧情很俗套，言承旭很帅。很久没看台湾偶像剧了，我老了！&gt;_&lt;            
(4星)	 。。。就过了这么多年 看到他还是会变脑残粉。。。。            
(4星)	 好像已经过了看偶像剧的时代，好像也快过了做白日梦的时间，不过无聊的时候随便看看，发现言承旭还是蛮帅的。            
(3星)	 无聊时解闷的花生米            
(NA)	 广西卫视。。如果是一本正经的在电脑里面看的话。。还是放弃吧。。。。            
(4星)	 2010.10.06 只属于假日的欢乐偶像剧~ 2011.01.06 相对简单也是好嘛~             
(4星)	 言承旭！            
(NA)	 都一大把年纪了，还是阻挡不了这些青春偶像剧的好吗！？            
(3星)	 才发现言承旭那么帅～！！！            
(3星)	 言承旭很可爱。喜欢Ella真的让我常常出戏，他明明喜欢林志玲那一型的！另外，姐姐是亮点！            
(4星)	 我真的多喜欢ELLA的。。。            
(5星)	 &#34;人家也说我长得像言承旭, 怎么不找我拍照啊!&#34; LOL            
(4星)	 唉，看他们2个接吻就跟看立威廉和闫妮也没啥差别  混搭的很奇怪            
(4星)	 Ella 这样可爱的女生。。。            
(5星)	 言承旭算是这F4里面算不错的啦...            
(5星)	 言承旭还是好帅呀，美美的笑 ，傻傻的个性。喜欢喜欢喜欢            
(NA)	 我真是迷惨言承旭了。。。。。TT            
(4星)	 &#34;看着这个剧就好像，突然生活中残酷的东西都短暂地消失了一下下。&#34;            
(4星)	 不要问我为什么啊啊啊啊啊我也不知道 短暂脑抽吧            
(4星)	 还好。超喜欢那种为了自己喜欢的人花时间花精力去学习他的爱好的感觉~~~或许也只有年轻才能有那种感觉和动力吧！            
(5星)	 可爱的ELLA 帅气的JERRY            
(4星)	 健康价值观的剧 还好没有什么特别不舒服的地方            
(4星)	 追追追。剧            
(5星)	 还是很好玩的啦～忽视ella            
(NA)	 我真的再也不看台剧了！            
(4星)	 赐我一个项羽平吧！！！！！！！！！！！            
(5星)	 除了不舍~~还是不舍~            
(NA)	 哈哈。很有爱，可以当GAY片看~可是，可是看GAY片的时候我都没说受不了主角接吻，这个我真的没受了。            
(4星)	 看着则劲 言承旭很耐看 ELLA搞笑            
(4星)	 肉麻+JP的经典            
(4星)	 ELLA虽然不漂亮，但她演的蛮真实。            
(5星)	 让骑士成为男主角，言承旭演技饱满了，可爱又霸道，不喜欢都难            
(3星)	 一边骂矫情庸俗一边看着欢.ella跟谁都怪怪的.            
(NA)	 刚开始播的时候看了1集，现在没有勇气看了。弃。            
(4星)	 Ella很可爱 哈哈哈            
(4星)	 项羽平这角色是为众多女性度身定做的吧。真的很可爱            
(5星)	 实在是让人觉得幸福啊~~            
(2星)	 又看见暴龙熟悉的酒窝，还有嘟着嘴装生气的样子。但是...Ella为什么是个女的..囧            
(NA)	 我是言承旭的 脑残花痴粉~            
(5星)	 爱情课。            
(3星)	 YuJin的大爱。。。            
(5星)	 陪老婆看了几集。感受：1.剧集里的台湾街头很干净；2.大部分的台湾人都在很努力的工作；3.台湾的体力劳动的薪水好像不低（没有去做对比，希望有心人来提供）；4.Ella表面像个假小子，内心是个小女人，有木有？！            
(4星)	 道明寺的演技有变好哦            
(3星)	 還算可以            
(5星)	 项大律师我爱死你了啦！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 ~            
(4星)	 我怎么了。。。。。我每天下午看着这个都睡不来午觉。。。。。。            
(NA)	 人无聊到极点就会随便找一本电视剧看一天            
(4星)	 看到别人幸福我也觉得好幸福啊即使这是假到家的偶像剧- -            
(4星)	 如果我前任跟我在一起的话应该会拉着我看这部tvs 吧。            
(NA)	 抄袭席绢的富家女嘛            
(5星)	 好爱哦            
(3星)	 因为Ella太过用力的演技，和项大律师住房门里门外贴着的穿帮告示，而扣减两分。            
(NA)	 言师弟真是适合演偶像剧，男主角的深情啊，真是动人。。。。。ELLA真是不适合演女主角，我总把她当男人。。。。            
(4星)	 親愛的長腿叔叔 我還是依然那麼愛你。            
(3星)	 跳脱地看完的偶像剧。感觉言承旭比当年流星雨有不少进步，怎么Ella还是一直原地踏步呢。            
(5星)	 心情是阳光明媚的春天            
(3星)	 真不想说连着3天看完这部“偶像剧”....纯粹理解为放松大脑吧            
(3星)	 男二爱女二，女二爱男一，男一爱女一，男二为了成全女二对男一主动勾搭女一，男一怒甩女二夺回女一。over。            
(5星)	 这部剧害得我胡思乱想            
(3星)	 还蛮可爱的            
(4星)	 結局太倉促，但真的停不了。            
(NA)	 还能更雷点吗？            
(3星)	 国庆放假陪妈妈看系列二            
(NA)	 言承旭的感觉竟然不错。            
(5星)	 一天半时间看完 完全沦陷偶像剧的虚幻爱情里 言承旭的坏笑脸瞪大的双眼 ella的大条搞怪  受不了受不了啊  但脑袋里依然清楚地明白这只是麻雀变凤凰的电视剧而已 现实现实活生生啊！！！！！！要清醒            
(4星)	 四颗心给言承旭。            
(4星)	 很歡樂！對言承旭加分！這個時期的小小彬比較可愛！梁律師好可愛！梁朵蠻搞笑的！            
(5星)	 对味            
(4星)	 ELLA我太喜欢你了！            
(5星)	 项羽平 表情真耐人 小男生似的             
(4星)	 从不看台剧的我，被这部剧打败了。下午抱遥控器连着看了最后5集。虽然偶像剧都很假，但是让人眼睛移不开的，绝对不是男女主角患绝症、爱的要死要活、阴谋诡计、耍帅扮靓，而是一点一滴的温馨吧。3个主角演得真好。            
(4星)	 断断续续也算成功看到结局了 偶像剧什么的 真是童话故事………            
(4星)	 陈加滑那句 “在聊天噢 ”笑死我了            
(4星)	 只是因为男主是我的型~            
(4星)	 言承旭还是帅呀，虽然上学的时候看过流星花园，一直对他无感，但是现在……            
(1星)	 只看女三号。其余全部快进。            
(5星)	 爱死项羽平了啦~~~~~~~·            
(5星)	 言承旭太帅了 。我也吃他这一套。            
(3星)	 言承旭,我就喜欢你的声音.            
(5星)	 好看！！！            
(5星)	 哈哈哈哈哈            
(4星)	 就是冲着言承旭。。            
(5星)	 台剧就是比大陆乱七八糟的什么XXX好多了……!!大陆人都演坏人就是了= =            
(5星)	 咕~~(╯﹏╰)都来拍死我吧！悲剧的我还在相信着童话爱情！！！            
(4星)	 这个夏天第二部囧笑剧，不过陈嘉桦~这样很好~~真的~~~你很有笑星潜力~~加油加油~~            
(3星)	 多久没看台湾偶像剧了。。。Ella真是活泼又有表现力的人啊～            
(4星)	 一边骂着俗一边快进着看完了 但是真的是好甜啊这句 Ella和jerry超和谐而且两个人都超可爱的 莫非这满足了我的BL欲咩？ 还有miss杨也超可爱  总之蛮喜欢他们两人的  再吼一声 我爱言承旭！！！不笑的时候很男人 笑得时候很可爱            
(3星)	 我没入戏，所以不喜欢            
(5星)	 给言承旭打五星。            
(4星)	 言承旭啊 唔。            
(5星)	 Ella和言承旭都可爱多了            
(4星)	 真的真的有被萌到哦。你们说我白目好了。(￣_￣|||)             
(NA)	 好吧，这是每个假期回家必须陪老妹看的偶像剧之一……            
(NA)	 言承旭演技不错诶            
(NA)	 一边骂一边笑着看完的 其实总体来说还好 最主要是道明寺还是道明寺 只不过时光把霸道全都磨灭不见了而已            
(NA)	 Ella好可爱，决定追！            
(3星)	 很拖沓诶!!那么曲折...憋死人了..!!.小小彬真可爱!!!哎哟反正我是看一部爱一个男主角就对了            
(4星)	 哎呀呀，过了十年，言承旭依然很帅。演技进步。            
(4星)	 4星ella表情帝。。。刘力扬的妆太浓了真不好看。。            
(NA)	 都是为了你 JERRY            
(3星)	 果果的生活態度好正面。            
(5星)	 媽的 老子都給5分了還能說什麽            
(4星)	 很搞笑。很好看。对言承旭的印象改观。            
(4星)	 看着蛮轻松的  心情会好哈哈            
(NA)	 好2            
(3星)	 过半还是忍不住快进了。不过张勋杰真的成熟了很多，还记得他斗鱼时代的样子~            
