http://movie.douban.com/subject/3609075/	蜗居
(1星)	 忍不住粗俗一把，这部片就是一挺骚逼的妹妹加一特傻逼的姐姐。            
(4星)	 ......明明就上海．．．江州江州．江毛毛－＝－            
(4星)	 卖B养活一家子~            
(NA)	 弄了半天出轨的男人堪称情圣，极度完美，名校毕业生全家发达都靠妹妹做第三者，对白怎么说也就算了，家长指引不写也就罢了，但这个价值观不能乱来啊~~~            
(4星)	 一个死在危房里的老太太，一个郭海藻她妈，就写了这俩明白人吧，郭海萍是导致她妹妹走上这条路的症结，关键的时候还没出好主意，最后还以一个高大的个人奋斗成功典型示人，编剧不能自圆其说，价值观就是混乱的            
(4星)	 郭海藻，怎一个贱字了得？            
(4星)	 我不要把我的小贝弄丢了            
(3星)	 看了评论，这个社会完蛋了╮(╯_╰)╭            
(4星)	 现实以及太现实的剧情。相比较房子，我想如何成为一个独立的女性更为重要，依赖一直以来都是女性的惯性，但是依赖并不能够成为贪婪的借口。海藻还是贪婪，虽然你可以说她只是纯洁没有明白自己要什么，但是当你看到他拎着大袋衣服从恒隆走出来的时候，脸上洋溢着幸福，怎么还能够仅仅用纯洁来搪塞呢？            
(3星)	 这简直就是个恐怖片            
(NA)	 和妈妈一起看的.编剧太毒了,不带脏话地把社会骂了个遍.但是蛮好看的            
(3星)	 额，我觉得海藻就是想走捷径，希望宋把所有的未来都安排妥当，她就直接进入美好生活，世界哪有这么美好。切~额，海藻的那个演技实在烂，一发嗲一娇嗔我就恶心，MLGB。。小贝太可怜了，一好男人就酱被毁了。。额，海萍的生活很深刻，小人物的小生活却又大道理。人生有时候就是这么无奈、真实的。。            
(NA)	 宋思明完全就是中国男人的代表作……男人啊……男人……            
(4星)	 宋思明是个好男人            
(4星)	 贫贱夫妻百事哀是真理啊            
(2星)	 咋一看好像拍的很真实，其实一点也不真实，演员也选的一般，海青演这类戏我看腻了，一个腔调，演海藻的又太做作，演宋思明的太老，怎么看不像42岁（苍老的身体哦....）整个戏到最后越发的琼瑶化了.....就文章还比较顺眼......            
(5星)	 现实得让人毛骨悚然，却又心有戚戚            
(NA)	 我好喜欢里面的文章啊 。。好帅气            
(4星)	 其实不全是房子的事情...            
(4星)	 男孩要穷养，否则不晓得奋斗;女孩要富养，否则一块糖就让人哄去了！            
(4星)	 宋思明，越看越恶心！            
(3星)	 影视剧中，大家都笑娼不笑贫，戏里海藻的下场是惨惨惨，戏外角色更被群众唾沫快淹死了，在现实中，恰恰是笑贫不笑娼。            
