http://movie.douban.com/subject/3057467/	银楼金粉
(5星)	 光是主题曲我就想给五星了！！！            
(5星)	 伍咏薇演得不错。            
(4星)	 封建前封建後的，太低估觀眾的智慧。但畢竟劇力十足，演員出采。推。            
(3星)	 伍詠薇真美啊~            
(5星)	 很讽刺何鸿燊一家！            
(3星)	 后来分开， 如 一 切 爱。            
(3星)	 我喜欢伍咏薇哇，不过片子结尾太烂了。            
(1星)	 最难看            
(3星)	 虽然我很喜欢杨思琦，但是也只能给3个星。前面几集还将就，后面的就是乱来了。            
(NA)	 我最喜欢的大戏是火舞狂沙            
(4星)	 她最想得到的不是自由,是你的爱,可惜,就算她为此付出性命,你依然不懂.庆幸自己活在新时代.            
(3星)	 求求你们不要再满口“封建”“爱情”“一代新人”了！            
(3星)	 断断续续看完的...果然是错过任何一集都没有关系的...            
(2星)	 没坚持看完，基本都是老梗            
(3星)	 为毛我这么喜欢看中年重逢的恋人过尽千帆之后仍然不能忘怀的戏码            
(3星)	 思琦姐不够出挑啊            
(3星)	 后面还可以            
(3星)	 啊啊啊啊~~俺素JP脑残。。。。明明tvb这摸sb俺还看……%￥#王菀之OP不错            
(3星)	 典型港剧。杨思琦啊，虽是港姐，长相也就是演丫环的命            
(NA)	 差强人意。            
(3星)	 家族乱斗            
(4星)	 还好            
(NA)	 又一个没看全            
(4星)	 这里面的女人一个比一个恐怖            
(3星)	 伍卫国胖死了。胡定欣演四姨太真合适啊。伍姑娘的金镯真闪。            
(3星)	 真是。。。。。            
(3星)	 以为是和金枝欲孽一样的戏。。看过才知道。。            
(4星)	 好bc的结局。。。明明该是大悲剧。。。真是命硬            
(NA)	 如果我可以改变，就勇敢地留住你。            
(4星)	 如果没有那么多直白的冠冕堂皇的“破封建、树人权”的豪言壮语该多好            
(3星)	 家燕姐的痣实在太不低调了。tvb的老女人们装嫩实在是太恶心了。2009.6.28-7.2.东方台。桂林，阳朔            
(3星)	 港剧也在堕落            
(NA)	 TVB永远我的最爱            
(3星)	 土豆没有得下，想看的话到优酷            
(3星)	 我就知道秋菊会是结局最好的那一个～            
(NA)	 每个人都有自己的无奈            
(2星)	 我是神经病光看这些。            
(3星)	 在这个家庭里人人都是扭曲的。            
(NA)	 【2008-04-28】            
(3星)	 打发时间看看            
(3星)	 老人劇 最大看點是秦沛時隔多年難得又演了次奸角 另外雖然楊思琦去年的負面新聞多的不行 但我發現47妹果然還是我的菜我很DJ她。。 另外，這套劇真的可以跟金枝欲孽相提並論麼？你們不是吧。。。 = =            
(3星)	 太不细腻了            
(4星)	 08年里最爱就是它。。。高三的晚自习应该还写过剧评，早就不资道丢哪里去鸟！            
(3星)	 一场大火可以让很多很多故事来个完美的结局            
(2星)	 感觉上这才是rvb应该拍的            
