http://movie.douban.com/subject/4894070/	黎明之前
(5星)	 比信仰更强大的是人性。 情节紧凑 内容精彩 好编剧好演员 ps 每次看这样的片子就难受，这么多人为新中国献出生命，它却走到了今天这副模样            
(5星)	 混个好人缘是多么重要啊。。。不然，会死的比李伯涵还惨。。。            
(5星)	 非常精彩。相比之下，《潜伏》几乎不值一提了。            
(5星)	 难得一见的不把观众当弱智的好剧，情节紧张节奏紧凑，多条线索同时展开交叉进行，故事开始就告诉观众谁是卧底，却引人入胜欲罢不能，结局置之死地而后生。主次要演员功底很深，每个角色都很出彩。            
(5星)	 谭忠恕的第二个女秘书肯定和导演、编剧或者投资人有一腿。第一，秘书是长官的心腹，怎能随便撤换？而剧中并未有足够说明；第二，此女演员的出镜率极高，很多场合完全没必要让她在，而她的在场也只是坐在后面一言不发，还常有特写。            
(5星)	 不容易了 现在不把观众当弱智的反特片 的确很少            
(5星)	 我好爱吴秀波            
(5星)	 这一切都像是个骗局，筹码是你的生命。而我，就是你的入场券。            
(5星)	 比潜伏真实，就是国军并不都那么笨蛋，人家有推理的            
(4星)	 我喜欢上了又一个大叔 \(≧▽≦)/            
(5星)	 这是继《士兵突击》以来我看过的最好的国产剧了。无论是剧情还是导演、演员的功力都相当深刻。情节紧凑，感情细腻深刻。相比起其他谍战剧磨磨唧唧的感情，这部戏更体现了在当时的时代背景下，人的信仰、人性与兄弟、同事之情的交缠纠葛。尤其是吴秀波把刘新杰的复杂的内心性格演绎的特别好。            
(5星)	 绝对超越&#34;潜伏&#34;            
(3星)	 我党的除了主角都是傻逼，国军很威猛            
(5星)	 “我是一个钉子，就算烂，也得烂死在这块木头里。”            
(5星)	 难得一见的美剧风格；镜语干练精悍，节奏把握快准狠。把一个月的时空压缩在30集里，难能可贵。            
(1星)	 怎么分数这么高啊. 又白痴又老套.            
(5星)	 如果说《潜伏》打开了谍战精品的一扇门，那《黎明之前》就是谍战精品中的一个小巅峰了。己认为是年度大陆最好的连续剧。前后看了三遍。紧凑，走技术范儿，八局五大腕演得都绝了，片尾曲越听越有感觉。怎么评分没有双五星？！            
(NA)	 真正的好片子            
(5星)	 好！            
(5星)	 主角配角演的都不错            
(5星)	 完全不逊色于《潜伏》。            
(5星)	 就这么结束了，好失落。关于同志和兄弟，如果必须纠结，我知道什么更打动我。我还是喜欢并肩作战多过棋逢对手。            
(5星)	 “当信仰无比崇高，就值得为它牺牲一切，这是水手和刘新杰的选择。当旧的信仰坍塌，至少还有一份真正的情义值得守护，这正是谭忠恕的选择。”            
(5星)	 还是嫁给国军比较幸福。            
(5星)	 谭忠恕和刘新杰这对兄弟 这一生再也没有见过面......这句话太毁灭了T-T八局的老狐狸们个个都如此有爱真让人恨不起来啊（每人分我点智商我就也不一般了=_=）。中了局花的毒 看来解不了了ಠ_ಠ。            
(5星)	 “他的脸很英俊，他的笑容很纯真，他的气味很好闻，他是个很容易让女孩子动心的男人……”            
(3星)	 太一般的片子了，属于那种每次把主角逼到绝境，就说别闹了来解决问题的那种剧情，别说比美剧，跟《潜伏》也没得比，浪费了太多时间，罪过……            
(4星)	 吴秀波有陈道明的气质，强大的孤独感近年荧屏难得一见            
