http://movie.douban.com/subject/3037133/	大提琴与点三八
(4星)	 你知道我在等你吗            
(NA)	 很喜欢的一对            
(NA)	 这个剧好像是三四年级时看的吧~            
(5星)	 为了怀念《枪神》找来看的。虽然旧片子，但很好看的。我老看一些旧片子，被嘲笑惯了。~_~ 没关系没关系            
(NA)	 印象很深的电视剧，后来再也没有播过            
(3星)	 怀旧频道经常播~            
(4星)	 那时候的阿吕和现在的我一样大啊            
(4星)	 故事太幼稚，但是雯雯太靓了~~            
(3星)	 如今看这部电视剧觉得当时的掌门真有活力            
(4星)	 小时候对爱情懵懂的记忆            
(4星)	 记得女主角的一句台词，“你不说？信不信我找人拆了你的铺子啊？”            
(3星)	 开头不错，到了后面就不知所云，吕颂贤从半程开始劈腿，纠缠在万绮雯和刘锦玲之间，摆出一副爱情至上的样子。。。最后还玩了一把莫名的无间道            
(3星)	 主要是这个名字让我印象深刻，因为一直都不知道是什么意思，内容是一点不记得!            
(3星)	 看了枪神之后专门找来看的，感觉还不错，只是没有粤语的，而且很卡啊··……不过等看完了，觉得没那么好看，还是《枪神》精彩            
(3星)	 吕颂贤&amp;万绮雯好美的组合啊            
(4星)	 李香琴挺可爱的,万绮雯和吕颂贤就是因此片而结缘,演汉阳的还演过戏王之王里的蒲杰,其实长得满帅的,可惜不红/看到十集开外,忽然觉得温家老二与警司间的感情颇为搞笑,加一星            
(NA)	 ka~wa~ii            
(3星)	 雯雯            
(NA)	 只剩下名字还有印象，是很小很小的时候看过的，现在只能用好看来形容，至少当时很喜欢            
(3星)	 剧情很弱智 画面很老 但是 万绮雯 嫩的可以掐出水            
(4星)	 差不多忘了情节            
(NA)	 上小学的时候在香港卫视中文台看的            
(NA)	 记忆里其实只剩下那段大提琴“莫名我就喜欢你。。。”            
(5星)	 童年的回忆            
(4星)	 怀旧，看美女……            
(4星)	 看电视从这个阶段就开始了            
(4星)	 赏心悦目的情侣档啊            
(4星)	 虽然忘的差不多了,但记得当时很喜欢...            
