http://movie.douban.com/subject/2248707/	激情燃烧的岁月
(1星)	 激情燃烧你妈逼的岁月 国家主义的贩夫走卒　低素养的人才喜欢看这种东西            
(NA)	 自从演过这片，孙海英和吕丽萍就不知道得瑟成啥逼样了            
(3星)	 没看完全，不喜欢大男子主义的男猪            
(1星)	 永远不喜欢这样的“爱情”。即使被强奸的一方爱上了强奸犯，我也不喜欢这样的故事，也不会轻易原谅强奸犯的罪恶。            
(2星)	 烂就一个字。            
(5星)	 孙海英也就演这个和双旗阵刀客还行 别的就歇了吧还是            
(2星)	 完全不喜欢            
(NA)	 挺有意思的银幕一对。            
(5星)	 还是很不错的，虽然他们后来都脑残了。            
(5星)	 陪爸妈一起看的，大爱！！太经典了，石光荣，储琴两口子。            
(2星)	 觉得有点2~~~非常2！！！            
(4星)	 鼠年到牛年，跨年大戏啊！            
(5星)	 看了好多遍            
(4星)	 我对军旅题材一向木兴趣 离我太遥远了！ 这部是个例外            
(3星)	 记得谁说过电视剧只要看进去了，每部都好看            
(5星)	 我看了无数遍 每次看。。每一集。。每当主题曲响起。。我都会哭死 太囧了            
(4星)	 又一对伉俪            
(4星)	 好看~石光荣一瞅见他闺女儿就笑得跟朵花儿一样            
(NA)	 aHA            
(3星)	 ……随便看看还行            
(5星)	 有一种灵魂一直延续。            
(4星)	 还是剧里的孙海英正常            
(NA)	 老人家当年看的……跟着一块儿了……            
(5星)	 我们一家都很喜欢看～            
(5星)	 跟家人一起看完的，儿时的记忆，只记得当时看了觉得特别开心。            
(3星)	 康洪雷最好的一部了            
(5星)	 石光荣！纯爷们！            
(NA)	 好看!!!!!!!!!!!!!!!!!!!!!!!!!!!!!            
(2星)	 给以革命名义捆绑成就的婚姻涂脂抹粉之作！！！            
(1星)	 最讨厌倚老卖老的傻逼了            
(4星)	 从此掀起军队剧            
(4星)	 虽然我不完全认同石光荣的处事方式——但是那个时代的演员演戏真用心啊，剧本写得也真不错，哪像今天……            
(NA)	 我爸我妈爱看，没办法            
(5星)	 老一辈的生活和爱情，就这么过来的            
(5星)	 看到石林在石光荣病床前那一场 真是稀里哗啦啊 太奶奶的感人了            
(3星)	 很囧            
(4星)	 大人们都很喜欢看 我觉得还不错 有点意思 现实生活中这对夫妻很浪漫            
(5星)	 跟我妈            
(4星)	 石光榮跟我姥爺一個德行...其實他們根本就是一個經歷了吧喂!            
(3星)	 一个字，石光荣，牛！            
(3星)	 我爸妈的大爱！            
(4星)	 姥爷喜欢的电视剧呢            
(5星)	 真的很好看            
(5星)	 喜欢 喜欢 太喜欢了            
(3星)	 还不错。            
(NA)	 断断续续看过点，现在重新开始看……            
(4星)	 介素真不错~            
(NA)	 当年我也看过这个！！！打屁股那段笑死我了！！！这楼主记性怎么这么好- -            
(4星)	 怎么也想不到当日石光荣会成为今日摇滚教父孙海英            
(NA)	 啧，我觉着这特好看啊，希望不是记忆的美化…            
(3星)	 孙海英你那叫演戏么。就是一公鸭嗓在那喊来喊去！            
(4星)	 军旅题材热潮开始。            
(4星)	 谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑谢天笑= =            
(3星)	 别扭            
(5星)	 大陆剧里绝对的经典！            
(5星)	 回想起我的小时候。。            
(NA)	 这个片挺好            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 还有什么年代会比那个年代更加激情燃烧            
(4星)	 我崇拜我的小学时期.....            
(4星)	 0.0哦！打！打得好！            
(5星)	 孙海英！！            
(4星)	 欢乐了一阵子~            
(5星)	 =。=好吧石光荣当年骗了我不少眼泪。。。            
(4星)	 ★★★☆            
(5星)	 老爸的大爱！            
(4星)	 我父母很喜欢，尤其我爸。那么这部连续剧对我来说就有意义。至少给我父母带来了快乐。            
(NA)	 纯粹是无聊，讨厌剧里军人的大男子主义。            
(5星)	 话说我觉得这是一部喜剧            
(4星)	 笑死            
(5星)	 这老头多招人喜欢             
(5星)	 经典。            
(NA)	 话说还算我比较喜欢看的一部近期的电视剧            
