http://movie.douban.com/subject/4291286/	天师钟馗
(3星)	 无聊的时候看看还可以            
(1星)	 刚才吃完饭在电视上看了一段《青蛇有泪》……泥马那白素贞一点白素贞的感觉好吗！！            
(1星)	 真瞎扯！！一点儿也不好看！尤其那破主题歌儿！！你爷爷的！            
(1星)	 当观众弱智啊 编剧脑残脑残脑残            
(3星)	 编剧太烂，“人鱼痴恋”部分尤其差劲。欧阳震华还是只会傻笑。。。            
(2星)	 随便抽了两集看，我擦嘞震华你给我好好挑本子内地剧别瞎接啊！！我直接跳最终篇看宽哥吧……            
(5星)	 太棒了            
(3星)	 美男靓女挺养眼            
(3星)	 我居然以为我看到了夏河            
(3星)	 冤家也有真情。            
(2星)	 剧情太拖沓、太狗血，光看单元的题目就想杀人了，上来也没个前因后果，让我这种对钟馗一知半解的人云里雾里；造型也是个大问题，驱魔三人组也太雷人了！            
(NA)	 剧情发展累死人...感觉和聊斋很类            
(3星)	 有点雷……            
(3星)	 我喜欢片尾那一树花开。            
(1星)	 真的很烂= =不过男人们都还挺美……            
(3星)	 吕洞宾与白牡丹那段还不错            
(3星)	 剧情很拖沓            
(3星)	 美女帅哥+胡诌八扯            
(5星)	 集各色帅哥美女于一身的雷剧            
(3星)	 只看了第一个故事             
(2星)	 滥俗的剧情            
(2星)	 天雷滚滚~可惜了诸多帅哥            
(1星)	 我真够手贱的            
(2星)	 那天晚上去外婆家，她老人家在看这个。我心想，欧阳震华怎么也会接拍这样的片子？！            
(3星)	 美丽之罪的霍思燕太美了~小青很可爱，其它没感觉~~~            
(4星)	 其实我觉得还蛮好看的，俊男美女都很养眼，故事也挺紧凑，不知道为什么评价这么低。            
(NA)	 弃            
(3星)	 此剧的钟馗兄怎么这么弱，连妖气都分不出来，被小女怪跟踪戏耍，和杜平也很有JQ……那个二弟三弟就是出来打酱油卖腐的对吧……啊不其实我想说钟馗他本是翩翩美男子一枚，这么棒的一点编剧为什么就不肯善加利用呢←随便看看而已爽快弃——♪            
(3星)	 霍思燕好漂亮啊~            
(4星)	 每段的故事都不错，每段的结局都仓促。……            
(3星)	 美女多。            
(4星)	 结局太。。。编剧有点完美主义~            
(3星)	 很一般吧            
(3星)	 因为欧阳大叔···我看了这个雷剧···            
(NA)	 剧情拖沓 弃之。            
(2星)	 霍思燕长相中意            
(3星)	 欧阳正华那个配音是很受不了。。彪悍。。            
(2星)	 杀时间            
(3星)	 美女不少...            
(2星)	 影片画面清新、帅男美女多，缺点是编剧让人吐血……内地剧也就这水平了，虽说比下有余，但是比港产神话剧还是差很多。            
(NA)	 这仨            
(3星)	 里面很多漂亮姑娘            
(NA)	 我看瞎了...            
(NA)	 用来做作业时候看的电视 顺便有美女嘛            
(2星)	 寂寞无聊时候可以看看吧。。。我朝的电视剧越拍越弱智了            
(3星)	 水灵玉!!!!！            
(4星)	 十一回家几乎每天都在看，里面美女太多了。            
(2星)	 先被配音吓到，除了美女或者个别几个帅哥没啥看头，尤其是惠剑问情，放在第一个演，败笔啊。为了曾宝仪和小青看完了青蛇有泪。喜欢最后小青的一句话——爱或者不爱都痛苦，我不要了。            
(2星)	 雷死我了，还会变身            
(3星)	 暑假在家，无聊时的消遣。            
(3星)	 还不错啊，我就是从下就对鬼神之类的所有东西都喜爱啊……            
(3星)	 四大师奶杀手。。。噗！            
(3星)	 “一遇蒲版吕洞宾终身误”呵呵，太绝了！            
(3星)	 冲着众明星看的            
(3星)	 你说我有多无聊~            
